 	a66	a87	a23	a61	a43	a75	a85	a47	a98	a85	a92	a37	a98	a79	a92	a75	a12	a96	a61	a47	a31	a88	a62	a88	a71	a9	a99	a87	a23	a99	a97	a26	</S>
ce	0.0379277	0.0542035	0.0388945	0.0375881	0.0340962	0.0335467	0.0598204	0.0576585	0.0653874	0.0617447	0.0365032	0.0325114	0.0273208	0.0229266	0.0248329	0.0326948	0.0170823	0.027331	0.0282802	0.025174	0.0276341	0.0218847	0.0228883	0.0153551	0.0128195	0.0108114	0.0147234	0.0135848	0.0157991	0.014124	0.0207524	0.0172743	0.0368238
garçon	0.00174637	0.00264113	0.00653957	0.00750229	0.00774704	0.0250231	0.0466248	0.0960026	0.121309	0.170357	0.195574	0.126814	0.0516478	0.0655179	0.0288008	0.00908651	0.0070506	0.00644315	0.0054294	0.00334625	0.00201915	0.0020937	0.000588036	0.000389269	0.00114487	0.000719343	0.000663227	0.000597293	0.00102344	0.000950037	0.00117493	0.00148119	0.00195161
et	0.0513057	0.032188	0.0273343	0.0324297	0.0469504	0.0716973	0.068265	0.123144	0.0922893	0.0769111	0.0388923	0.0637983	0.0700837	0.0279782	0.0269828	0.0123219	0.00863451	0.00417299	0.00318429	0.00229852	0.00245377	0.00207136	0.00304518	0.00550306	0.00621126	0.00547746	0.00597935	0.00908224	0.0141171	0.0150247	0.022616	0.0169639	0.0105924
moi	0.0427994	0.0353744	0.028934	0.0228512	0.0245795	0.0282371	0.0260113	0.024407	0.020797	0.0172469	0.0178181	0.0344179	0.0414992	0.0525289	0.0477185	0.0326142	0.0206168	0.0214293	0.0264377	0.017955	0.0251494	0.0139856	0.0296027	0.0228245	0.0217599	0.0244665	0.0334266	0.0327568	0.0314468	0.0304659	0.0295359	0.0401443	0.0801617
nous	0.0539431	0.0357585	0.0393625	0.0364824	0.0304821	0.0415124	0.0325268	0.0344305	0.0266985	0.0191851	0.0214142	0.0320679	0.0326796	0.0281354	0.0414477	0.051147	0.059021	0.0433681	0.0349587	0.0253295	0.024325	0.0189199	0.0219541	0.016865	0.0162393	0.0105722	0.0122344	0.0195928	0.0223462	0.0111874	0.0201161	0.0235202	0.0621764
vivons	0.0470226	0.0328737	0.041885	0.0370203	0.0398884	0.0566922	0.0415953	0.0328695	0.011056	0.0111243	0.0205714	0.0581041	0.0654644	0.05818	0.0587579	0.0407934	0.0460403	0.0342607	0.0263511	0.0213093	0.0185301	0.0118719	0.0124953	0.0143971	0.0120905	0.010639	0.0122549	0.0125155	0.0206168	0.0175004	0.0244604	0.0240801	0.0266883
dans	0.0188621	0.0157588	0.0105626	0.00840977	0.00898151	0.0107422	0.00802211	0.00663893	0.00341226	0.00392969	0.00645883	0.00800148	0.011294	0.0116688	0.0129365	0.0142472	0.0169066	0.0210643	0.0206066	0.0216446	0.0290044	0.0371826	0.0627277	0.074438	0.0521411	0.0510894	0.0785581	0.0601065	0.0970261	0.0513706	0.0582795	0.0579929	0.0499343
la	0.0406505	0.029142	0.0206296	0.0171931	0.0177364	0.0152517	0.0174816	0.0176979	0.0145087	0.0158013	0.0142341	0.0127729	0.0141921	0.0109442	0.00922426	0.00830856	0.0106004	0.0160308	0.0173244	0.0117794	0.0133921	0.0152789	0.0211365	0.029261	0.0372309	0.0455388	0.0644237	0.0481566	0.0991832	0.0632343	0.0786262	0.0662409	0.0867928
plus	0.0334461	0.0193097	0.0149126	0.0134673	0.0181577	0.0142676	0.0198969	0.0249432	0.0316733	0.0467065	0.0422776	0.0191758	0.0201827	0.0103636	0.0154314	0.0190253	0.0223514	0.0284539	0.0279304	0.0246267	0.0309701	0.0253941	0.0217721	0.0299214	0.0278882	0.028421	0.0634868	0.0340425	0.0746954	0.0665356	0.0533186	0.0378016	0.0391529
grande	0.0317875	0.0343811	0.0195946	0.0194985	0.0194046	0.0145781	0.0191611	0.0221283	0.0170844	0.0214259	0.0252453	0.0162022	0.0177172	0.0109286	0.00856839	0.0102077	0.0120619	0.0207401	0.0250022	0.0231699	0.033651	0.0316652	0.0326477	0.0427433	0.0308237	0.0244693	0.0718329	0.0390785	0.0750407	0.0708402	0.0637896	0.0512005	0.0433296
familiarité	0.0308494	0.0288765	0.0222404	0.0225866	0.020023	0.0222517	0.0187344	0.0183561	0.0101224	0.011788	0.0100334	0.0109859	0.0166359	0.0228127	0.0196241	0.0212328	0.021331	0.0237016	0.0247391	0.0239371	0.0256967	0.0262706	0.0330346	0.0429717	0.0342039	0.024809	0.0463436	0.0479074	0.0725885	0.0523408	0.0626234	0.0690453	0.0613023
</S>	0.0360872	0.0311668	0.0210706	0.0216245	0.0191858	0.0212456	0.0202771	0.0201328	0.0179979	0.0174477	0.0133106	0.0162115	0.0201503	0.0184413	0.0155723	0.0201222	0.0204743	0.0258089	0.0327993	0.0319945	0.0344982	0.035828	0.038645	0.0306796	0.026228	0.0228958	0.0339104	0.0515029	0.0541299	0.0412591	0.0505238	0.0566526	0.0821255
