 	a66	a87	a97	a87	a97	a30	a53	a90	a93	a25	a69	a15	a20	a0	a4	a93	a94	a13	a4	a13	a44	a26	a57	a3	a97	a87	a97	</S>
après	0.0572382	0.0677032	0.0824601	0.0442485	0.0407844	0.0406511	0.040082	0.0288368	0.0218311	0.0361722	0.0308626	0.0571203	0.0344738	0.026961	0.0354574	0.0115863	0.0128187	0.0109718	0.0127645	0.010558	0.0151832	0.0197616	0.0281525	0.0292731	0.0427976	0.0504218	0.0429074	0.067921
la	0.00893724	0.00480763	0.00325017	0.00292475	0.00364708	0.00810659	0.012539	0.0220108	0.0201307	0.0405974	0.0737203	0.0771475	0.0717721	0.123485	0.0821264	0.0445897	0.0261066	0.0229546	0.0299803	0.0360682	0.0464381	0.0292101	0.0310151	0.0413545	0.0378768	0.0231334	0.0526055	0.0234644
mort	0.0811945	0.0120955	0.0098976	0.00503338	0.00224297	0.0037708	0.00770285	0.0140927	0.0198037	0.0309068	0.0317885	0.0184231	0.0135632	0.0162775	0.00775872	0.0118753	0.011784	0.0113398	0.0713295	0.0663429	0.0503563	0.0626795	0.070965	0.0896193	0.0594059	0.0909747	0.0887477	0.040028
de	0.0363461	0.0146703	0.0121607	0.0130083	0.0150572	0.0120149	0.00597917	0.00880217	0.0142112	0.0203409	0.0413122	0.0423927	0.0387299	0.11869	0.0844647	0.0568378	0.0208324	0.0229515	0.0244941	0.0470347	0.028802	0.0430305	0.0444037	0.0242267	0.0258073	0.0426011	0.0401989	0.100599
sa	0.0678974	0.0268925	0.0221691	0.0229349	0.0253983	0.0189733	0.0169901	0.0165028	0.00703438	0.0133215	0.00926261	0.0172041	0.0301798	0.0813264	0.0380923	0.02683	0.0348064	0.0468723	0.0502034	0.0546551	0.0213603	0.0362274	0.0552247	0.0656343	0.0608425	0.0450326	0.0453636	0.0427679
mère	0.0851497	0.0330167	0.0304649	0.0401869	0.0296715	0.0475468	0.0186871	0.0436147	0.0368695	0.0338715	0.034889	0.0113173	0.0214154	0.0221209	0.0436387	0.0395795	0.0227399	0.0183952	0.0314669	0.0369632	0.0620958	0.0420944	0.0561412	0.0501321	0.0297436	0.0250106	0.0294933	0.0236839
elle	0.0727616	0.0599858	0.045596	0.036226	0.0254131	0.0272097	0.0336873	0.0442054	0.0324423	0.0363472	0.0352712	0.0261912	0.0197594	0.0366289	0.027185	0.0216389	0.0159311	0.00783595	0.00937555	0.0128664	0.0333992	0.0203816	0.0367228	0.0554867	0.0439588	0.0336806	0.0502884	0.0995238
se	0.0559157	0.0528042	0.0372255	0.0322198	0.0138869	0.0197379	0.0122585	0.032509	0.0222992	0.0262143	0.0351116	0.0176988	0.0186972	0.0180604	0.0288856	0.03465	0.0233871	0.0162445	0.0184136	0.0283791	0.0721709	0.0430328	0.0710529	0.059303	0.0507287	0.0417582	0.0575315	0.0598229
lança	0.0331101	0.0416964	0.0352968	0.0334768	0.0209567	0.0202918	0.00869905	0.012626	0.0138705	0.0331634	0.120361	0.0884652	0.0542885	0.0857832	0.0876547	0.0266151	0.00597274	0.00472865	0.00570446	0.00684606	0.0134637	0.0152582	0.0260017	0.0241966	0.0327773	0.0330418	0.0475808	0.0680728
dans	0.0393677	0.0489685	0.047079	0.0389246	0.0154515	0.020253	0.00837998	0.015106	0.0131374	0.0185079	0.044474	0.0247497	0.0358895	0.0339793	0.0469001	0.0294572	0.014496	0.0103956	0.031318	0.0280718	0.0177746	0.0178097	0.0310016	0.0271659	0.0486267	0.0599411	0.0968852	0.135889
la	0.0508137	0.0420734	0.0337378	0.0205547	0.0077033	0.00664632	0.00254808	0.0105443	0.00445536	0.00598943	0.0107349	0.00920527	0.0070174	0.00945531	0.0135529	0.0175143	0.0177678	0.0151571	0.0249809	0.0338824	0.0333388	0.0271268	0.0335707	0.0334778	0.0521986	0.0658868	0.107968	0.302098
prostitution	0.025375	0.00618288	0.00422352	0.00274834	0.00130419	0.00180871	0.000883747	0.00316508	0.00203881	0.00396279	0.00801075	0.00892487	0.0071471	0.00756495	0.0096549	0.00482604	0.00545778	0.00372815	0.00812089	0.0101383	0.0134159	0.0469482	0.0870544	0.106391	0.138985	0.129314	0.176114	0.176511
</S>	0.0813618	0.0499676	0.0361921	0.0204118	0.00711314	0.00929311	0.002634	0.00836422	0.0113428	0.0158536	0.0128908	0.00939461	0.0150135	0.00933771	0.0166897	0.0143588	0.0125582	0.00974604	0.0150691	0.0184553	0.0164801	0.0318605	0.0558953	0.0763767	0.101723	0.080129	0.101399	0.160088
