 	a23	a87	a23	a87	a23	a20	a44	a38	a0	a26	a35	a18	a38	a41	a18	a24	a25	a38	a73	a27	a38	a24	a41	a18	a71	a38	a76	a90	a13	a18	a24	a98	a75	a73	a84	a57	a87	</S>
il	0.0360331	0.0448297	0.0710957	0.0391168	0.050023	0.0744641	0.0666685	0.0458466	0.0313651	0.0321597	0.0595905	0.056061	0.03933	0.0316416	0.0326346	0.0377617	0.0331183	0.0403122	0.0163379	0.0104779	0.0103117	0.00807845	0.007083	0.00621816	0.00555601	0.00687888	0.00651559	0.00653873	0.00647071	0.00614349	0.0107414	0.0115673	0.0107984	0.00962195	0.0103148	0.00657977	0.0043908	0.0173227
a	0.00161275	0.00197863	0.00261823	0.00292253	0.00369038	0.00496403	0.0176774	0.0240906	0.0279788	0.0300673	0.0365129	0.0531241	0.0423753	0.0368574	0.0612309	0.0424689	0.0516003	0.044741	0.0555626	0.0280623	0.0428754	0.043065	0.0447987	0.029702	0.0351746	0.0239538	0.020299	0.0116333	0.0146764	0.0221185	0.0177162	0.00906918	0.0152525	0.0142281	0.0193794	0.0167698	0.0278743	0.0212774
une	0.0171066	0.00808683	0.00775546	0.00648967	0.00567802	0.00816503	0.0110004	0.0100154	0.0104153	0.0133977	0.0117734	0.0199901	0.0124285	0.0131927	0.0279896	0.0223545	0.0373155	0.0360029	0.0611377	0.0215476	0.0372122	0.0330213	0.0336364	0.0138999	0.00935478	0.0119229	0.0112373	0.0135914	0.0142252	0.0301612	0.0202427	0.0366642	0.0402852	0.0559737	0.0567168	0.0511591	0.0813705	0.087482
barbe	0.0236884	0.0216369	0.0157709	0.0201802	0.0399391	0.0258649	0.0242769	0.0205016	0.0211132	0.0139558	0.0141357	0.020221	0.0160511	0.0225285	0.00716302	0.00721642	0.0118889	0.00525599	0.0167261	0.0121987	0.0212913	0.0272365	0.0382902	0.0870662	0.0879847	0.0634815	0.0614154	0.0325919	0.0230248	0.0303867	0.023975	0.0168524	0.0215397	0.0154462	0.021692	0.0175689	0.0239002	0.0259431
rare	0.0818928	0.0378848	0.0299745	0.0236709	0.0316145	0.0279428	0.0172908	0.0225482	0.0218667	0.0119489	0.0119302	0.00587646	0.00879085	0.00869231	0.00574308	0.007477	0.00527786	0.00650074	0.00904058	0.00510735	0.00363164	0.00406453	0.00369537	0.00554738	0.0122567	0.00635857	0.00591146	0.00305541	0.00458464	0.00773926	0.0128759	0.0255406	0.022763	0.0323647	0.0481678	0.0611673	0.0937185	0.265486
elle	0.0782287	0.0368401	0.0356552	0.0203026	0.0139525	0.0110109	0.00922394	0.0114698	0.0135197	0.00983477	0.00679583	0.0157121	0.0107007	0.0100718	0.0130433	0.012174	0.0174723	0.0110773	0.0183019	0.0112075	0.017969	0.0188604	0.0275276	0.0417749	0.0432436	0.0397466	0.0233855	0.0185955	0.0278864	0.0396619	0.0275163	0.0141442	0.0238611	0.029818	0.0538926	0.0623215	0.0595633	0.0636366
ne	0.0521633	0.0162092	0.0205333	0.0178204	0.0234059	0.0173999	0.0117282	0.0223849	0.0328463	0.0145752	0.0126896	0.0160464	0.022467	0.0207883	0.0166094	0.0183312	0.0364887	0.0080486	0.0276639	0.0258197	0.0348655	0.0468269	0.0556139	0.048846	0.032786	0.0222519	0.015045	0.0110327	0.0160681	0.0183429	0.0165675	0.0106527	0.0125006	0.0146544	0.0255254	0.0438333	0.0781459	0.0624222
pousse	0.0187588	0.0165359	0.0145669	0.0211931	0.0210327	0.00713822	0.00691446	0.0164801	0.0282778	0.0175495	0.0137959	0.0242829	0.0258556	0.022975	0.0201658	0.0186346	0.0253955	0.0110555	0.0193443	0.0175043	0.0245972	0.0168277	0.0314856	0.0231397	0.0236767	0.0147537	0.0151742	0.0103836	0.0127013	0.0171823	0.0321328	0.0305063	0.0366572	0.040639	0.0552762	0.0676007	0.0870131	0.0927956
pas	0.0477891	0.0409021	0.0372405	0.0426754	0.0462077	0.0257557	0.0171362	0.0168349	0.0186417	0.0157218	0.0107691	0.0223098	0.0180878	0.0150156	0.0155291	0.0154916	0.024978	0.0108989	0.0222024	0.0208063	0.034013	0.0278608	0.0226524	0.0297738	0.0232976	0.0156484	0.01225	0.0118409	0.015115	0.0187276	0.0198392	0.0114063	0.0204253	0.0225866	0.0370431	0.0436981	0.0680655	0.0807627
vite	0.0616076	0.0492625	0.0457624	0.051749	0.0377209	0.017651	0.0232241	0.0132952	0.0118842	0.013312	0.0104442	0.015227	0.0112074	0.00903366	0.00870819	0.00907987	0.00949436	0.00632109	0.00591479	0.00606136	0.0103258	0.00857175	0.00772163	0.0159819	0.0122163	0.00958594	0.00743983	0.00871257	0.0149338	0.022728	0.0273906	0.0164804	0.0290647	0.0318678	0.0608379	0.0646744	0.0885313	0.145975
</S>	0.0433021	0.0246697	0.0243934	0.0159559	0.0105706	0.00558836	0.00563487	0.00340179	0.00408441	0.00441565	0.00406769	0.005307	0.00572193	0.00391927	0.00500647	0.0060462	0.00527881	0.00325466	0.00552808	0.00280879	0.00359143	0.00322851	0.00448908	0.00733941	0.00827263	0.00894379	0.00766442	0.00663878	0.0169534	0.0369432	0.0527702	0.054118	0.0883701	0.0679687	0.0823579	0.0643678	0.11234	0.184687
