 	a66	a87	a23	a61	a88	a62	a93	a90	a98	a92	a56	a21	a5	a92	a85	a37	a56	a34	a85	a47	a36	a2	a57	a87	a23	a87	</S>
il	0.0462144	0.0416263	0.0302475	0.0193701	0.017183	0.0181835	0.019378	0.0228306	0.0315594	0.0270972	0.0331215	0.0198471	0.0205629	0.0378536	0.0246074	0.0485235	0.0438686	0.0291	0.0387351	0.0374653	0.029587	0.0251191	0.0338131	0.0490861	0.0596558	0.0843702	0.110994
y	0.0266447	0.0275316	0.0377419	0.0297716	0.0290299	0.027116	0.0152468	0.0183231	0.0191041	0.03757	0.0319002	0.0375752	0.0423083	0.0340235	0.0387213	0.019676	0.0372973	0.052734	0.0354696	0.0487331	0.0517857	0.100098	0.0617952	0.0423252	0.0351941	0.0417299	0.0205541
a	0.0629603	0.0400939	0.0385212	0.0196461	0.0271505	0.00982569	0.00822714	0.005973	0.00523497	0.0051318	0.00915647	0.00877168	0.0113212	0.009684	0.0142766	0.0137531	0.0187541	0.0384003	0.0534464	0.078151	0.0555877	0.120669	0.0761162	0.0832993	0.0604021	0.0694737	0.0559731
une	0.0395231	0.0334323	0.0332427	0.0567828	0.0394874	0.0410251	0.0542576	0.0583146	0.110544	0.185049	0.0885139	0.049339	0.0268246	0.0256383	0.0262727	0.0158304	0.0103698	0.00917717	0.00933088	0.00911137	0.00825043	0.00538518	0.00707047	0.00938429	0.0119719	0.0101702	0.0257015
semaine	0.128265	0.0806251	0.0360848	0.0272306	0.0159053	0.0150622	0.0227277	0.0238346	0.0376955	0.0474049	0.0508864	0.0506386	0.058722	0.0630836	0.0697964	0.0456157	0.0279121	0.0199394	0.0312196	0.0172465	0.0157541	0.0163557	0.0205821	0.0224488	0.0226938	0.0165003	0.0157693
de	0.0965746	0.0636713	0.0750456	0.0298193	0.020492	0.00776924	0.00644827	0.00254776	0.00547541	0.00527952	0.0127358	0.0156521	0.0271287	0.0218354	0.0333791	0.036582	0.046885	0.0456471	0.0728509	0.0413072	0.0556998	0.0347593	0.0554893	0.0420706	0.0625344	0.0203202	0.0620001
cela	0.100327	0.0769156	0.0776722	0.0641316	0.0822088	0.0532549	0.0354333	0.0198641	0.0298518	0.025189	0.0179622	0.0268057	0.0216927	0.0176843	0.0170875	0.0239002	0.0213882	0.0201389	0.0264456	0.0225275	0.0234612	0.0266702	0.0224843	0.0386913	0.0305125	0.0254588	0.0522411
qu'	0.0940877	0.0651746	0.0621446	0.05504	0.052663	0.0315149	0.038407	0.0227503	0.0246149	0.0236763	0.0208785	0.0244583	0.0200828	0.0118782	0.0113642	0.0161934	0.039494	0.0329611	0.0338838	0.0342218	0.0500723	0.0433365	0.0351217	0.0419172	0.0385276	0.0270046	0.0485308
il	0.0789297	0.0610097	0.0576148	0.051774	0.0488992	0.0279516	0.0298972	0.0193527	0.020054	0.0200268	0.0370962	0.0344827	0.0402385	0.0328717	0.0283383	0.0303867	0.0490567	0.0375157	0.0326522	0.0344663	0.0497628	0.0302088	0.0258118	0.0284276	0.0359881	0.0301216	0.0270643
est	0.0364464	0.0253548	0.022698	0.0221407	0.03082	0.0201701	0.0426915	0.0325567	0.031148	0.0289923	0.0279466	0.0201258	0.0203069	0.0238678	0.0223167	0.0337711	0.0236005	0.0248757	0.0205505	0.0401523	0.0618357	0.068119	0.0706174	0.0675105	0.066487	0.0659778	0.04892
parti	0.0774305	0.0473966	0.0471629	0.0320882	0.0293557	0.023422	0.0240976	0.0275581	0.0323154	0.0338282	0.0290106	0.0316691	0.0261317	0.0258473	0.0174165	0.0208066	0.0264679	0.0274251	0.0244501	0.0353335	0.0358267	0.0547806	0.061391	0.0646003	0.0445812	0.0410563	0.0585502
à	0.0426851	0.0258267	0.018923	0.0128811	0.0114854	0.0112358	0.00945378	0.0142129	0.019799	0.0221985	0.0228964	0.019238	0.0154779	0.018464	0.0143931	0.0127292	0.0276968	0.0394825	0.0306923	0.0508776	0.0657525	0.0742088	0.0967675	0.0697765	0.0939439	0.0836576	0.0752441
brazaville	0.0356764	0.0205698	0.0134738	0.00929906	0.0084789	0.00843302	0.0087202	0.00870421	0.0121814	0.0166111	0.0155387	0.0125616	0.0103835	0.0128486	0.0114369	0.0142448	0.0264842	0.0362052	0.0369508	0.0491555	0.0605497	0.0574972	0.086749	0.0697109	0.112728	0.105711	0.139096
</S>	0.031853	0.0177359	0.0133811	0.00902349	0.00722071	0.00643149	0.00650409	0.00757083	0.0116516	0.0164595	0.0191658	0.0175493	0.0198129	0.023686	0.0261096	0.023891	0.0296341	0.0326511	0.0394573	0.0405092	0.0552658	0.0540426	0.0733071	0.07824	0.10328	0.105284	0.130282
