 	a66	a87	a23	a30	a20	a79	a94	a44	a70	a50	a34	a5	a12	a96	a18	a11	a70	a61	a54	a79	a44	a56	a70	a66	a34	a5	a7	a26	a10	a82	a10	a82	a97	a30	a82	a27	a82	</S>
il	0.0622957	0.0772396	0.0484954	0.0806229	0.0884819	0.0715352	0.0776989	0.0539266	0.0302335	0.0437603	0.025364	0.0218292	0.0155027	0.0114775	0.00689078	0.00829325	0.00671151	0.00585615	0.0041259	0.00604679	0.00403918	0.00503606	0.00799608	0.00581242	0.00584117	0.00570373	0.0135286	0.0159762	0.0187282	0.0230641	0.0135914	0.0183307	0.0166736	0.0202998	0.0159587	0.021257	0.0218171	0.0199584
n'	0.00864422	0.0159314	0.0324352	0.0399046	0.0334618	0.0329883	0.030836	0.0429153	0.0320043	0.0204873	0.0224615	0.0258895	0.0189372	0.0265344	0.0342318	0.0325394	0.0235051	0.0255667	0.0277751	0.015877	0.0147599	0.0139079	0.0126059	0.0113878	0.0131769	0.0226377	0.0239245	0.0248706	0.0311804	0.0320082	0.0421299	0.0345695	0.026246	0.0348129	0.0431822	0.0314128	0.0285272	0.0157333
a	0.0274916	0.0214604	0.0183448	0.0198645	0.0105817	0.0178882	0.022071	0.0363557	0.04423	0.0569034	0.0603432	0.0566592	0.0483365	0.0709294	0.0880108	0.0909647	0.023443	0.0282476	0.0211461	0.00957484	0.00859778	0.0082069	0.00292524	0.005214	0.00479938	0.00706577	0.00694835	0.0101452	0.00959167	0.00937074	0.00806417	0.0119312	0.0123286	0.0178337	0.0249598	0.023515	0.0255697	0.0300864
pas	0.107566	0.0822229	0.0858133	0.0447523	0.020125	0.0316915	0.0350651	0.0259286	0.0290099	0.0173872	0.0128287	0.011011	0.0121272	0.0139777	0.00896728	0.0110511	0.0170952	0.0214127	0.0330907	0.0406011	0.0447819	0.0524281	0.0328737	0.0242553	0.0156163	0.0153164	0.0106102	0.00872049	0.00690737	0.0089721	0.00918754	0.0115182	0.0124694	0.0126254	0.00930538	0.0161712	0.0138829	0.0326336
répondu	0.0642805	0.0332256	0.0273978	0.0230899	0.0179018	0.025731	0.0379203	0.0361575	0.0515423	0.0634163	0.0408386	0.0339312	0.0281009	0.0279932	0.0248914	0.0259621	0.0153806	0.019066	0.0261126	0.0190296	0.0134308	0.0127322	0.00945105	0.0115714	0.00996548	0.0139004	0.0126111	0.0115736	0.012268	0.0160333	0.0121111	0.0262339	0.0208866	0.0263837	0.0217827	0.0349267	0.0373157	0.0548531
quand	0.0368055	0.0557439	0.0481027	0.0533391	0.0339938	0.0393491	0.0343153	0.0500551	0.0157495	0.0418426	0.0438128	0.0259352	0.0150944	0.0235507	0.0280369	0.0284858	0.0199496	0.0211364	0.0174816	0.0150377	0.0104181	0.0151282	0.0226178	0.0257861	0.0150669	0.0243018	0.0185551	0.0250611	0.0238325	0.0121966	0.0142999	0.0195586	0.020764	0.0207068	0.0198124	0.0182819	0.0235887	0.0222058
je	0.0198165	0.0116118	0.00587344	0.00601244	0.00454524	0.00584663	0.00610586	0.00630348	0.00930198	0.00751217	0.00859926	0.00648164	0.00683145	0.00551167	0.00828604	0.0066786	0.00601167	0.00901353	0.0132474	0.0117954	0.0244203	0.0200301	0.0121698	0.0342787	0.0295071	0.0754395	0.0690182	0.0620836	0.0737728	0.0665562	0.0595688	0.0549696	0.0424766	0.0624635	0.0481972	0.0432154	0.0367729	0.0196734
l'	0.042621	0.0182	0.0137737	0.0128006	0.0108007	0.0102987	0.0109336	0.0145707	0.0136164	0.0228723	0.0244262	0.0201408	0.0200426	0.0150584	0.0252599	0.0209037	0.0145754	0.0207379	0.021346	0.0180809	0.0237238	0.0208831	0.0101777	0.0130667	0.0165001	0.0297771	0.0355115	0.0334988	0.0391543	0.0374122	0.035767	0.0396616	0.0444272	0.0507405	0.0612377	0.0482951	0.0411246	0.0479816
ai	0.0305582	0.0236988	0.0237059	0.0132064	0.0125077	0.00985806	0.0147134	0.0142226	0.017309	0.0158959	0.0288722	0.0191791	0.0228535	0.023597	0.0236062	0.0353598	0.034976	0.0359322	0.0282621	0.0471766	0.0575764	0.0547806	0.0392496	0.038693	0.0253802	0.0226838	0.0284894	0.0173043	0.0116264	0.0139038	0.00949196	0.0173334	0.0246356	0.0396919	0.0349555	0.0206114	0.0373141	0.030788
appelé	0.0214341	0.0121353	0.0112274	0.00883541	0.0133455	0.0227157	0.0271226	0.0260255	0.0150823	0.0224494	0.0275974	0.0138411	0.00917646	0.0104594	0.0130952	0.0264939	0.0152464	0.0100283	0.00620647	0.00545672	0.00584207	0.0083119	0.00686546	0.0076411	0.00817919	0.00783748	0.0130739	0.0128504	0.0153355	0.0262498	0.0128633	0.0552527	0.0523834	0.0773294	0.0527165	0.0720497	0.0969141	0.15033
</S>	0.0138086	0.0173412	0.0159725	0.0158537	0.0250647	0.0223608	0.0232791	0.0247996	0.0215936	0.0195681	0.0360225	0.0209985	0.0135473	0.016309	0.0195993	0.0237666	0.0212626	0.0203378	0.0168235	0.0129577	0.0133341	0.0152914	0.00865332	0.0162812	0.0125612	0.0184182	0.0176846	0.0154544	0.0147838	0.0174023	0.0115638	0.0339448	0.0300049	0.0557025	0.0525146	0.0652105	0.0971973	0.10273
