 	a23	a87	a23	a10	a87	a10	a87	a23	a40	a30	a73	a94	a54	a73	a36	a24	a31	a24	a25	a38	a75	a73	a94	a20	a84	a57	a87	</S>
il	0.102257	0.0614721	0.077875	0.0578419	0.047124	0.0216319	0.0248986	0.0382958	0.0311613	0.0307586	0.0286463	0.0403136	0.0529611	0.0440455	0.0439552	0.0159137	0.0112313	0.00294295	0.00565651	0.00841624	0.0155398	0.0365439	0.0296778	0.0536792	0.0498304	0.025618	0.0115141	0.0301989
n	0.022551	0.015445	0.0149717	0.0138297	0.0222624	0.0245307	0.0312922	0.0122749	0.0365739	0.0309288	0.0260965	0.0350944	0.0713571	0.171779	0.079828	0.0497262	0.0646793	0.0101651	0.0265513	0.0144054	0.0138385	0.0143673	0.0186178	0.0226791	0.0253639	0.0269982	0.0333164	0.0704762
'	0.0723896	0.0298988	0.024425	0.0145915	0.0146973	0.0112039	0.0165703	0.0129025	0.0227395	0.0320259	0.02188	0.0345331	0.0416454	0.0540198	0.0336918	0.04257	0.0254318	0.0226189	0.0168035	0.00964145	0.00479525	0.0105265	0.027232	0.0428532	0.0617977	0.0610907	0.0932275	0.144197
y	0.0479814	0.0491241	0.0371037	0.0349878	0.0245692	0.0376954	0.0239066	0.0171004	0.0357192	0.0281108	0.0401188	0.0351846	0.0254967	0.0401491	0.0150324	0.0104636	0.00853743	0.0113916	0.0203749	0.0351951	0.0567399	0.0409063	0.0459739	0.0517896	0.0502895	0.0645819	0.0580656	0.0534106
en	0.0548455	0.0463368	0.0363112	0.042343	0.0407155	0.0444698	0.0279055	0.0318473	0.0490828	0.0356191	0.0376161	0.0364038	0.0187785	0.0241954	0.0207376	0.025206	0.0192541	0.0139519	0.0162543	0.0240338	0.0206803	0.0329804	0.0447842	0.0543512	0.0609462	0.0470665	0.0467083	0.0465751
a	0.0245526	0.0267129	0.0288971	0.0344754	0.0489076	0.0511859	0.0622879	0.103587	0.0635848	0.0536546	0.0118685	0.0271863	0.0178119	0.0204739	0.0543163	0.038749	0.0399931	0.0480727	0.053336	0.0398805	0.0320513	0.0178364	0.0113754	0.0189991	0.0148988	0.0122413	0.0145438	0.0285203
pas	0.104809	0.0916021	0.0828461	0.0824322	0.0725822	0.0719348	0.0487956	0.0472541	0.0557073	0.019136	0.0124972	0.0187298	0.0249732	0.0348919	0.0243793	0.0197608	0.011282	0.00598911	0.00861105	0.00712381	0.00636122	0.0101931	0.0168114	0.0222149	0.0187928	0.0279163	0.0189187	0.0334539
assez	0.0920105	0.0792271	0.0721004	0.0791039	0.0706586	0.0491321	0.0461195	0.029919	0.0288374	0.0247161	0.0134378	0.0226697	0.0243895	0.0624412	0.0180178	0.0153106	0.0114996	0.00631874	0.0110748	0.0122721	0.0146448	0.0213712	0.0191047	0.0293727	0.0253059	0.0355625	0.0300125	0.055369
pour	0.230275	0.0798533	0.0710173	0.0535437	0.0579081	0.0333511	0.0345211	0.0218616	0.0136428	0.00744347	0.00515987	0.00311591	0.0061199	0.0112018	0.00507719	0.0122908	0.00702528	0.00530561	0.021677	0.014001	0.0172791	0.0173138	0.022647	0.0249024	0.0380776	0.0295044	0.0417855	0.114099
moi	0.212825	0.0874065	0.0854665	0.0508469	0.0652416	0.0427103	0.0462623	0.0272566	0.0159843	0.00968745	0.00838492	0.00727364	0.0109864	0.0170338	0.00894491	0.0116144	0.00981746	0.00908938	0.00795564	0.00965001	0.0087419	0.0100221	0.0143424	0.0179707	0.0215104	0.0197496	0.0325824	0.130643
</S>	0.237672	0.0831473	0.0670231	0.023677	0.0357182	0.0169975	0.0274669	0.0191222	0.0105524	0.00573955	0.00288417	0.00469384	0.0042489	0.00270005	0.00397629	0.00668567	0.00564346	0.00814625	0.0150712	0.0136594	0.0141885	0.0180488	0.0308422	0.0446112	0.0547481	0.0436218	0.0691433	0.12997
