 	a23	a85	a87	a23	a20	a73	a37	a24	a32	a38	a61	a41	a24	a41	a61	a24	a61	a31	a32	a25	a38	a41	a24	a31	a43	a75	a41	a98	a41	a98	a73	a76	a41	a35	a56	a98	a38	a0	a31	a98	a9	a87	</S>
il	0.0113698	0.0247742	0.0666111	0.0540154	0.0432077	0.0712265	0.0603777	0.0553651	0.0709748	0.0444636	0.0486913	0.0435184	0.054405	0.0453781	0.0691867	0.0573619	0.0589648	0.0129418	0.0180415	0.0119758	0.00385826	0.00412722	0.00325483	0.0042692	0.001429	0.00140394	0.00160715	0.00170922	0.00169422	0.00256044	0.00212378	0.00158548	0.00157515	0.0042371	0.00557009	0.00528535	0.00292543	0.00264362	0.00381733	0.00925448	0.00379516	0.00263064	0.00579165
a	0.00188131	0.00141404	0.00428079	0.00586701	0.0102064	0.0205864	0.0256674	0.0260734	0.0345269	0.0270794	0.0290065	0.0301318	0.0390673	0.0374347	0.0223119	0.0331427	0.0346021	0.034966	0.0262254	0.034395	0.0291445	0.0352525	0.0241595	0.0382556	0.0181095	0.0154428	0.0137362	0.0128052	0.0100597	0.00711874	0.00651291	0.0081439	0.0167383	0.0252576	0.0294086	0.0246484	0.0320245	0.0300722	0.0369482	0.0347638	0.025477	0.025379	0.021675
trouvé	0.0131589	0.00793332	0.00768234	0.00800927	0.0169502	0.0144704	0.0156008	0.0306592	0.027355	0.0359215	0.0344656	0.0305231	0.0396761	0.0271284	0.0213226	0.0269456	0.0192167	0.027079	0.0185904	0.0180681	0.0275396	0.023488	0.0082451	0.0391794	0.0124685	0.0125788	0.00662849	0.00602977	0.00349274	0.00314772	0.00372218	0.00648509	0.00826027	0.0169926	0.0116341	0.0288206	0.0322125	0.0417086	0.0549776	0.0538048	0.0407856	0.056511	0.0605301
une	0.0580211	0.0781421	0.0666313	0.0666691	0.0702952	0.029645	0.0234611	0.0598371	0.0378676	0.0406992	0.0279737	0.025524	0.0314773	0.0186651	0.0206904	0.0239754	0.0158172	0.0137007	0.0244298	0.0211553	0.0106261	0.00975316	0.00787068	0.0103769	0.0175609	0.0152279	0.0164171	0.0132547	0.00899989	0.0112257	0.00653864	0.0092509	0.00480567	0.00263101	0.00369573	0.00328474	0.00324815	0.00381257	0.00531866	0.00982976	0.00962342	0.0155937	0.0463763
astuce	0.0247257	0.00704799	0.00887089	0.00587192	0.0145862	0.0108331	0.00825963	0.0116072	0.0197288	0.0321186	0.0256288	0.0239684	0.0314023	0.02701	0.0265531	0.0396951	0.0328918	0.0337573	0.0280277	0.0177369	0.029958	0.0257192	0.0349857	0.0277689	0.0254721	0.0282005	0.0288289	0.0344484	0.0276379	0.025761	0.0205007	0.0168544	0.01188	0.00825374	0.00888661	0.0129387	0.0108946	0.0083487	0.0210223	0.0419635	0.0336612	0.0387116	0.0469821
pour	0.015887	0.0141915	0.0116759	0.0153501	0.0164987	0.0124447	0.0185525	0.0362938	0.0372686	0.0314035	0.0382564	0.0283437	0.0426405	0.0421289	0.0426548	0.0438402	0.0403894	0.0241874	0.0401712	0.0243735	0.0161341	0.0158503	0.011063	0.0223365	0.0123449	0.00996725	0.0105409	0.00883209	0.0102652	0.00572741	0.00607639	0.00393305	0.00158682	0.00332536	0.00448455	0.0108627	0.00885785	0.0151429	0.0352606	0.0681254	0.0287229	0.0407341	0.0732735
faire	0.0406305	0.0292697	0.0260891	0.0221373	0.0124843	0.0113062	0.013967	0.00841097	0.0137254	0.0111808	0.0167758	0.0109822	0.0141242	0.0235238	0.0248353	0.0143733	0.0372227	0.0351119	0.0528074	0.0382177	0.0264189	0.0227556	0.0273221	0.0259762	0.0150275	0.0170334	0.0214537	0.0157704	0.0160277	0.0156632	0.0149672	0.0173741	0.0183235	0.016938	0.016897	0.0238542	0.0244767	0.0257376	0.043191	0.0499734	0.0217846	0.0336365	0.0322217
faire	0.0602188	0.0340692	0.0319423	0.0250339	0.0197454	0.0111529	0.00999652	0.00830653	0.0144807	0.0111048	0.0107978	0.00850324	0.0112734	0.0243633	0.0160527	0.0147606	0.0206525	0.0230019	0.0385055	0.0428437	0.0260506	0.027168	0.0307299	0.0285226	0.0229757	0.0152423	0.0322121	0.0241123	0.0110294	0.0263755	0.0176063	0.0178462	0.0197788	0.0183706	0.0180816	0.0245385	0.0264302	0.0275106	0.029199	0.032726	0.0234656	0.0298772	0.033345
son	0.0745735	0.0244326	0.0371624	0.0184092	0.0164329	0.0136451	0.00691035	0.00672052	0.015313	0.012689	0.0100644	0.011706	0.0116658	0.012917	0.0109146	0.0122542	0.0115361	0.0121228	0.0155824	0.0156078	0.012952	0.0144746	0.0131471	0.0132058	0.0127245	0.0111552	0.0128251	0.0119714	0.00747604	0.0117858	0.00958647	0.0101617	0.0151181	0.0316124	0.0344428	0.0493658	0.0408514	0.0385313	0.0418635	0.0577241	0.0456443	0.0449125	0.107808
travail	0.0252376	0.0155055	0.0240892	0.014552	0.0115261	0.0115848	0.00886227	0.0115569	0.014994	0.0149552	0.0144088	0.0139509	0.0197254	0.0179916	0.0233655	0.0244757	0.0195584	0.0181233	0.0332522	0.0276628	0.0137499	0.014595	0.00796143	0.0140333	0.0146147	0.0129966	0.0178195	0.0200835	0.0163569	0.02066	0.0217603	0.0214244	0.0194716	0.0470531	0.0581436	0.0544717	0.0457662	0.038679	0.0360612	0.042919	0.0338766	0.0300926	0.0320314
