 	a10	a87	a40	a47	a37	a90	a98	a92	a85	a37	a70	a34	a83	a38	a62	a88	a61	a0	a75	a5	a96	a21	a47	a21	a62	a88	a62	a96	a61	a0	a75	a94	a4	a13	a9	a87	a23	a87	a23	a97	</S>
les	0.0588893	0.0516585	0.0409746	0.0515849	0.06796	0.0698807	0.0759894	0.068215	0.0325815	0.0198635	0.0296126	0.0334833	0.0163681	0.0280368	0.0197929	0.0156133	0.0153146	0.011402	0.00795228	0.0138609	0.0125633	0.021016	0.0117491	0.0202359	0.0148341	0.0144742	0.0117492	0.0106116	0.010122	0.0126068	0.0117645	0.00741217	0.00933205	0.0120944	0.0123416	0.00989829	0.0102592	0.0134112	0.00967061	0.0083564	0.0264634
militaires	0.00313491	0.00489589	0.00739826	0.0105131	0.0317971	0.0271336	0.038351	0.0765206	0.181212	0.112058	0.146534	0.165531	0.0555603	0.035508	0.0226176	0.0151381	0.00675952	0.00968438	0.00598305	0.00604208	0.00714023	0.00501863	0.00366591	0.00411308	0.00305181	0.00158334	0.000900915	0.00145023	0.000963604	0.000743065	0.000430362	0.000549123	0.0009135	0.000905621	0.000938622	0.000619642	0.000669078	0.000891348	0.000692503	0.0010136	0.00137262
ont	0.0173876	0.0148446	0.00944862	0.0104988	0.0106037	0.0206592	0.0475411	0.068158	0.0653988	0.0484467	0.0603101	0.0709815	0.077953	0.0882268	0.0507234	0.0414732	0.0302539	0.0313198	0.0348557	0.0249568	0.0178282	0.0226667	0.0101839	0.00854991	0.00658294	0.00287388	0.00448966	0.00407665	0.00475833	0.00224437	0.00242087	0.002582	0.00369024	0.00457349	0.00736763	0.00783064	0.0121825	0.00719251	0.0131047	0.0246299	0.00612974
encerclé	0.0660887	0.0156173	0.00354932	0.00419021	0.0049611	0.00500038	0.00566356	0.010709	0.0245235	0.0282716	0.0228189	0.0220404	0.0311502	0.0643283	0.0373083	0.0458019	0.0404566	0.0291208	0.0307175	0.0498614	0.0366698	0.0551682	0.0349813	0.0468188	0.0282771	0.0163632	0.0234559	0.0112957	0.0140411	0.00760607	0.00786865	0.0076077	0.0124308	0.0163687	0.0212672	0.0163294	0.0174644	0.0172976	0.0182208	0.0232481	0.0250406
la	0.0214053	0.00818023	0.00329541	0.00222731	0.00390672	0.00672344	0.0148203	0.0241246	0.0313082	0.0389736	0.0359245	0.0612762	0.0568814	0.0922702	0.0497237	0.0460489	0.0514957	0.0421324	0.0379077	0.0506818	0.0309294	0.0280417	0.0264219	0.0221333	0.0206198	0.0124818	0.0123381	0.0116886	0.0135227	0.00967897	0.0129532	0.00608652	0.00765101	0.00809704	0.0103214	0.0130841	0.00872651	0.0110942	0.0149568	0.0166643	0.0232012
maison	0.125423	0.0405137	0.0110321	0.0114816	0.00771357	0.00682712	0.00688947	0.00578899	0.00496708	0.00640644	0.00433861	0.0111113	0.0113331	0.0160367	0.0121943	0.0154538	0.0186533	0.0180326	0.0179493	0.0253951	0.0154686	0.0225203	0.0134892	0.0221869	0.0207031	0.024881	0.0297124	0.0220296	0.0297609	0.0345814	0.0456155	0.0193187	0.0190423	0.0203347	0.025046	0.0311317	0.0185569	0.0378823	0.0449581	0.0504164	0.0748222
qui	0.146671	0.0535219	0.0175713	0.0093966	0.00639802	0.00453117	0.0035015	0.00591088	0.0135583	0.0194333	0.00775822	0.02277	0.0276364	0.0314774	0.0253452	0.0299753	0.0334668	0.0301535	0.0253759	0.0312658	0.0200668	0.020977	0.00969792	0.0113427	0.0114997	0.0109821	0.0104069	0.00974939	0.01344	0.0120117	0.016795	0.00957294	0.00834066	0.0104143	0.0164439	0.0308152	0.0151815	0.0281519	0.0405621	0.0673222	0.0805071
abrite	0.0991716	0.033849	0.00875996	0.00883506	0.00724468	0.00721007	0.00531383	0.00898048	0.00911628	0.0084843	0.00723825	0.0168209	0.0167796	0.00971488	0.0119206	0.0151003	0.0166476	0.0149177	0.0197547	0.018416	0.0151699	0.0211103	0.0138673	0.0150075	0.0232404	0.0174193	0.0321337	0.02084	0.0340503	0.0260188	0.0224903	0.0163227	0.0222729	0.021165	0.029604	0.0315676	0.0349597	0.0560933	0.0624761	0.0694872	0.0704279
le	0.0821785	0.0291073	0.00311785	0.00246478	0.00210844	0.00139069	0.00115118	0.00113929	0.00128697	0.00237112	0.00157754	0.00373899	0.00875489	0.00709088	0.00846781	0.0133675	0.0204043	0.023936	0.0266651	0.0204778	0.0193855	0.0162271	0.0137428	0.0122268	0.0150698	0.0187263	0.0157697	0.0169223	0.0178608	0.0199747	0.029336	0.0256971	0.0289308	0.0439855	0.0502268	0.0493211	0.065582	0.0657108	0.0633486	0.0759252	0.0752332
voleur	0.0740744	0.0170209	0.00342751	0.0019632	0.00243276	0.00212602	0.00246103	0.00304908	0.00590669	0.00675178	0.00293561	0.00704873	0.0103428	0.0126924	0.0130259	0.0173654	0.0234864	0.018638	0.0215544	0.019477	0.0231689	0.0257333	0.0172136	0.0193808	0.0217158	0.021998	0.0208925	0.0233699	0.0294972	0.0299008	0.0476042	0.0315623	0.0317158	0.0428835	0.0460935	0.0416569	0.0555035	0.0590084	0.0438487	0.0557366	0.0457358
