 	a66	a87	a23	a87	a23	a5	a37	a5	a21	a85	a6	a98	a85	a21	a85	a36	a37	a6	a37	a36	a2	a57	a87	a23	a87	</S>
cette	0.0259703	0.0271546	0.0186144	0.0341968	0.0399837	0.0215528	0.0344375	0.0674241	0.0222096	0.0135627	0.0117523	0.0102277	0.0217027	0.0390592	0.0133331	0.0427727	0.0486142	0.0683009	0.0338065	0.0495295	0.074928	0.045185	0.050434	0.0574567	0.0484669	0.0793242
manière	0.00468141	0.00513543	0.00703826	0.0074494	0.020104	0.0435878	0.0962948	0.056875	0.168182	0.214208	0.200076	0.109696	0.0240288	0.00509539	0.0136447	0.00450165	0.00329235	0.00322917	0.00367466	0.00100356	0.00207016	0.00100635	0.00164967	0.00103473	0.00124857	0.00119137
de	0.0670729	0.0494793	0.0411781	0.0297682	0.0299371	0.0490173	0.061613	0.0593943	0.050973	0.0485332	0.0423406	0.0317706	0.0331126	0.0152367	0.0216787	0.0200279	0.0216536	0.0422418	0.0432373	0.0272864	0.0189748	0.0234292	0.0266777	0.0452772	0.0798106	0.0202778
se	0.0135413	0.0114592	0.00715468	0.0101943	0.00950225	0.0198617	0.0366832	0.028591	0.107724	0.164428	0.0867959	0.0593054	0.0468129	0.0265373	0.0435232	0.0245778	0.0203819	0.0287531	0.0173134	0.0165102	0.0194046	0.0209634	0.0592653	0.0389638	0.0574005	0.0243517
battre	0.0200635	0.0225187	0.0118498	0.0159659	0.0286802	0.0523116	0.0297099	0.023578	0.0474737	0.052163	0.0741699	0.0984308	0.0803884	0.0342455	0.0483469	0.034727	0.0178093	0.0255034	0.0231627	0.0184669	0.0153079	0.0309893	0.0342198	0.0451335	0.0447019	0.0700822
est	0.0174768	0.0151301	0.0195302	0.0269726	0.0173188	0.0193198	0.0162089	0.0183116	0.0210045	0.0204275	0.0329718	0.0419023	0.083514	0.0745055	0.09575	0.0757899	0.0590991	0.0615439	0.0648469	0.0579963	0.0339784	0.0282609	0.0235836	0.0239926	0.0219906	0.0285735
celle	0.0301312	0.0235326	0.0209908	0.0238984	0.0183469	0.0187886	0.0140491	0.0147724	0.0146049	0.0183814	0.0170409	0.0356358	0.0450555	0.0567629	0.0454893	0.0570303	0.0746934	0.0650576	0.0941158	0.0535913	0.0382911	0.0458388	0.0414016	0.0640052	0.0358902	0.0326041
des	0.0294593	0.0192307	0.0170525	0.0117112	0.00863003	0.00748322	0.00754873	0.00777394	0.00610873	0.00611955	0.00437677	0.00972604	0.015464	0.0293409	0.0150119	0.0305416	0.0482095	0.0461355	0.0726148	0.0586795	0.0460751	0.0918126	0.080139	0.10875	0.0959256	0.12608
braves	0.010812	0.00791891	0.00691269	0.00749888	0.00984341	0.00953009	0.0126109	0.014807	0.00973638	0.00842698	0.00630906	0.0139599	0.0224441	0.0405193	0.0317947	0.033849	0.0419972	0.052787	0.0443294	0.0488726	0.0568553	0.11298	0.102717	0.108096	0.0952281	0.0891634
</S>	0.00957041	0.00899103	0.0100778	0.0124153	0.01183	0.00696734	0.00603865	0.00772545	0.00438385	0.00330755	0.00282384	0.00796281	0.0185795	0.043526	0.0333064	0.0422472	0.0444934	0.0627517	0.0712392	0.0604002	0.0966789	0.116817	0.0828396	0.0695727	0.0667531	0.098701
