 	a75	a32	a10	a87	a10	a90	a76	a30	a2	a57	a38	a14	a35	a24	a35	a20	a14	a35	a98	a73	a76	a90	a13	a75	a41	a35	a41	a25	a10	a76	a90	a25	a38	a26	a24	a66	a26	a24	a25	a87	a23	a24	a98	a38	a14	a41	a35	a98	a73	a76	a73	a98	a14	a94	a75	a14	a73	a84	a57	a10	a87	</S>
elle	0.0193418	0.0192416	0.0144078	0.0128439	0.023083	0.0118232	0.0144222	0.0172321	0.017724	0.0297827	0.0244825	0.0297407	0.0341998	0.0673973	0.0545049	0.0376376	0.0434006	0.0118202	0.0197361	0.0150271	0.013376	0.0184659	0.015358	0.0132763	0.00716737	0.00443098	0.00832531	0.0112309	0.0135203	0.0115104	0.0112009	0.0159962	0.00682263	0.0105272	0.00809682	0.00793886	0.0079797	0.00932184	0.0113398	0.00697977	0.00841731	0.0135562	0.0116654	0.00702181	0.00710468	0.00408748	0.00621695	0.00574617	0.00798844	0.00482952	0.00253692	0.00324618	0.00976854	0.0136157	0.0191841	0.0158146	0.0157722	0.0160046	0.0256785	0.0255329	0.0168015	0.0286959
a	0.00342559	0.00374521	0.00572962	0.00746447	0.00539385	0.00898127	0.00937995	0.00548138	0.00904763	0.00950858	0.0124293	0.0169099	0.0192722	0.0211352	0.0318106	0.0226632	0.0184337	0.0184932	0.020474	0.0163823	0.0194333	0.0272986	0.0237912	0.0374802	0.0418751	0.0384021	0.0403209	0.0223239	0.0198873	0.0228549	0.0313512	0.0227479	0.0239022	0.0274933	0.0219707	0.0226826	0.0144757	0.0213578	0.027152	0.022628	0.0181138	0.0229329	0.0132682	0.0077597	0.012705	0.00371434	0.00441599	0.00169511	0.00153764	0.00200724	0.00240557	0.00335438	0.00881192	0.00669947	0.00871753	0.00789274	0.00741314	0.0106277	0.00962924	0.0108272	0.0154958	0.0243852
mis	0.016169	0.00773583	0.0076957	0.00536177	0.00462804	0.00500636	0.0057247	0.00946286	0.00694371	0.0122726	0.0114487	0.0161051	0.0173237	0.0204596	0.0231582	0.0158609	0.018803	0.018669	0.0175369	0.0279689	0.0134654	0.0162471	0.0150266	0.0113174	0.0125037	0.0100727	0.0120808	0.00940393	0.00671692	0.00896234	0.0177403	0.00781322	0.0153542	0.0110008	0.01564	0.0124954	0.0140419	0.00906049	0.0135454	0.00981829	0.0131591	0.0179576	0.00790613	0.00565814	0.00662129	0.00285356	0.00576191	0.00338877	0.00390356	0.0028368	0.00516983	0.006475	0.0134351	0.0137933	0.0219977	0.0472941	0.033857	0.0537652	0.0596537	0.0450059	0.0492104	0.0696547
une	0.0204234	0.0304126	0.0314994	0.0176271	0.0103609	0.0131768	0.00886993	0.0106887	0.0107633	0.0103953	0.0112877	0.00672323	0.00877649	0.0166264	0.00601486	0.0420998	0.0355574	0.047828	0.0382442	0.0268652	0.0318703	0.0175178	0.0216749	0.0140602	0.0191334	0.0183499	0.0135228	0.0209917	0.0187415	0.0113612	0.0108002	0.0117594	0.0120215	0.0102895	0.0109086	0.00800024	0.0105334	0.0121311	0.0149304	0.0191358	0.013846	0.0159105	0.0183518	0.0185646	0.0194289	0.0284989	0.027878	0.0185533	0.0229214	0.0199535	0.0163116	0.0183273	0.0133997	0.0101319	0.00565356	0.00277735	0.00356531	0.00279505	0.00252809	0.00212968	0.00208205	0.00441676
amulette	0.0151884	0.00655998	0.00513883	0.00368442	0.00340632	0.00316192	0.00361546	0.0032764	0.00570403	0.00618777	0.00476527	0.00271702	0.00356213	0.00637248	0.0025523	0.011979	0.0134833	0.0167145	0.0161372	0.022578	0.0179201	0.0155515	0.0162138	0.0205652	0.0191388	0.0262281	0.0252386	0.0270624	0.022053	0.0273948	0.0327381	0.0298638	0.0332497	0.0308593	0.031412	0.0331971	0.0298737	0.033422	0.0312747	0.0281675	0.0288943	0.0214302	0.0287807	0.0322587	0.0219126	0.0249795	0.0226516	0.0151098	0.0133166	0.0102456	0.00902343	0.0102439	0.00998317	0.00973142	0.0103612	0.00757726	0.00660479	0.00593575	0.00588472	0.00474858	0.00622305	0.00589423
sur	0.0113773	0.00674939	0.00430165	0.00298103	0.00847542	0.00248503	0.00344052	0.00374725	0.00514286	0.0113696	0.0112675	0.00786768	0.0102191	0.0206019	0.0143895	0.0288449	0.0270656	0.0308883	0.0416032	0.0449695	0.0370351	0.0508993	0.0371913	0.0453712	0.0349401	0.0316454	0.0378931	0.0181545	0.0168306	0.0252375	0.0282189	0.0200027	0.0210026	0.0278389	0.0214748	0.0199999	0.0143907	0.0196625	0.02207	0.0120014	0.0115605	0.0116134	0.0120739	0.0113197	0.00869238	0.00499984	0.00533834	0.00246122	0.00221245	0.00238805	0.001711	0.00293184	0.00413967	0.00447957	0.0054005	0.00612148	0.00675505	0.00863081	0.0091992	0.0101378	0.010378	0.0178075
le	0.0513195	0.0449981	0.0306303	0.0234354	0.0228923	0.014867	0.0182568	0.0102562	0.00803058	0.0114878	0.0106633	0.00900619	0.0123264	0.0129852	0.0099126	0.0179462	0.0129089	0.0154406	0.0179785	0.0167649	0.0162519	0.0196985	0.0113287	0.00970156	0.0146492	0.0224628	0.0152209	0.00863286	0.0119577	0.00878005	0.017359	0.0186284	0.0166012	0.0102648	0.00942099	0.011045	0.0120954	0.00763121	0.00958952	0.0112182	0.0147075	0.015281	0.0182323	0.0154298	0.015241	0.0156336	0.0157368	0.0185305	0.0203665	0.0199014	0.0209077	0.0184763	0.0111566	0.0120371	0.0129202	0.00868569	0.00870812	0.0129195	0.0138505	0.0167573	0.0200432	0.0398324
cou	0.0246991	0.0153433	0.0121069	0.0076627	0.00674619	0.00432514	0.00516981	0.00459269	0.00744152	0.0180506	0.0142435	0.011735	0.0133002	0.0143989	0.00874091	0.0274323	0.029359	0.0326867	0.0540617	0.0549783	0.0601444	0.0439636	0.0317085	0.0363687	0.0174119	0.018482	0.0189909	0.0155428	0.0254391	0.0125041	0.0160815	0.0122681	0.0119284	0.00916389	0.00752599	0.00938232	0.00904299	0.0100673	0.00795579	0.00797662	0.00974584	0.00932261	0.00974948	0.0102769	0.0106735	0.0144151	0.0108717	0.0189753	0.0220268	0.0159586	0.0143303	0.0106243	0.00787264	0.00644257	0.0105456	0.0097261	0.00723988	0.00468594	0.0102773	0.0129059	0.0141389	0.0101714
de	0.0240295	0.0193526	0.0207305	0.0134973	0.0150636	0.00681113	0.00757018	0.00677874	0.00760529	0.0157363	0.0143567	0.0125049	0.0133853	0.0178847	0.0170645	0.0174893	0.0149558	0.0152399	0.0196102	0.0159315	0.0202684	0.0271229	0.0154828	0.0269607	0.0305575	0.036617	0.0259671	0.0125237	0.0150925	0.0186463	0.0265295	0.0157237	0.0211884	0.0213527	0.0167795	0.0197118	0.0182645	0.0195284	0.0207308	0.0151559	0.0171161	0.0138595	0.0126486	0.0133686	0.0138961	0.0104369	0.011527	0.0080709	0.00875516	0.0056051	0.00271475	0.00390648	0.00491869	0.00827269	0.012645	0.00529171	0.00698046	0.0050452	0.0085995	0.0152269	0.0142053	0.0771073
son	0.0232694	0.0183444	0.0202585	0.0119038	0.0173304	0.00699061	0.00766497	0.00891844	0.00960371	0.0217554	0.0193674	0.0147167	0.0110083	0.0220355	0.0105227	0.0149063	0.0214234	0.0166061	0.0187948	0.0157226	0.0230902	0.0252476	0.0230151	0.0311968	0.0300966	0.0293165	0.0237777	0.0166955	0.0211364	0.0230321	0.0262519	0.020159	0.0208055	0.0200275	0.0172415	0.0197309	0.0175346	0.0184461	0.0193489	0.0157913	0.0175151	0.0116213	0.011933	0.0123023	0.00998674	0.00959944	0.0104761	0.00736145	0.00716191	0.00603163	0.00320444	0.00327169	0.00446769	0.00604263	0.010344	0.0066744	0.0076346	0.00656227	0.00894832	0.0110744	0.0141662	0.0605352
