 	a23	a79	a20	a37	a54	a56	a37	a98	a47	a26	a11	a75	a47	a44	a26	a54	a98	a37	a43	a75	a85	a37	a43	a61	a66	a75	a47	a37	a85	a47	a21	a85	a36	a2	a57	a87	a23	a87	a97	a57	</S>
notre	0.0358244	0.0386404	0.0423553	0.0438557	0.0416354	0.0352166	0.0225983	0.033472	0.0277302	0.0212295	0.0438772	0.0287722	0.0239665	0.0302249	0.0390136	0.0219757	0.0275599	0.0373179	0.0383522	0.0242627	0.0317922	0.0244799	0.0276934	0.0122964	0.0189835	0.00961421	0.00775845	0.00715428	0.00864446	0.00922623	0.0094244	0.0103451	0.00826165	0.007531	0.00955513	0.00914429	0.0155911	0.0188223	0.0193397	0.0278655	0.048596
vie	0.00182685	0.00346964	0.0377114	0.0341929	0.0284453	0.034341	0.0486267	0.0529107	0.0548509	0.0713854	0.0897407	0.0827828	0.0773963	0.0767017	0.0516603	0.0305751	0.049085	0.0512541	0.0307859	0.0208518	0.0135165	0.0078779	0.00846037	0.00547553	0.00690159	0.00370791	0.00449459	0.00487353	0.0065614	0.00285144	0.00168991	0.000931773	0.00126279	0.00049653	0.000630663	0.000339952	0.000169625	0.000136115	0.000268261	0.000323471	0.000435646
a	0.0275399	0.0183889	0.0324642	0.0391213	0.0450422	0.0561147	0.0443238	0.0708429	0.0469993	0.0732737	0.0890081	0.105806	0.0619002	0.0692936	0.0205732	0.018963	0.0236093	0.0257372	0.0234548	0.018237	0.00709244	0.00698499	0.0120723	0.00463823	0.00626975	0.00637305	0.00846655	0.00497926	0.0035399	0.00276887	0.00285208	0.0014139	0.00145778	0.0005092	0.000872804	0.000557277	0.00191786	0.00260669	0.00417904	0.00828223	0.0014721
été	0.0225193	0.0152044	0.0125683	0.0243492	0.0313906	0.0660211	0.0723077	0.0556429	0.0531909	0.0591824	0.0740675	0.02718	0.0142634	0.0158046	0.0182247	0.025318	0.00797872	0.0191425	0.0177336	0.0228431	0.031495	0.0225654	0.022321	0.0272585	0.0357024	0.0161189	0.0211684	0.0178036	0.0420602	0.0269895	0.0277222	0.00725048	0.0095559	0.00806077	0.00379196	0.00437843	0.00471099	0.00368518	0.00547323	0.002903	0.00405199
bouleversée	0.0305983	0.029654	0.0225376	0.040904	0.0355088	0.0548272	0.0362029	0.0319759	0.040385	0.026443	0.0304043	0.0218752	0.0235536	0.0152367	0.014498	0.0144077	0.00605698	0.00293028	0.002875	0.0049647	0.00903764	0.0176305	0.0429707	0.0552955	0.0644476	0.0461971	0.0459616	0.0286879	0.0161792	0.0269195	0.0398899	0.0345825	0.0209024	0.00740427	0.00848741	0.00651254	0.0130158	0.00734493	0.0113465	0.00465883	0.00668842
par	0.0872135	0.0567967	0.0395603	0.0474328	0.0362316	0.0410082	0.0373826	0.0365895	0.0215659	0.0170452	0.0208923	0.0214615	0.013595	0.0109618	0.0102912	0.00766335	0.00330585	0.00692914	0.00891816	0.00526634	0.00679925	0.00735447	0.00717654	0.00509907	0.00802841	0.00856125	0.0127649	0.0116846	0.0116008	0.0180758	0.0217973	0.0232498	0.030709	0.0570932	0.039544	0.0302161	0.0327007	0.0304278	0.036534	0.0364872	0.0339848
l'	0.0305158	0.0232216	0.0322316	0.0426472	0.0435219	0.0512786	0.0322164	0.044811	0.0324224	0.0240209	0.0320896	0.0383553	0.0402109	0.0380619	0.029641	0.0201055	0.0153201	0.0107631	0.0072712	0.0046832	0.00522495	0.00669251	0.00775926	0.00846083	0.00983787	0.0127183	0.0205533	0.0183891	0.0156921	0.0209306	0.0275948	0.0261703	0.0273884	0.020628	0.027149	0.0233247	0.0270545	0.0240476	0.0286743	0.0258372	0.0224831
arrivée	0.0347159	0.0259549	0.0141446	0.022049	0.0286631	0.0427055	0.0361232	0.0368579	0.0342793	0.0250891	0.0344573	0.0343446	0.0239314	0.0243817	0.0214348	0.0196927	0.00687386	0.00777815	0.00912054	0.00637102	0.00971556	0.0130505	0.0146682	0.0107858	0.0222256	0.0158853	0.0276054	0.020907	0.0141656	0.0238913	0.0534526	0.0638735	0.0738438	0.0309988	0.0405939	0.0157894	0.0154622	0.0103465	0.0147607	0.0113199	0.00768955
des	0.0272635	0.0212222	0.0180349	0.020498	0.0168556	0.0177428	0.0163356	0.0186636	0.0167214	0.0135481	0.0162445	0.0169655	0.019673	0.0202211	0.0200389	0.016957	0.0125015	0.00858154	0.00587845	0.00287762	0.00269659	0.00365131	0.00588288	0.00696957	0.00839557	0.00664497	0.0109587	0.00899347	0.00554901	0.00921293	0.0138626	0.0172393	0.0128332	0.0129011	0.0266714	0.0368148	0.0563553	0.0857364	0.0847352	0.115932	0.141139
blancs	0.0382598	0.0347124	0.0397002	0.0451043	0.0368031	0.0332167	0.0219879	0.0254936	0.0229158	0.0216294	0.0270678	0.0308019	0.0364829	0.0344464	0.0275942	0.0232287	0.0196745	0.0152862	0.00781552	0.00529505	0.00372987	0.00477946	0.00437898	0.00659891	0.00733141	0.00610209	0.00913808	0.00781522	0.00732794	0.0103645	0.0146344	0.0222458	0.0209898	0.0141403	0.0350868	0.0314378	0.0341016	0.037026	0.0441552	0.0629999	0.0680995
</S>	0.0365718	0.0360001	0.023695	0.0155581	0.0080305	0.00698558	0.00778584	0.00780908	0.00552238	0.00558159	0.00718157	0.00787039	0.00955932	0.00873341	0.0102296	0.00707375	0.0089656	0.00492693	0.00380335	0.00142351	0.00201314	0.00274818	0.00240439	0.00252107	0.00313834	0.00231001	0.00235811	0.00277726	0.00232341	0.00262358	0.00341323	0.00431732	0.00594281	0.00892918	0.0149866	0.0188566	0.0516992	0.0617068	0.104733	0.170153	0.306737
