 	a66	a87	a30	a97	a3	a30	a13	a38	a93	a70	a75	a25	a44	a93	a34	a70	a62	a31	a43	a90	a93	a44	a7	a44	a70	a66	a71	a9	a3	a9	a30	a9	a30	a38	a82	a97	a10	a97	</S>
le	0.0514063	0.0627811	0.0608542	0.0515356	0.0676823	0.0643033	0.0194869	0.0179727	0.0279107	0.0220888	0.0289609	0.0219374	0.0169173	0.0139088	0.0125485	0.0136258	0.0158855	0.0155195	0.0110321	0.0123691	0.00644387	0.0085023	0.0105272	0.00609721	0.0061163	0.00520157	0.00823846	0.00842138	0.0219762	0.0301332	0.0449804	0.03838	0.0407539	0.0371867	0.0273146	0.0266246	0.0239218	0.0154512	0.0250023
maçon	0.00107866	0.00178232	0.00219277	0.00474531	0.00597201	0.00658489	0.00737852	0.00638234	0.0217912	0.0210901	0.0253828	0.025466	0.0295035	0.0697925	0.0727038	0.0617212	0.0682928	0.0851606	0.0693209	0.0848593	0.0560388	0.0580211	0.0499257	0.0345447	0.0244477	0.0325789	0.0176541	0.0129356	0.0125592	0.0112294	0.00372673	0.00344728	0.00118397	0.00212878	0.00152741	0.00250963	0.00107459	0.00223484	0.00102982
a	0.0365512	0.0749258	0.070951	0.0292893	0.0246677	0.0288009	0.106734	0.0618935	0.0415511	0.0383802	0.0245202	0.015473	0.0188799	0.0100665	0.0135733	0.0265938	0.0162028	0.02458	0.0171207	0.00794541	0.00849187	0.00921292	0.0176768	0.018029	0.0199132	0.020195	0.0190057	0.0139434	0.00819884	0.0118916	0.0130758	0.0117456	0.0121215	0.0157698	0.0152027	0.0186084	0.0206584	0.028316	0.0292436
encore	0.148782	0.0961023	0.0773479	0.0486542	0.0220027	0.0229537	0.0241596	0.0238925	0.0188761	0.0135682	0.0146979	0.010046	0.0088657	0.00595522	0.00457956	0.00677984	0.00520316	0.00705447	0.0051369	0.00413972	0.00329068	0.0030362	0.00409081	0.00577251	0.0151983	0.0213629	0.0137474	0.00885339	0.00697533	0.0158439	0.0114363	0.0192666	0.0222927	0.0264345	0.0401258	0.0311817	0.0577414	0.061577	0.0629751
élargi	0.0322743	0.02296	0.0215861	0.0195938	0.0168993	0.0257548	0.0304609	0.0277194	0.0424011	0.0665246	0.0680163	0.0759046	0.0620893	0.0805162	0.0603425	0.0394204	0.028397	0.027361	0.0210745	0.0116456	0.00693672	0.00666464	0.00667987	0.00539139	0.00522679	0.00475081	0.00504317	0.00481748	0.00322577	0.00496591	0.00268144	0.00283413	0.00407088	0.00438556	0.00643864	0.0134136	0.0194338	0.0398717	0.0722258
la	0.0300627	0.0242169	0.0205799	0.0175611	0.0133288	0.0124521	0.0181236	0.0134893	0.034671	0.0546698	0.0432251	0.0490496	0.0297484	0.0212826	0.0179027	0.0207824	0.0219584	0.0115984	0.0117476	0.00788024	0.00587652	0.00636171	0.00443342	0.00851922	0.0145223	0.0105374	0.0149723	0.0118618	0.0149857	0.0301675	0.027938	0.0434548	0.0463717	0.0460774	0.0366685	0.0471259	0.050353	0.0358363	0.0696057
porte	0.0330484	0.0219347	0.0197415	0.0174386	0.0118758	0.0120614	0.0244267	0.0314675	0.0294821	0.0326151	0.0248931	0.0205612	0.0187054	0.0127953	0.00661611	0.00736836	0.00978674	0.0118425	0.0163505	0.0097257	0.00583783	0.01159	0.0147851	0.0118026	0.0200092	0.01702	0.0256639	0.0223091	0.021876	0.0202604	0.0263461	0.0200809	0.0343403	0.0456133	0.0566295	0.0503585	0.0630788	0.0871858	0.0724763
de	0.0592217	0.0382775	0.0371559	0.0276977	0.018382	0.0199005	0.0337499	0.0247784	0.0156381	0.0110276	0.00936781	0.00706713	0.00566439	0.00295362	0.00249991	0.00330959	0.00347022	0.00413153	0.00527457	0.00311746	0.00162789	0.00489327	0.00542179	0.00697096	0.0169732	0.00962241	0.0163828	0.0155935	0.00909371	0.0194879	0.0237217	0.012971	0.0346258	0.036303	0.048808	0.0583679	0.0982001	0.100242	0.148007
la	0.02845	0.0161612	0.0152861	0.0125126	0.0104328	0.0111465	0.0169685	0.0179421	0.0266575	0.0212082	0.0236963	0.0119455	0.00718311	0.00541145	0.00300036	0.00411064	0.00512827	0.00605941	0.00752427	0.00623808	0.00383652	0.00684465	0.00837019	0.00902039	0.011275	0.00628165	0.0114347	0.0134971	0.0214451	0.0215888	0.0375756	0.0407944	0.0710892	0.0610848	0.101259	0.0710703	0.079406	0.0797361	0.0873272
maison	0.0250584	0.024884	0.0226143	0.0252728	0.0214736	0.0169682	0.0120636	0.0111262	0.0129244	0.0142055	0.0144841	0.0127889	0.0161736	0.0159635	0.0155256	0.0171798	0.0184305	0.0160218	0.0168075	0.0133601	0.00735733	0.0115941	0.0156269	0.012994	0.0165872	0.0151801	0.0240011	0.0167274	0.0113607	0.0102918	0.0189034	0.0203226	0.0313197	0.0242861	0.0525115	0.0567288	0.102812	0.0967295	0.11134
</S>	0.0190193	0.0210501	0.0140756	0.0126432	0.0138958	0.0140858	0.0132621	0.0138338	0.0127035	0.0102231	0.0146026	0.0117419	0.0096805	0.00734324	0.00477278	0.00577116	0.00823515	0.00641755	0.012184	0.010755	0.00533992	0.00704397	0.0052315	0.0076304	0.0125552	0.0119965	0.0162307	0.017448	0.0210585	0.0342261	0.0487757	0.0461745	0.0770097	0.0542802	0.0553254	0.0557342	0.0612498	0.0618745	0.164519
