 	a66	a87	a23	a87	a97	a87	a97	a87	a97	a87	a97	a30	a50	a31	a75	a56	a47	a88	a75	a25	a98	a85	a6	a36	a37	a94	a43	a75	a85	a6	a85	a47	a98	a47	a85	a47	a15	a7	a26	a82	a3	a97	a87	a97	a87	a97	a99	a97	</S>
chaque	0.0574426	0.0789033	0.0360179	0.027197	0.0169022	0.00958501	0.00828552	0.00888529	0.0118	0.0062157	0.0117255	0.018735	0.0273128	0.0108734	0.0206653	0.0358622	0.0129213	0.0316881	0.0470704	0.0333921	0.056819	0.0389332	0.0228082	0.0252364	0.031552	0.0268478	0.0239191	0.0129777	0.0166009	0.0187095	0.0145988	0.00975857	0.00760472	0.00772252	0.00933822	0.00627381	0.00931099	0.0106538	0.0131425	0.0102576	0.0108302	0.0100684	0.0108397	0.0116278	0.0131584	0.0113292	0.00990721	0.0160986	0.0215946
matin	0.0146723	0.0154008	0.0293153	0.0197373	0.0267769	0.00885269	0.0115301	0.00854028	0.0154873	0.0108455	0.00852121	0.00979179	0.00975517	0.00432743	0.0052344	0.00707225	0.00483465	0.00567576	0.00543323	0.00320047	0.00449551	0.00734677	0.00865568	0.016867	0.0192573	0.0232536	0.0236935	0.050811	0.024711	0.0269985	0.0292486	0.0301996	0.0365672	0.023779	0.0420879	0.063245	0.0594496	0.0359254	0.0442756	0.0191564	0.0157861	0.00767573	0.0100194	0.0220497	0.0194875	0.0178301	0.0344936	0.0232981	0.0343306
il	0.0105668	0.00661115	0.0065412	0.00960435	0.0185771	0.0156608	0.0148981	0.0116444	0.0216521	0.0125149	0.014829	0.0127847	0.0257396	0.0178659	0.0251525	0.0146709	0.0180367	0.0135314	0.0191222	0.00959285	0.0102143	0.0191802	0.0342932	0.0637087	0.0392308	0.0497418	0.0495105	0.0358294	0.0304064	0.0364661	0.0489755	0.0457547	0.0354652	0.0236883	0.0175415	0.0113506	0.00974945	0.0053711	0.00687196	0.0138355	0.0105286	0.00861745	0.00818896	0.0123279	0.0169709	0.0109482	0.0192293	0.0128281	0.0135789
me	0.0327598	0.0279462	0.064612	0.0578583	0.0352242	0.0533714	0.0338538	0.0317187	0.03086	0.0280063	0.0362486	0.0334508	0.0263311	0.0283868	0.0270959	0.0179387	0.0218215	0.013194	0.016398	0.0143153	0.00931406	0.0125024	0.0146589	0.0142484	0.0133853	0.0148858	0.0178595	0.0151259	0.0128957	0.012183	0.0122035	0.0115344	0.0132814	0.0166319	0.0124166	0.00799265	0.0113306	0.00888355	0.00807246	0.015258	0.0137702	0.00712443	0.0101535	0.0161022	0.0130395	0.0112833	0.0145659	0.00585975	0.0220456
fait	0.00779175	0.0102777	0.0142089	0.0225385	0.0191701	0.0215896	0.0177203	0.0184973	0.0175275	0.0195822	0.0344783	0.0563099	0.0307443	0.0787143	0.038583	0.0360307	0.0325715	0.023817	0.0227571	0.026408	0.0219623	0.0248134	0.0199323	0.024839	0.023789	0.0256	0.0318613	0.0220787	0.0235863	0.0234843	0.0234453	0.0189853	0.0149002	0.0167883	0.00977175	0.00550804	0.00581365	0.00551262	0.00670476	0.00846519	0.00665708	0.0100045	0.00967341	0.0107215	0.0120819	0.0111704	0.0101459	0.0106833	0.0117026
insulter	0.0362858	0.0320162	0.0293043	0.0296927	0.0182361	0.0155812	0.0237476	0.0278193	0.0300132	0.0291953	0.0390197	0.0404277	0.0345938	0.0459085	0.0336382	0.0230612	0.0195258	0.0128456	0.0105346	0.0113087	0.00803017	0.0107962	0.0101953	0.0153992	0.0151898	0.0144554	0.0151106	0.0137652	0.0137357	0.0113678	0.0111704	0.0102772	0.0137034	0.0162609	0.0168333	0.0279299	0.0291859	0.0283921	0.0258608	0.0142995	0.038412	0.0129277	0.0232932	0.0102058	0.0108073	0.0127438	0.00738207	0.0088719	0.0106419
par	0.0286426	0.0227785	0.02228	0.017041	0.0167762	0.0113619	0.0127071	0.00943948	0.00864668	0.00741846	0.00942811	0.00690094	0.0114015	0.0154834	0.0129587	0.0111691	0.0123484	0.0112929	0.0108563	0.0101485	0.00828618	0.0172988	0.0196902	0.0318832	0.0243637	0.022204	0.0293252	0.0384386	0.0246548	0.0282708	0.0277355	0.0161264	0.0204457	0.0260004	0.0101936	0.019788	0.0151128	0.0236004	0.0209163	0.0305521	0.0256031	0.0270419	0.0273516	0.0305547	0.0231155	0.0352018	0.0308418	0.0406615	0.0356617
ses	0.0316216	0.0210458	0.0272379	0.0239305	0.0221356	0.0211301	0.0202514	0.0151449	0.0169045	0.0132104	0.0140295	0.0116431	0.0147709	0.0186344	0.011347	0.0123817	0.0115211	0.0129432	0.010792	0.0117863	0.0140813	0.0182101	0.0196936	0.0217721	0.0175189	0.0194929	0.0195777	0.0170917	0.0205423	0.0224178	0.0249848	0.0229967	0.0247123	0.0345935	0.0160808	0.0196254	0.0224192	0.0247648	0.0279152	0.022302	0.0228747	0.0229689	0.0250122	0.0238855	0.0220416	0.0226151	0.0305876	0.0313669	0.0253927
enfants	0.0630247	0.042728	0.0720558	0.0480222	0.02776	0.0241852	0.0210237	0.014869	0.0201164	0.011826	0.0156618	0.014236	0.0188149	0.0150129	0.0152967	0.0166378	0.0117412	0.0145163	0.0113043	0.0136499	0.0164651	0.0104046	0.0111705	0.0145942	0.0139906	0.0182063	0.018045	0.01554	0.0197536	0.016481	0.0135066	0.0114366	0.0123903	0.0156966	0.0151221	0.019456	0.0250229	0.0181549	0.0267394	0.0104782	0.0143439	0.0116797	0.0186155	0.00867978	0.0150862	0.0105687	0.0296028	0.029524	0.0467619
</S>	0.067934	0.0506641	0.0654124	0.0436778	0.0227949	0.0163445	0.0132606	0.00837484	0.00754561	0.00438763	0.00755253	0.00661376	0.0108376	0.00899714	0.00958803	0.013588	0.00963745	0.0143669	0.011641	0.0100776	0.0129095	0.00824649	0.00617904	0.0119107	0.0118126	0.0136628	0.0129818	0.0122459	0.0129065	0.012396	0.0132547	0.00753525	0.00811521	0.0115609	0.0129954	0.0138688	0.0134972	0.0168382	0.0242945	0.0160733	0.0156509	0.0157914	0.0245961	0.0116243	0.0207567	0.0173358	0.0552619	0.0781948	0.104207
