 	a85	a66	a87	a23	a87	a23	a30	a70	a61	a21	a47	a61	a21	a12	a61	a75	a98	a92	a21	a47	a18	a94	a90	a25	a15	a20	a85	a5	a47	a96	a34	a93	a4	a13	a9	a3	a97	a87	a97	a87	a23	a87	</S>
la	0.0398258	0.0449762	0.029922	0.0307151	0.0258029	0.038944	0.0129988	0.0166485	0.0201918	0.0537342	0.0219659	0.0392493	0.0464233	0.0387058	0.0289909	0.0249351	0.0143709	0.0188501	0.0071895	0.00649459	0.00692804	0.0118894	0.0105599	0.0126143	0.008037	0.0201456	0.0275491	0.0201172	0.0252717	0.0253676	0.0299933	0.0304808	0.0240739	0.0331914	0.022145	0.0205711	0.0156453	0.00912077	0.0140107	0.00935004	0.0136124	0.0114738	0.036917
femme	0.00475556	0.0126477	0.0170148	0.0182574	0.0205989	0.0236443	0.0234479	0.0372782	0.0648934	0.0423504	0.0463944	0.0439148	0.0403481	0.0338025	0.0479092	0.0537704	0.0423725	0.0566645	0.0508394	0.056142	0.0354268	0.0174327	0.0188787	0.0160603	0.0157743	0.0157506	0.0121843	0.0132975	0.0116917	0.00850073	0.00731036	0.00408335	0.00684197	0.00616233	0.00824589	0.00691543	0.0113076	0.0077495	0.00605086	0.00688295	0.00702255	0.0082632	0.0111199
qui	0.00966389	0.0145507	0.0175513	0.0121178	0.0134049	0.0131429	0.0151014	0.0297803	0.0231759	0.00957293	0.0176445	0.0408331	0.0345217	0.0351573	0.043543	0.0577938	0.0877063	0.10831	0.143664	0.113028	0.0776913	0.0278883	0.0149919	0.00473691	0.0033973	0.00217224	0.00133223	0.00227948	0.00267818	0.0015802	0.00175556	0.00153201	0.000877841	0.00124004	0.00097419	0.00167242	0.00113588	0.00085861	0.00353963	0.00221526	0.00187978	0.00253028	0.000776024
a	0.0306618	0.0373008	0.0257092	0.0233774	0.0273358	0.0119537	0.0155761	0.0300428	0.0202226	0.012588	0.0161377	0.0418853	0.0272505	0.0434169	0.040561	0.0543181	0.0514926	0.0278822	0.0433394	0.0312747	0.0202262	0.0132315	0.0158961	0.00776871	0.0116335	0.0124032	0.0109922	0.00889364	0.0131326	0.00869983	0.0159016	0.0172288	0.0104062	0.0140976	0.013423	0.0169652	0.0147723	0.0158274	0.0326061	0.0232052	0.0258019	0.0222804	0.0422801
transporté	0.0309202	0.0302015	0.0197868	0.0196701	0.0326302	0.017179	0.0285726	0.0393754	0.0486241	0.0223736	0.0502841	0.0373692	0.0213377	0.0251516	0.0411054	0.0378526	0.0276953	0.0206089	0.0270972	0.0293629	0.0246139	0.0263859	0.0179729	0.0185971	0.0220017	0.0110539	0.0122664	0.0331249	0.0296382	0.0122237	0.0114726	0.00894385	0.00837563	0.00590286	0.0049956	0.0100902	0.0100969	0.0140959	0.0258766	0.0212348	0.0217303	0.016898	0.0252097
le	0.0291007	0.0251871	0.0246378	0.0245198	0.0212363	0.0191257	0.0120683	0.0117246	0.0078117	0.00726822	0.00547443	0.0143074	0.0120101	0.0175046	0.0136676	0.00973028	0.014169	0.0129645	0.0121929	0.0140018	0.0163998	0.0142639	0.0252072	0.013428	0.00463662	0.00587361	0.0200188	0.0213427	0.0420011	0.0387113	0.0323267	0.0328944	0.0306102	0.0282544	0.0269968	0.0453621	0.0341831	0.0267268	0.0565335	0.0317662	0.0352779	0.0350026	0.0734794
pannier	0.0234637	0.0169276	0.0109852	0.00619859	0.00602525	0.00431671	0.00541016	0.0154994	0.0118153	0.00853799	0.0108272	0.0303494	0.0230401	0.0293346	0.0253694	0.0309872	0.0512784	0.0389929	0.0281486	0.055599	0.0358198	0.0369014	0.0412578	0.0136262	0.0184213	0.0189221	0.018301	0.0215703	0.0318273	0.026867	0.0244155	0.0284893	0.0260448	0.0148056	0.0162533	0.0262747	0.0167954	0.0258579	0.0325857	0.0310377	0.0247257	0.0176481	0.0184452
de	0.0578123	0.0341276	0.0242877	0.0161277	0.0158565	0.0166565	0.0105635	0.00749114	0.00614673	0.0113139	0.0127617	0.0112133	0.0105015	0.0153759	0.022667	0.0213742	0.0299006	0.0275374	0.0299857	0.0267928	0.0356051	0.0160062	0.029902	0.0192901	0.00930581	0.00549548	0.0161243	0.0343507	0.0320018	0.0312298	0.0416915	0.0477638	0.0347609	0.0393319	0.0217327	0.0349401	0.0227799	0.0187442	0.0266491	0.0220682	0.0315451	0.0137116	0.0064762
manioc	0.0392911	0.0205448	0.0156313	0.00890409	0.0060291	0.00436508	0.00252355	0.00132142	0.000987777	0.00142011	0.00177791	0.00182838	0.00262081	0.00459178	0.00567476	0.00665928	0.0119089	0.00661374	0.00997745	0.00982397	0.011246	0.00472193	0.0162068	0.00699245	0.0064031	0.00639218	0.0169092	0.0263228	0.0328436	0.0424397	0.0454765	0.0309202	0.0496313	0.0446954	0.0369217	0.0760978	0.0614202	0.0625718	0.063012	0.0615707	0.073518	0.0381331	0.0230586
a	0.0480711	0.0291165	0.0296903	0.0326629	0.0385687	0.0177142	0.0115953	0.00733821	0.00466014	0.00729834	0.00468039	0.0072535	0.00755096	0.0084667	0.0109105	0.0115865	0.015019	0.0167132	0.0186647	0.0168894	0.0161905	0.00891633	0.0213251	0.0132611	0.00915466	0.00708404	0.0274374	0.0684449	0.0738004	0.0523339	0.0418261	0.0175979	0.0188083	0.0174181	0.0102117	0.0162268	0.019377	0.0231623	0.0298129	0.0374103	0.0382719	0.0411231	0.0463545
mis	0.0421822	0.0245666	0.0237664	0.0277381	0.0424412	0.0293548	0.0155695	0.0132692	0.0130207	0.0106011	0.00682401	0.00789035	0.00817115	0.00819741	0.0113174	0.0133327	0.0171012	0.0209739	0.027188	0.0192459	0.0195399	0.0108394	0.0135956	0.0127715	0.00975419	0.0133546	0.0223708	0.059307	0.0682847	0.0589816	0.0355834	0.0175992	0.0111704	0.00821937	0.0064866	0.0195793	0.0220514	0.0261002	0.0266168	0.0326057	0.034348	0.0293596	0.0587288
la	0.0493828	0.0244897	0.0240944	0.022504	0.0293639	0.0167093	0.00998411	0.0107905	0.0104727	0.00868833	0.00480952	0.0063954	0.0061759	0.00783335	0.00830626	0.0113582	0.0128079	0.0153691	0.0154769	0.0138017	0.0100307	0.00750935	0.01098	0.00832241	0.0067364	0.0168571	0.0187999	0.0338551	0.0495359	0.071389	0.0636918	0.0380379	0.0182513	0.0144812	0.01117	0.0261693	0.0343721	0.0346057	0.0312908	0.0378085	0.0360424	0.0327456	0.0785036
gouttière	0.0351713	0.0317317	0.0318244	0.0202085	0.0207548	0.0117793	0.0111946	0.0148195	0.0146516	0.0144801	0.0127079	0.019752	0.0223968	0.0254551	0.0286307	0.0355741	0.0380882	0.0357577	0.0332032	0.0212596	0.0176956	0.0149776	0.0168414	0.0100039	0.00712966	0.00931389	0.0122506	0.0157375	0.0258778	0.0291467	0.0251526	0.0176007	0.0139467	0.00949772	0.00781557	0.016985	0.0211612	0.0213974	0.0312234	0.0306149	0.0353678	0.0294412	0.10138
</S>	0.0481123	0.0263062	0.0276703	0.0231671	0.0299582	0.0145458	0.01765	0.0219138	0.0242626	0.0207949	0.0170303	0.0226176	0.0179614	0.0348183	0.0149961	0.0227165	0.0203336	0.0177684	0.0111583	0.00972874	0.00601891	0.00813334	0.0103169	0.00839866	0.00604811	0.00885995	0.0194791	0.0292065	0.0330346	0.0286479	0.0345131	0.0302658	0.0216054	0.011893	0.0127085	0.020311	0.0302755	0.0349204	0.030464	0.0355593	0.0363723	0.0315356	0.0679216
