 	a85	a57	a87	a10	a87	a23	a53	a20	a47	a15	a44	a58	a38	a21	a5	a43	a75	a5	a96	a75	a6	a37	a7	a57	a87	a97	a87	a97	a87	a79	a90	a4	a13	a20	a47	a73	a44	a90	a13	a53	a93	a56	a66	a11	a21	a47	a96	a31	a96	a83	a24	a9	a10	a0	a75	a21	a31	a47	a88	a47	a75	a41	a27	a75	a41	a18	a71	a9	a87	a23	a97	</S>
quand	0.01987	0.0140537	0.0152266	0.0141578	0.0169615	0.0289585	0.0121042	0.0150207	0.024823	0.0453623	0.0273001	0.0309423	0.0389074	0.0367705	0.0319698	0.0342612	0.0191958	0.0206795	0.0202364	0.0143261	0.0104809	0.00910441	0.00850576	0.017961	0.011135	0.013947	0.0107759	0.00909727	0.00691736	0.0105393	0.0125574	0.0154081	0.0109736	0.00816752	0.010595	0.0055917	0.00707135	0.0044343	0.00461699	0.00944022	0.0113293	0.00791567	0.00615273	0.00727062	0.00830237	0.00900875	0.0107048	0.00981859	0.00657664	0.00788469	0.00881126	0.00612719	0.00459285	0.00435979	0.00402219	0.00316679	0.0035019	0.00336421	0.00388289	0.00495319	0.00698318	0.00527319	0.0103891	0.0103307	0.0123522	0.0215096	0.0192983	0.0195366	0.0202823	0.0169837	0.0160257	0.0308416
tu	0.00246327	0.00185012	0.00180298	0.00182835	0.00292049	0.00223253	0.00259455	0.0022028	0.00697267	0.0062022	0.0126168	0.0173619	0.0251918	0.0465336	0.0243125	0.0337211	0.0166444	0.0231966	0.038237	0.0356651	0.0300023	0.0261478	0.0234305	0.011464	0.0149722	0.0128671	0.0182833	0.0241002	0.0139301	0.0152436	0.0230013	0.0175522	0.0156784	0.0117354	0.0065698	0.0101341	0.0150445	0.0109677	0.00829874	0.01612	0.0167705	0.0127992	0.0134737	0.0103924	0.0101817	0.0129828	0.0125097	0.0147491	0.0118927	0.0193145	0.00950001	0.0123912	0.0127683	0.011418	0.00878621	0.00858076	0.0092268	0.00861117	0.00839507	0.00758024	0.00940522	0.0134487	0.0125555	0.011463	0.0176007	0.0147818	0.0126472	0.00974183	0.00993651	0.00947598	0.010026	0.00649946
dépèces	0.00790687	0.00677462	0.00522291	0.00562325	0.00526146	0.00624306	0.00340854	0.00284973	0.00485292	0.00415423	0.00968284	0.0148946	0.0251648	0.0371047	0.0228123	0.033314	0.0304278	0.0181511	0.0136851	0.0230225	0.039463	0.0234746	0.0284711	0.0305804	0.0270777	0.021077	0.016263	0.0136143	0.0106186	0.0111477	0.0182898	0.0246884	0.0665494	0.0225353	0.0277959	0.0267854	0.0192058	0.046554	0.0188729	0.0150541	0.0114572	0.00807142	0.0151336	0.013031	0.00898291	0.00908568	0.00522864	0.00466492	0.00548137	0.00693048	0.00266892	0.00411265	0.00526825	0.00266039	0.00250788	0.00309936	0.00109142	0.00127739	0.00159859	0.00181253	0.00131259	0.00132789	0.00176125	0.00220444	0.00479379	0.00627288	0.00573191	0.0078645	0.0100908	0.0169433	0.0234024	0.0154538
un	0.0604596	0.0548306	0.0334429	0.0243957	0.0303958	0.0228931	0.0145998	0.0083556	0.00793557	0.00475359	0.0112257	0.00782556	0.0130488	0.0150171	0.0125582	0.0205386	0.0193994	0.0121264	0.0168688	0.0156047	0.00559947	0.00844985	0.00627429	0.00554254	0.0069888	0.00739059	0.00707851	0.00625608	0.00623007	0.00554108	0.0121714	0.0284361	0.0253759	0.00839063	0.0113263	0.0233215	0.013165	0.0165998	0.0134632	0.00793516	0.00621933	0.00816071	0.00948809	0.00884474	0.00941757	0.00955386	0.00665638	0.00411062	0.00692017	0.00907271	0.00403023	0.00819515	0.0113495	0.00950247	0.0155291	0.0174431	0.0184018	0.00916077	0.0081236	0.00798044	0.00526556	0.00754442	0.00480413	0.00903591	0.0108453	0.0117347	0.018997	0.023262	0.0214446	0.0206932	0.0238488	0.0225524
animal	0.00520029	0.00364428	0.00276177	0.00270965	0.00290571	0.00224819	0.00378861	0.00338856	0.00280928	0.00225294	0.00285268	0.00405619	0.00607914	0.00453962	0.00437856	0.0113567	0.00540877	0.00380608	0.0036919	0.00336749	0.00403235	0.00701531	0.00744812	0.00991685	0.00714115	0.00607306	0.00534395	0.0062231	0.00535935	0.00884681	0.00995879	0.0143595	0.0259868	0.0112009	0.0163447	0.0453813	0.0321984	0.0317107	0.0236761	0.0189868	0.0193446	0.031865	0.0260745	0.0321786	0.0282539	0.0178573	0.01713	0.0109644	0.0138289	0.0103641	0.0080521	0.0174648	0.0159929	0.0148722	0.0159769	0.0163991	0.0123606	0.0176487	0.0182404	0.0299111	0.0273973	0.0231458	0.0193924	0.0266295	0.0246312	0.0193742	0.0221521	0.0216116	0.0188701	0.0159854	0.0158776	0.0117021
garde-toi	0.0131981	0.00817252	0.00579825	0.0054795	0.00511807	0.00704341	0.0174619	0.0143743	0.01049	0.00758703	0.0106044	0.00931383	0.0103965	0.00993363	0.0126189	0.0153782	0.00707491	0.00738342	0.00713926	0.00575547	0.0075657	0.0221675	0.0189112	0.0230343	0.0159538	0.0146368	0.0168025	0.0198301	0.0192941	0.0209559	0.0217228	0.0286915	0.0468425	0.0238236	0.0264219	0.0464047	0.0344736	0.0339796	0.0248284	0.0179581	0.0218077	0.0151264	0.0249961	0.0173234	0.0175362	0.0144468	0.0113616	0.00993051	0.0101367	0.00793272	0.0119547	0.00893445	0.00731954	0.00727474	0.00480705	0.00517612	0.00405216	0.00469359	0.00606732	0.00659769	0.00761461	0.00832224	0.00859055	0.0145437	0.00959867	0.0115813	0.00755326	0.00790261	0.00647385	0.0081606	0.00919622	0.0083669
de	0.0204042	0.0142342	0.00559658	0.00281446	0.00311487	0.00257406	0.00121546	0.00100569	0.00228905	0.00178664	0.00313075	0.00403639	0.00267419	0.00531051	0.0114177	0.00917674	0.00866161	0.00754568	0.0055366	0.0138448	0.0154377	0.0164783	0.014249	0.0296416	0.0249723	0.0207899	0.0232097	0.0280516	0.0292421	0.0264641	0.0365267	0.043041	0.0475872	0.0310856	0.0353775	0.036363	0.0394392	0.0558098	0.021695	0.0300433	0.0258871	0.0211673	0.0266916	0.0232845	0.0136439	0.0127829	0.010257	0.00937856	0.00910279	0.00869631	0.00536629	0.00654599	0.00604731	0.00377632	0.00279584	0.00370509	0.00171195	0.00217494	0.00220597	0.00315667	0.00266422	0.00165982	0.0034556	0.00430749	0.00624659	0.00813261	0.00659697	0.0049458	0.00636645	0.00873146	0.0113336	0.00530615
crever	0.0170383	0.00793131	0.00348737	0.00397873	0.00314546	0.00373001	0.0025201	0.00235572	0.00261504	0.00246423	0.0028297	0.00280603	0.00173644	0.00208719	0.00516755	0.00363749	0.00314913	0.00308966	0.00434404	0.0093641	0.0169184	0.0248293	0.0223037	0.033765	0.0209947	0.0178603	0.0159478	0.014329	0.0136325	0.0125787	0.0197022	0.0225899	0.0182304	0.0115508	0.0181045	0.0233294	0.019769	0.0184923	0.0224333	0.0210644	0.0309538	0.0245399	0.0379097	0.0276072	0.0190432	0.0155516	0.015197	0.0106386	0.00878758	0.00915709	0.00861107	0.00969089	0.00880893	0.010409	0.0104647	0.0146712	0.00975181	0.0113412	0.0111589	0.0226127	0.0153536	0.0113808	0.0106588	0.0133423	0.0193178	0.0227803	0.0218345	0.0229385	0.0261335	0.0175235	0.0204698	0.00545745
la	0.039071	0.0316047	0.0166087	0.00819584	0.0086685	0.00689375	0.00364074	0.00303948	0.00780779	0.00629948	0.00853503	0.0107941	0.00840138	0.00934997	0.0123077	0.00881431	0.0103792	0.012328	0.0116073	0.0175302	0.0197523	0.0394094	0.0278762	0.0386491	0.0166071	0.0175031	0.0152762	0.0125352	0.0150547	0.0126472	0.0227771	0.0210738	0.0186093	0.0171679	0.0236377	0.0194752	0.0219289	0.0235961	0.0139189	0.0153378	0.0181058	0.0102693	0.0127799	0.013719	0.0098934	0.00823354	0.00879107	0.00773251	0.00712747	0.00779042	0.00876536	0.0058255	0.00691556	0.00723953	0.00657986	0.00669876	0.00453266	0.00549044	0.00490564	0.0069042	0.0040379	0.00328718	0.00479583	0.00451285	0.0143645	0.0250531	0.0159938	0.018261	0.0170451	0.0259231	0.0305569	0.0131583
bile	0.0204968	0.00857345	0.0051557	0.00313481	0.00229692	0.00159429	0.000756925	0.000648218	0.000872071	0.000671586	0.00151297	0.00161103	0.00129213	0.00204519	0.00329745	0.00214523	0.00281707	0.00395644	0.00335907	0.00643996	0.00696681	0.008494	0.00758744	0.0113257	0.00664036	0.00540029	0.00585067	0.00727301	0.00863031	0.00762852	0.0092763	0.0124447	0.00951458	0.00767089	0.0150387	0.0137757	0.0168035	0.0178308	0.013834	0.0202463	0.0176605	0.0161711	0.0165298	0.0176911	0.0101641	0.0096969	0.0103628	0.00935821	0.008469	0.0107882	0.0103987	0.0111088	0.015726	0.0139299	0.0142915	0.0135086	0.00867127	0.0140949	0.0140757	0.0249593	0.0184793	0.015711	0.01869	0.0192074	0.0499168	0.0615114	0.0476999	0.050098	0.0502517	0.0475297	0.0540468	0.0142919
