 	a66	a87	a23	a83	a62	a0	a56	a96	a11	a47	a96	a93	a13	a93	a90	a69	a4	a90	a69	a94	a62	a88	a71	a38	a36	a26	a57	a87	a23	a99	a54	a36	a6	a36	a43	a11	a93	a4	a70	a88	a62	a88	a71	a9	a87	a23	a87	a23	a87	</S>
je	0.0380689	0.0283832	0.0246037	0.014498	0.0350501	0.0520451	0.0210772	0.0265102	0.0169093	0.0139005	0.0237885	0.0175704	0.0329333	0.0183859	0.0112316	0.0188137	0.031025	0.00939521	0.0203319	0.0132814	0.0132062	0.00742185	0.0143552	0.0204531	0.0181228	0.0368408	0.034535	0.0262343	0.0428192	0.0498222	0.0358421	0.0129604	0.00866929	0.00616486	0.00540736	0.00578313	0.00560019	0.0100374	0.0123062	0.00824465	0.0159426	0.0116971	0.0102617	0.00939503	0.0116701	0.0114475	0.0108142	0.0227535	0.0220671	0.0313217
ne	0.0184218	0.0148865	0.0259673	0.029659	0.0155148	0.0143686	0.0284851	0.0180771	0.0113728	0.0117914	0.017438	0.0389839	0.0226529	0.0475295	0.0400759	0.0290429	0.0181218	0.0129883	0.0108301	0.0185869	0.0266701	0.0324703	0.0289447	0.0371385	0.0194109	0.0331218	0.0366391	0.0156695	0.0217016	0.0181338	0.0167993	0.0226693	0.0139767	0.0138541	0.00854826	0.0109615	0.012097	0.00894684	0.0132828	0.0116052	0.0110549	0.0115435	0.0168246	0.0150874	0.0160497	0.0159048	0.0140337	0.013915	0.017082	0.0210684
suis	0.0329439	0.0140716	0.0174632	0.0332378	0.0200265	0.0239473	0.0347455	0.0328804	0.018143	0.0111736	0.0144836	0.0414688	0.015593	0.0320423	0.0492382	0.038094	0.0191718	0.0381818	0.0208412	0.03784	0.0392004	0.059881	0.0288493	0.0434795	0.0333918	0.00915921	0.00616137	0.00465749	0.00227062	0.00188115	0.00332924	0.0067645	0.00709482	0.0120515	0.00797942	0.00570335	0.00925989	0.00535338	0.00764887	0.011307	0.0102323	0.00921721	0.0129503	0.0118674	0.0134466	0.0170884	0.0147404	0.0155325	0.0225089	0.0214046
pas	0.0303655	0.0169527	0.0165648	0.0199169	0.0158471	0.0121673	0.0103569	0.00765286	0.00695769	0.00839578	0.0127362	0.00717547	0.0155995	0.0113397	0.0130781	0.0209362	0.0196588	0.0393387	0.0193662	0.0237767	0.0188701	0.0190935	0.0223491	0.0295261	0.0155431	0.0154627	0.0224001	0.0181016	0.0157983	0.0324527	0.0181447	0.0270401	0.0209815	0.031398	0.0491177	0.0282137	0.0482486	0.0349272	0.0135687	0.0241537	0.0120673	0.0176417	0.00853649	0.0185118	0.0114988	0.0109832	0.0164484	0.0158893	0.0158655	0.0389835
encore	0.0375226	0.017783	0.0105767	0.0091097	0.0102516	0.0075374	0.0074393	0.00815202	0.0121482	0.0118391	0.00687677	0.00866832	0.0132959	0.0132419	0.0182211	0.0218475	0.0274894	0.0505742	0.059879	0.0498332	0.0503909	0.0315838	0.0474997	0.0278863	0.0357594	0.0180488	0.0232837	0.02011	0.0181621	0.0249105	0.013748	0.0161906	0.0134146	0.0152062	0.0188435	0.0154188	0.0190909	0.0165945	0.00970553	0.020793	0.0101801	0.0147415	0.011919	0.0159003	0.0114713	0.017059	0.0137784	0.0161892	0.0147351	0.0150986
chauffeur	0.0240152	0.01192	0.0119025	0.0105249	0.00908817	0.00880174	0.0129055	0.0177829	0.0220788	0.0233594	0.0184504	0.024938	0.0230467	0.0337309	0.0354628	0.0348128	0.0381666	0.0398022	0.043755	0.0572873	0.0467113	0.029767	0.0427766	0.0266085	0.0294904	0.0132471	0.0129642	0.00952001	0.00899463	0.00686506	0.00542642	0.00594706	0.00692434	0.00889547	0.00956412	0.00892723	0.0101968	0.0125172	0.00935144	0.0252767	0.0150954	0.0201442	0.0165069	0.0230193	0.0187581	0.019909	0.0130972	0.013071	0.0159138	0.0126818
mais	0.0323531	0.0172167	0.00873379	0.0104841	0.00777766	0.00502239	0.00960594	0.0152613	0.0203545	0.0167272	0.0159848	0.0302922	0.0384767	0.057196	0.0513467	0.0344623	0.0322481	0.0217424	0.0229016	0.030257	0.0248497	0.0254622	0.017657	0.0160786	0.0216752	0.0123431	0.00961835	0.0154706	0.00614664	0.0048021	0.00681168	0.0123817	0.0141821	0.0122337	0.0131147	0.014151	0.0138371	0.0168871	0.0106737	0.0282909	0.0210694	0.0243901	0.022887	0.0233751	0.0238221	0.0265748	0.0187838	0.0205632	0.027086	0.0163369
un	0.0359596	0.0141866	0.00985973	0.0110587	0.00573416	0.00382078	0.00503603	0.0109871	0.0141222	0.00685105	0.00873567	0.022928	0.0161958	0.0345865	0.0472661	0.0405265	0.0355385	0.0182743	0.0271906	0.0213609	0.024225	0.0261936	0.0218126	0.039386	0.021431	0.0302557	0.0306496	0.0328165	0.0194491	0.0163644	0.015137	0.0205374	0.0214959	0.0181616	0.0152353	0.0176977	0.0152264	0.0116697	0.0089125	0.0224233	0.0132421	0.0213085	0.0182763	0.0155366	0.0147741	0.022537	0.0158333	0.0199845	0.0252888	0.0139198
apprenti	0.0221036	0.00494243	0.00421636	0.00196546	0.00188014	0.00122397	0.00141033	0.00131494	0.00287099	0.00379253	0.00419039	0.00572995	0.0113275	0.0129344	0.0129488	0.0128004	0.024909	0.0274125	0.0213616	0.0203576	0.0172438	0.0217085	0.0231999	0.0331227	0.0307327	0.0324351	0.0278518	0.0298958	0.0227691	0.0265207	0.0251654	0.018111	0.0171804	0.0181093	0.0231503	0.0205914	0.021585	0.0230406	0.0318596	0.0175479	0.0407303	0.0295671	0.0362517	0.0343548	0.0418671	0.0240709	0.0273348	0.0211564	0.0314908	0.0316623
</S>	0.029205	0.00764482	0.00562283	0.00773811	0.00405728	0.00300836	0.0046103	0.00653759	0.011656	0.0155845	0.0147948	0.0284634	0.0262851	0.0276555	0.0315756	0.0194104	0.0291183	0.02128	0.0311836	0.0266639	0.0268764	0.020828	0.0246524	0.0268379	0.0340542	0.024549	0.0209383	0.0170152	0.0102772	0.00778026	0.0100872	0.00873226	0.00739721	0.00777624	0.0108805	0.0118574	0.0165385	0.0136415	0.0139296	0.0167429	0.0166181	0.018665	0.019925	0.0265765	0.0386777	0.0222344	0.0228187	0.0210955	0.035359	0.0945425
