 	a66	a87	a23	a30	a53	a20	a94	a96	a34	a35	a98	a85	a6	a0	a43	a88	a13	a93	a43	a75	a56	a62	a88	a75	a21	a47	a61	a47	a96	a18	a25	a87	a23	a10	a87	</S>
il	0.0308386	0.0441764	0.0450863	0.070115	0.059577	0.0449588	0.0312253	0.0275298	0.0243124	0.0202556	0.0294975	0.0202008	0.0246309	0.020168	0.0197497	0.0131022	0.0050542	0.00362518	0.0031075	0.00323234	0.00301571	0.00323541	0.00346028	0.00633908	0.00776404	0.0226723	0.0161548	0.0251737	0.0353498	0.0411457	0.0688867	0.0442939	0.0418183	0.046015	0.0397799	0.0544521
a	0.0105473	0.0136637	0.0137175	0.0443815	0.0832169	0.0501804	0.0611767	0.0694614	0.0370237	0.0307529	0.022185	0.0168689	0.0133112	0.00821863	0.00669978	0.0118169	0.0116076	0.017851	0.0227844	0.0250835	0.0283574	0.0367052	0.0322882	0.0316829	0.0308936	0.0250909	0.0229441	0.0259155	0.0237647	0.0216063	0.026058	0.0236003	0.0309211	0.0263204	0.0270125	0.0162899
embrassé	0.0270232	0.0163395	0.00929461	0.0054486	0.0091422	0.00798839	0.0705964	0.115643	0.101203	0.0408318	0.0295009	0.0166393	0.0129676	0.0180325	0.01369	0.0144052	0.0177591	0.0267685	0.0189463	0.0136509	0.014637	0.0231127	0.0148045	0.0105024	0.0135002	0.00645313	0.00452219	0.00714929	0.00825742	0.0138758	0.0291743	0.030077	0.0620897	0.0423456	0.075604	0.0580228
sa	0.105345	0.0698039	0.033494	0.013877	0.0147834	0.0105011	0.056019	0.0730662	0.0938458	0.065731	0.0496699	0.0249814	0.0158089	0.017492	0.0129952	0.00957174	0.00631369	0.0081581	0.00727193	0.00993277	0.00554384	0.00835858	0.00564233	0.0073763	0.0055633	0.00664794	0.0088805	0.00858417	0.0108026	0.0152697	0.0151478	0.0162683	0.0227889	0.0265073	0.0287352	0.109221
femme	0.0384194	0.0209204	0.0110141	0.0176525	0.021319	0.0222187	0.0465546	0.0555818	0.0317489	0.0335343	0.0391815	0.0319693	0.0190219	0.0182375	0.0251925	0.0399657	0.0406398	0.0325889	0.021577	0.0179989	0.013686	0.0165663	0.0150486	0.0125974	0.013579	0.01713	0.0122108	0.0282009	0.0389345	0.0232672	0.0259779	0.0151747	0.0326469	0.0352639	0.0555825	0.0587966
avant	0.0509012	0.0364393	0.0235683	0.0136548	0.016368	0.0102121	0.0871837	0.105081	0.0923771	0.0619539	0.0413285	0.0260074	0.0190473	0.0165631	0.0147981	0.0138765	0.00936192	0.00977887	0.00807208	0.00613606	0.00637578	0.00730398	0.00862802	0.0071517	0.00605613	0.0133684	0.0145079	0.0216948	0.0316895	0.0177303	0.0179424	0.0200389	0.0326334	0.0283987	0.0334432	0.0703278
d'	0.0457352	0.0304055	0.0194254	0.0193502	0.0201661	0.0194447	0.0314839	0.0513835	0.0341739	0.034078	0.0376175	0.03031	0.0138606	0.00979075	0.00806868	0.0166289	0.0102307	0.00998885	0.00859526	0.00932509	0.0078986	0.00937326	0.00767011	0.00767196	0.00858551	0.010595	0.0085317	0.0172435	0.0312121	0.0266557	0.0260969	0.024771	0.050221	0.0566179	0.0779519	0.168841
aller	0.0428191	0.0228367	0.0154118	0.013879	0.0200691	0.0188593	0.0292096	0.0362201	0.0294374	0.0319172	0.0388481	0.0366353	0.0230353	0.0202676	0.0150683	0.0268833	0.022695	0.0195478	0.0178745	0.0154258	0.0162294	0.0249023	0.0211569	0.0273417	0.0336615	0.0432149	0.0332253	0.0465168	0.0465549	0.0309978	0.0272204	0.0166609	0.021656	0.024432	0.0368712	0.0524177
en	0.0537226	0.0392751	0.0183627	0.0119209	0.015174	0.00655883	0.017845	0.030519	0.0151047	0.0189986	0.0216691	0.0199549	0.013256	0.00960492	0.00834144	0.0190059	0.010449	0.00709498	0.0105136	0.0106692	0.0167792	0.0354783	0.0295936	0.0337276	0.0352132	0.0423799	0.0256485	0.0445453	0.0509434	0.0413518	0.0630726	0.0294298	0.0455503	0.0526701	0.0614423	0.0341336
voyage	0.0230336	0.010934	0.00540252	0.00537797	0.00658547	0.00627366	0.0192743	0.0278027	0.03131	0.0320474	0.0343906	0.0337021	0.0263065	0.0215244	0.0193315	0.0218832	0.0143809	0.0116274	0.0171869	0.0150958	0.01839	0.0260229	0.0237504	0.0337129	0.0334207	0.0430609	0.0298247	0.0440679	0.0334701	0.0505216	0.0455373	0.0313255	0.0437308	0.0511473	0.065273	0.0432732
</S>	0.0124044	0.0137981	0.0116868	0.00685069	0.00650172	0.00300342	0.00334789	0.00471211	0.00700976	0.00662985	0.0113414	0.00928782	0.0050131	0.0027889	0.00276037	0.00511881	0.00287443	0.00152898	0.00106963	0.00162307	0.00155937	0.00334135	0.00317344	0.0060505	0.0067061	0.014009	0.00991755	0.0259245	0.0463136	0.0664757	0.101478	0.0695845	0.110231	0.144649	0.142866	0.128369
