 	a66	a87	a23	a99	a9	a24	a62	a47	a88	a75	a56	a75	a79	a94	a93	a34	a62	a56	a25	a79	a44	a90	a44	a4	a58	a57	a82	a87	a23	a99	a97	a30	</S>
l'	0.0230258	0.0238284	0.0179133	0.0188701	0.0241621	0.0123318	0.0259036	0.0184009	0.0161476	0.0188505	0.0160817	0.0128411	0.0130153	0.0112022	0.0106657	0.0110527	0.0232121	0.0187012	0.0273917	0.0172676	0.0198946	0.0340429	0.0358975	0.115924	0.0951989	0.0863775	0.0671966	0.0376721	0.0346993	0.0301032	0.0295676	0.0220554	0.0305052
herbe	0.00661317	0.00720195	0.0115689	0.00705042	0.00909631	0.00956242	0.013781	0.0176186	0.0143639	0.0345228	0.0271505	0.0344015	0.0208684	0.0167716	0.0118378	0.0257204	0.0514517	0.0965942	0.0601901	0.0453944	0.0506992	0.0609744	0.0436114	0.0442371	0.0329711	0.0290496	0.0220104	0.0154384	0.0133671	0.0310134	0.0322863	0.0784205	0.0241608
qui	0.015525	0.0154658	0.0468465	0.0373109	0.0599391	0.0543987	0.0421539	0.0286883	0.0280019	0.0294591	0.0340605	0.0526227	0.0387885	0.0297067	0.0302439	0.042499	0.0290501	0.0320779	0.0126473	0.0304896	0.0193684	0.0229867	0.0276772	0.0255678	0.0176818	0.0160393	0.0150544	0.0176387	0.0119343	0.0196152	0.0268304	0.0730213	0.0166092
pousse	0.0435274	0.0266176	0.0503633	0.046662	0.0499286	0.041986	0.0370182	0.0300128	0.0371975	0.0256549	0.0397902	0.0478936	0.0364469	0.0517012	0.0540459	0.0507655	0.0297007	0.0275338	0.0196775	0.0166686	0.0159672	0.0163168	0.00888558	0.01116	0.00686741	0.00967819	0.00976926	0.0125965	0.0211503	0.0197847	0.0248042	0.0335671	0.0462606
le	0.0450847	0.0421574	0.0323182	0.0428406	0.0560206	0.0515437	0.0780464	0.0676915	0.0678948	0.038705	0.029231	0.0233313	0.0235824	0.0301462	0.0363916	0.0267029	0.0273365	0.019951	0.0367871	0.0219605	0.0182859	0.0158597	0.00798642	0.0103171	0.0103587	0.0160879	0.0152181	0.0143527	0.0149034	0.0152969	0.0140102	0.0226806	0.026919
plus	0.066722	0.0561347	0.0411929	0.0576607	0.0504905	0.0451486	0.0581472	0.0575204	0.0465877	0.0366253	0.0283518	0.0167844	0.0184158	0.0110208	0.0070179	0.0051185	0.00635545	0.00381112	0.00946085	0.00845752	0.00745322	0.00621443	0.00574026	0.00934218	0.0157851	0.0186999	0.0367178	0.0356965	0.035709	0.0389728	0.0472124	0.0502671	0.0611651
dans	0.0776843	0.069792	0.0635479	0.0586765	0.0461427	0.0398039	0.048155	0.0425063	0.024757	0.0182056	0.0118871	0.00787811	0.0068489	0.00412785	0.00255249	0.00262149	0.00347236	0.0031814	0.00845417	0.0139714	0.0119398	0.0123923	0.015815	0.022665	0.0307935	0.0343249	0.0472177	0.0515554	0.0395104	0.0378891	0.0451953	0.0416596	0.0547756
un	0.0411269	0.0407277	0.0306023	0.0232358	0.0169203	0.0165715	0.0210019	0.0219393	0.0146837	0.0193276	0.012793	0.00492016	0.00686601	0.00355216	0.0043961	0.00721815	0.0104442	0.0111684	0.014862	0.0111835	0.00743997	0.00866557	0.0218361	0.0321963	0.0431746	0.04155	0.0924556	0.07358	0.0861105	0.0662047	0.0696881	0.050687	0.0728706
terrain	0.00930512	0.00876933	0.008701	0.00959958	0.0149611	0.0148311	0.0249461	0.0210206	0.0224392	0.0225093	0.0238314	0.0256145	0.0192801	0.0143803	0.00864434	0.00843008	0.00839214	0.0107487	0.0127203	0.0137586	0.0122578	0.0168426	0.0258327	0.0554864	0.0711873	0.0638828	0.0757468	0.0801422	0.068557	0.0605512	0.0514145	0.0602804	0.0549355
favorable	0.0278607	0.0135749	0.00470552	0.0047086	0.00485988	0.00568224	0.00432325	0.00565581	0.00430516	0.00603365	0.00462857	0.0030956	0.00509678	0.00283686	0.00318028	0.00321044	0.00570807	0.0041776	0.00364298	0.00607965	0.00367583	0.00724438	0.0206874	0.0396486	0.0829103	0.0883677	0.0839287	0.0822241	0.0857755	0.0935645	0.0931994	0.0755049	0.119902
à	0.052883	0.0274725	0.0160849	0.0152627	0.0161539	0.0206693	0.0258721	0.0255949	0.0212343	0.0216196	0.0184479	0.0124586	0.0169671	0.0105844	0.0114913	0.0132053	0.0158305	0.0120196	0.0121731	0.0138186	0.013111	0.0166111	0.038192	0.0522506	0.0566273	0.0616226	0.0505251	0.0526101	0.052143	0.0506075	0.0512141	0.0481849	0.076457
la	0.0764857	0.0492801	0.0251678	0.0202798	0.0183434	0.031095	0.0203513	0.0232411	0.0223962	0.0173242	0.0162543	0.00848342	0.010521	0.00552318	0.00449179	0.00926279	0.0119186	0.0122072	0.0139193	0.00873642	0.00721743	0.00725276	0.0291089	0.0452717	0.034475	0.0440962	0.0469924	0.0514149	0.0713494	0.0618535	0.0712318	0.0535206	0.0709329
cul-	0.037077	0.0308664	0.0294249	0.0291285	0.0285168	0.0280435	0.0294156	0.0284092	0.0255648	0.0187567	0.012679	0.008549	0.00869809	0.00577814	0.00510431	0.00835516	0.0106578	0.0104547	0.0149499	0.0188512	0.00994203	0.012138	0.0205206	0.03769	0.0245725	0.0352924	0.04802	0.0545063	0.0437065	0.0585438	0.0625627	0.0717628	0.131462
ture	0.0308843	0.0323228	0.0294018	0.029935	0.0283151	0.0212798	0.0180992	0.0192076	0.0132412	0.0189669	0.0119834	0.0178035	0.0305839	0.0186209	0.0181232	0.0386052	0.031974	0.0441287	0.0335352	0.0253037	0.0212105	0.0205406	0.0290553	0.0349968	0.0307834	0.038437	0.0320757	0.0362495	0.0393655	0.0469698	0.0397104	0.0396401	0.0786501
de	0.0573848	0.0224055	0.0162803	0.0124824	0.00547149	0.00743702	0.00470661	0.00810706	0.00772094	0.00534073	0.00300202	0.00277802	0.00284452	0.00392425	0.00388228	0.00791985	0.0109313	0.0136299	0.00817973	0.00768569	0.00769555	0.00832278	0.00995956	0.0393224	0.0433464	0.0666681	0.0880056	0.0798314	0.082875	0.0704175	0.0841997	0.0705304	0.136711
l'	0.0292292	0.0196818	0.0178098	0.0120515	0.0102883	0.0129048	0.0109888	0.0118088	0.0181315	0.00890228	0.00572617	0.00384236	0.00252041	0.00235031	0.00255826	0.00306176	0.00579849	0.00462893	0.00575062	0.00502979	0.00736002	0.013761	0.0196841	0.0640756	0.0583026	0.0714886	0.0743853	0.0754052	0.0972261	0.085269	0.0846556	0.0704459	0.0848771
arachide	0.0341549	0.0223571	0.017635	0.0173753	0.0238959	0.0254627	0.0312636	0.0276837	0.0300574	0.0162749	0.010052	0.0121031	0.00905695	0.00943277	0.00823338	0.0167859	0.0165458	0.0207869	0.0183862	0.024625	0.0294905	0.0322362	0.0321626	0.0389277	0.0345472	0.0365588	0.049844	0.0505023	0.0485389	0.0556015	0.0534776	0.0635167	0.0824274
est	0.0361701	0.0305689	0.0233319	0.0199428	0.0138596	0.0212261	0.0150827	0.0166254	0.0176653	0.0155524	0.0106749	0.00602881	0.00565039	0.00564179	0.00857347	0.0121524	0.0163976	0.0187191	0.0188915	0.0125575	0.0096198	0.0115402	0.018562	0.0300092	0.0264963	0.0426771	0.0513844	0.0476942	0.0550867	0.0529165	0.0751661	0.105144	0.148391
le	0.0276692	0.0223712	0.0195768	0.0200753	0.0295129	0.0346756	0.0333974	0.0335322	0.0336753	0.0184506	0.0117953	0.0101607	0.0086972	0.00728154	0.00784787	0.0142694	0.0134367	0.0175028	0.0142435	0.0195847	0.0183192	0.0212344	0.0346729	0.0455362	0.0260508	0.0421983	0.0410078	0.0497183	0.0452111	0.0502468	0.0486989	0.0680411	0.111308
chiendent	0.0534299	0.0288409	0.0382485	0.0403579	0.0297962	0.0300805	0.0275909	0.0249002	0.0183665	0.0146844	0.0113417	0.0121994	0.0127993	0.0118389	0.0128486	0.0200939	0.0233314	0.034215	0.0304395	0.0261383	0.0205298	0.0211222	0.036475	0.038455	0.029983	0.033731	0.0379514	0.0364497	0.0424762	0.0406735	0.0506777	0.0528575	0.0570763
</S>	0.0169787	0.0155364	0.0165216	0.0161315	0.0152743	0.015905	0.0153719	0.0115176	0.00941483	0.00761763	0.00676572	0.00709727	0.00690345	0.00698388	0.00926619	0.0102297	0.00818827	0.00850149	0.00823962	0.00743644	0.0094028	0.018771	0.0323648	0.0645274	0.0576942	0.056925	0.0752233	0.0771526	0.10394	0.073256	0.0819036	0.0602419	0.068716
