 	a66	a87	a23	a53	a79	a44	a96	a93	a79	a56	a0	a90	a93	a94	a70	a13	a11	a54	a36	a26	a2	a57	a2	a57	a87	a23	a97	</S>
cette	0.0431401	0.0481499	0.067817	0.0356775	0.0180819	0.0110084	0.00918712	0.00965322	0.00941995	0.00608846	0.00456387	0.00414828	0.00372025	0.0103292	0.0114443	0.0168749	0.0243363	0.0347953	0.0488756	0.04615	0.0391877	0.0593406	0.0542623	0.0648699	0.0610097	0.0583965	0.0734481	0.126024
jeune	0.00292568	0.00662569	0.0182205	0.043593	0.102155	0.230298	0.106443	0.0774	0.0747947	0.0358193	0.0282658	0.0245883	0.0125683	0.032888	0.0300944	0.0405195	0.0318973	0.0309839	0.0110379	0.00951665	0.00991487	0.0111699	0.00203133	0.0043855	0.00365332	0.00620409	0.00950772	0.00249758
fille	0.0411061	0.074524	0.0470823	0.0513803	0.0403711	0.030775	0.0203071	0.0323352	0.0184817	0.0174328	0.0266569	0.0153759	0.0102996	0.0137211	0.0216048	0.0317534	0.0232835	0.0305105	0.0215559	0.0401848	0.0374533	0.0621526	0.0228856	0.0497923	0.0702447	0.0488929	0.0600057	0.0398308
n'	0.0705231	0.0295848	0.0185639	0.0129512	0.00793414	0.00926663	0.0151424	0.0338722	0.0501266	0.0743519	0.0838677	0.0761018	0.156742	0.024845	0.0235545	0.026448	0.0162739	0.0154274	0.0235096	0.0210606	0.0197588	0.0272014	0.0209684	0.0279666	0.0185253	0.0239988	0.0252667	0.0461671
a	0.030453	0.0417223	0.0446352	0.0330862	0.03032	0.0247428	0.0515314	0.0455684	0.0594464	0.0529672	0.0555694	0.0166708	0.0375529	0.021047	0.0302624	0.0410636	0.0311391	0.0423043	0.0442277	0.0616058	0.0532275	0.0400346	0.0253772	0.0168865	0.0188033	0.017764	0.0161268	0.0158639
pas	0.059754	0.0531253	0.0550707	0.0484292	0.0426162	0.0484686	0.0495859	0.047448	0.0293914	0.0275841	0.0246368	0.0196959	0.0117882	0.0165711	0.0226448	0.0223315	0.0245831	0.0395807	0.0378681	0.0334919	0.0586254	0.0317893	0.0497743	0.031599	0.0229373	0.0333698	0.0234058	0.0338335
encore	0.047764	0.0376359	0.0352528	0.0297897	0.0236161	0.0278034	0.0315701	0.0316061	0.0227217	0.016499	0.0150725	0.0178975	0.0122632	0.0138326	0.0184976	0.0228568	0.0252468	0.046199	0.0586915	0.0590269	0.0759517	0.0606573	0.0567023	0.0516567	0.0397779	0.0464257	0.0318544	0.0431307
trouvé	0.0453019	0.0463258	0.0508585	0.0486639	0.0430372	0.0440252	0.0398601	0.0377312	0.0352698	0.0287361	0.0305968	0.0363245	0.0202192	0.0284038	0.0261129	0.0294977	0.0269331	0.0298115	0.0341454	0.033771	0.0383359	0.0342276	0.0365416	0.0385718	0.0343	0.0316071	0.0330209	0.0377695
un	0.033754	0.023165	0.0220764	0.0123976	0.00990857	0.0144182	0.013543	0.0179906	0.0157263	0.00627174	0.00661707	0.00514788	0.00628305	0.00575598	0.00901287	0.0127365	0.0200318	0.0414318	0.0488053	0.0578029	0.110165	0.0799951	0.0713343	0.094428	0.0770629	0.0669006	0.0471851	0.070052
mari	0.0415305	0.0335468	0.0274635	0.0239275	0.0198966	0.0224279	0.0135819	0.0218479	0.0188506	0.0109956	0.0135835	0.0146719	0.0166804	0.029236	0.0410166	0.0486797	0.040513	0.0439173	0.0376549	0.0502866	0.0535095	0.0571445	0.0439958	0.0515996	0.0459861	0.0466104	0.0410227	0.0898226
</S>	0.0197019	0.0147689	0.0181394	0.0117893	0.00667441	0.00869222	0.00795818	0.00977373	0.0108771	0.00562349	0.00668528	0.00651267	0.00604336	0.00893277	0.0153095	0.0255658	0.0343459	0.0571327	0.0530758	0.0667773	0.0840711	0.0773521	0.0824956	0.0878727	0.0763501	0.0753168	0.0516737	0.0704883
