 	a66	a87	a23	a99	a54	a37	a6	a36	a85	a92	a98	a79	a56	a75	a21	a75	a96	a56	a75	a56	a75	a25	a79	a7	a84	a87	a23	a87	</S>
le	0.0426752	0.0556013	0.0410425	0.036991	0.0772858	0.0650279	0.0502739	0.0762364	0.0434636	0.0166071	0.0148952	0.0534216	0.018811	0.0138679	0.0172155	0.0189459	0.0199397	0.0234237	0.0198076	0.0273708	0.0128085	0.0193389	0.0364862	0.027368	0.0255822	0.0250098	0.032966	0.0216262	0.0659107
guérisseur	0.00150232	0.00335525	0.00848191	0.0147065	0.0747298	0.086829	0.14651	0.226314	0.148314	0.093977	0.0659677	0.0328037	0.00975083	0.0103218	0.0127435	0.00750513	0.0160908	0.0107634	0.00820467	0.00353052	0.00413186	0.00213404	0.00117376	0.00041966	0.000429665	0.000900357	0.00175094	0.00306513	0.00359313
lui	0.043889	0.0526585	0.0571037	0.0539076	0.068631	0.0609137	0.0792429	0.0750568	0.101632	0.0612897	0.0640807	0.0307184	0.0154824	0.0269135	0.0213249	0.00916332	0.0208884	0.0171499	0.0149464	0.018734	0.0146597	0.0099719	0.0217842	0.00586616	0.00764433	0.0128116	0.00628346	0.0161265	0.0111253
a	0.0331016	0.0168165	0.0171192	0.0146929	0.0148508	0.0215367	0.0188067	0.0140962	0.0123148	0.027951	0.0381087	0.0627256	0.0509131	0.0578971	0.0473028	0.0495387	0.0660728	0.0664886	0.0563033	0.0465035	0.0244917	0.0173542	0.0447131	0.0288383	0.0194823	0.0321273	0.0226485	0.0254906	0.0517135
donné	0.0539261	0.0526901	0.0445625	0.0478076	0.0165635	0.0106283	0.00536446	0.0040338	0.00660962	0.0183027	0.0369085	0.0651116	0.108189	0.157533	0.108542	0.0763504	0.0466205	0.0352416	0.0295703	0.0169437	0.0048167	0.0044355	0.00748915	0.00663199	0.00617356	0.00537944	0.0062079	0.00898703	0.00837905
un	0.0527362	0.0363107	0.0273346	0.0233217	0.0211874	0.017459	0.0150278	0.0175552	0.0185715	0.0161793	0.0159988	0.0227775	0.0119887	0.0111798	0.0113496	0.0105704	0.0346027	0.0297474	0.0389273	0.0494667	0.0482302	0.0358598	0.0694427	0.0719522	0.0704685	0.0743064	0.0433254	0.0366371	0.0674855
médicament	0.0649946	0.0488185	0.0528867	0.0422493	0.0348318	0.0303509	0.0234942	0.0213051	0.0295455	0.0362027	0.0341182	0.023539	0.013243	0.01252	0.01853	0.0156605	0.0436625	0.0332853	0.0227614	0.0306925	0.0255135	0.0301134	0.0400035	0.035577	0.0439773	0.0437009	0.0422143	0.0428755	0.0633331
pour	0.0484967	0.0310651	0.0369256	0.0316729	0.0309994	0.0267386	0.0193512	0.0147009	0.0136657	0.00915988	0.0121471	0.0146687	0.00978748	0.00787436	0.0182631	0.0159859	0.0276639	0.0299244	0.0271086	0.0452359	0.0501363	0.0833729	0.0468687	0.0603174	0.0578694	0.0625884	0.0541938	0.0509915	0.0622263
le	0.0671242	0.05569	0.0475087	0.0349833	0.0315812	0.0261205	0.0316184	0.0287316	0.034032	0.0349323	0.0395317	0.0341348	0.0300889	0.0286205	0.0218686	0.0227113	0.0345854	0.0251302	0.0190105	0.0479592	0.0219463	0.0403183	0.0458291	0.0310093	0.0243279	0.0258918	0.0239669	0.0336901	0.057057
faire	0.0514965	0.0553556	0.0668574	0.0584661	0.0590584	0.0499245	0.0351355	0.0232255	0.0307401	0.0391022	0.0322888	0.038948	0.0327613	0.0253326	0.00918871	0.0158191	0.0194427	0.0125057	0.00792062	0.0236019	0.0131114	0.0192704	0.0311204	0.02164	0.0333257	0.0317728	0.0449254	0.0430415	0.0746213
vomir	0.0399459	0.0306484	0.0415971	0.0284627	0.0353183	0.0245005	0.0155791	0.0122644	0.0124599	0.0079245	0.00758729	0.0238119	0.0166226	0.0132232	0.0127023	0.0176437	0.0259917	0.0257322	0.0241848	0.0405748	0.0333112	0.0249839	0.0379976	0.0455384	0.055627	0.0487992	0.0760184	0.0504926	0.170456
</S>	0.0525968	0.0484327	0.0449157	0.028742	0.0308781	0.0189406	0.0133697	0.0114421	0.00962958	0.00632819	0.00504283	0.00709677	0.00364462	0.00281478	0.00322904	0.006356	0.030083	0.0330392	0.0356237	0.060847	0.038031	0.036596	0.0598537	0.0538304	0.0563465	0.0558575	0.0661144	0.0493754	0.130943
