 	a66	a87	a23	a30	a13	a57	a38	a13	a70	a93	a70	a96	a98	a15	a79	a7	a90	a4	a58	a53	a93	a70	a83	a71	a75	a79	a54	a47	a15	a7	a44	a70	a13	a9	a99	a97	a99	a87	a97	a87	a23	a87	</S>
il	0.01754	0.0494153	0.0321536	0.0445137	0.0498516	0.046006	0.0354045	0.0421457	0.0376062	0.0241398	0.0284588	0.0230474	0.0187758	0.0207498	0.0141582	0.0137127	0.0121792	0.0144934	0.019934	0.0181658	0.0163086	0.0175017	0.0190447	0.00875459	0.0124722	0.00918814	0.00739218	0.0143879	0.0192974	0.0293149	0.0192613	0.0239474	0.0359812	0.0359881	0.0202044	0.0193434	0.0223044	0.0102385	0.0190284	0.0161674	0.0198183	0.010742	0.0308615
manque	0.0143616	0.0147909	0.0100585	0.0269134	0.024914	0.0272138	0.0167736	0.0137119	0.0162273	0.0169775	0.0183057	0.0203545	0.0183951	0.0215245	0.029742	0.0283895	0.0231288	0.0337327	0.0253156	0.0222449	0.0267826	0.0257124	0.0244461	0.0166623	0.019863	0.0146884	0.0171869	0.0246098	0.0193787	0.026315	0.0332981	0.0356973	0.0313285	0.0200415	0.0326705	0.0196388	0.0215613	0.0249951	0.0312952	0.0290951	0.0339189	0.0311842	0.0165544
quelqu'	0.0503299	0.0351595	0.0261386	0.0265378	0.0221373	0.0269636	0.0183632	0.0223024	0.0196203	0.0275701	0.0389843	0.0461926	0.0543609	0.037072	0.0358246	0.0209158	0.0370194	0.0245402	0.0153769	0.012443	0.0157132	0.0169723	0.0139413	0.0168963	0.0118757	0.0123572	0.0147713	0.0113064	0.00458609	0.00658223	0.00774394	0.00506384	0.0068868	0.00582704	0.00977717	0.0171655	0.0202412	0.0195797	0.0387858	0.0258182	0.0340146	0.0354063	0.0508355
un	0.0707803	0.0445982	0.0306927	0.0145411	0.00928516	0.0139505	0.00934219	0.0107113	0.0132628	0.0259759	0.0261528	0.0305451	0.0412056	0.0324885	0.0332089	0.0376865	0.0463707	0.0243301	0.0232312	0.0175583	0.0129038	0.0194938	0.0172046	0.0153465	0.0113831	0.025109	0.0314519	0.0253559	0.0177544	0.0181294	0.0134063	0.00959612	0.0313594	0.00956356	0.0183747	0.0186916	0.0150895	0.0121455	0.0245613	0.0133644	0.021014	0.0193762	0.0434073
pour	0.0508173	0.0289145	0.0249382	0.0154682	0.0159363	0.0201309	0.0191832	0.0190054	0.0321599	0.0463013	0.0350012	0.0413381	0.05691	0.0591107	0.0402944	0.0572126	0.0417175	0.0317876	0.0330022	0.0326198	0.0219896	0.0181592	0.0158973	0.00971632	0.0100648	0.012475	0.0120201	0.00715339	0.0054525	0.00888101	0.00749042	0.00586498	0.0104604	0.00837322	0.0102347	0.0122311	0.0120134	0.0117834	0.0174516	0.0220774	0.0178796	0.0224583	0.0180228
réchauffer	0.035062	0.0259097	0.0115803	0.014496	0.0157104	0.0317584	0.0309875	0.0390342	0.0590609	0.0760949	0.0520979	0.0529602	0.0619655	0.0505853	0.0406565	0.0323773	0.0421486	0.021396	0.0277546	0.0128622	0.00845735	0.00912389	0.00639791	0.00529052	0.00533239	0.0049115	0.00742417	0.00788981	0.00510849	0.00618922	0.012204	0.00913214	0.00756003	0.00763611	0.00616412	0.00836518	0.0112395	0.0212804	0.0221995	0.0308759	0.0234511	0.0224048	0.0168636
les	0.0349957	0.0178749	0.0121906	0.019825	0.0157927	0.0183524	0.00937736	0.0079575	0.00970393	0.0124622	0.0116573	0.0177515	0.0258919	0.00889763	0.0104886	0.00999102	0.0131581	0.00796864	0.0103641	0.00984104	0.00617685	0.00854695	0.00887412	0.0150053	0.0093922	0.0155944	0.0210523	0.0365013	0.0154762	0.0127534	0.0261194	0.0258261	0.0269355	0.0230875	0.024943	0.0336246	0.0435992	0.057946	0.0539246	0.0794725	0.0596862	0.0859372	0.0249831
restes	0.0277679	0.0282307	0.0212097	0.0231625	0.0235774	0.0240156	0.0106252	0.0160545	0.0198411	0.0199361	0.0124526	0.0173665	0.0163661	0.0205305	0.0124662	0.00802764	0.00946647	0.00740726	0.00751074	0.00730484	0.00540102	0.00759305	0.00985773	0.0085221	0.00742858	0.00980602	0.0130591	0.0213251	0.0139331	0.0162325	0.0164628	0.0261979	0.0341126	0.0382127	0.0342953	0.0421481	0.0487944	0.055732	0.0522625	0.0462486	0.0396104	0.0707458	0.0486992
d'	0.0243432	0.0247737	0.036662	0.0562117	0.0383791	0.0312862	0.0263449	0.0257475	0.023022	0.0259924	0.0225245	0.0285897	0.0283892	0.033768	0.020872	0.0213863	0.0207289	0.0151176	0.0125923	0.0101848	0.0114028	0.0103231	0.00800189	0.00531475	0.00432364	0.00461669	0.00576788	0.00469072	0.0042996	0.00811915	0.00766992	0.0102765	0.015193	0.0330013	0.0152191	0.0257868	0.0295099	0.0411393	0.0384057	0.0405549	0.0385429	0.045857	0.0650672
hier	0.026632	0.0252128	0.0364469	0.0474744	0.0299507	0.0228575	0.0212261	0.0185481	0.0162495	0.0202555	0.0162819	0.0205321	0.0190724	0.0277934	0.0173656	0.0169023	0.0141507	0.0157428	0.013829	0.0130263	0.0130774	0.0129133	0.0110445	0.0081698	0.0080394	0.00901468	0.0116225	0.0103802	0.00859547	0.0126905	0.0112853	0.0121852	0.0202106	0.0309806	0.0164688	0.0312775	0.0348458	0.0419405	0.0424613	0.0440033	0.041334	0.0572934	0.0706161
</S>	0.0258088	0.0298636	0.0206433	0.0356695	0.0174735	0.0125516	0.00975704	0.00689443	0.00732865	0.0105275	0.00709386	0.00961109	0.00936468	0.0124755	0.00833501	0.0053772	0.0060302	0.0065455	0.00797618	0.00719638	0.0071065	0.00949285	0.00747152	0.00926406	0.00810962	0.010174	0.016571	0.0207024	0.0126343	0.017495	0.0231436	0.0192618	0.0319035	0.0363202	0.0235851	0.0443219	0.0526083	0.0595286	0.0641829	0.0661735	0.0602327	0.0782293	0.0649638
