 	a38	a75	a96	a75	a61	a0	a75	a44	a84	a57	a53	a93	a90	a9	a38	a62	a83	a9	a99	a87	a23	a9	a26	</S>
il	0.0827204	0.104519	0.100125	0.0749279	0.0859216	0.0680912	0.0476995	0.0382847	0.04145	0.014231	0.00336042	0.00408387	0.00164888	0.00192206	0.00300936	0.00717098	0.011068	0.0372222	0.0672859	0.0492184	0.0451748	0.0391461	0.0297275	0.0419919
y	0.0381883	0.0282407	0.0435652	0.0330181	0.0289598	0.0355849	0.0405513	0.0390596	0.03197	0.0564356	0.0562158	0.039745	0.02165	0.0299422	0.0445977	0.0334311	0.0310247	0.0367464	0.0398042	0.0406598	0.0708132	0.0684429	0.055287	0.0560665
a	0.0272441	0.019494	0.0240643	0.0354476	0.0152191	0.016089	0.0214953	0.0204007	0.0112806	0.016198	0.00658087	0.00402092	0.00471507	0.00838667	0.00479563	0.00780331	0.0096391	0.0181948	0.0593387	0.114207	0.0885613	0.0877718	0.233279	0.145772
de	0.0681895	0.0563734	0.0585979	0.0755546	0.0692074	0.060245	0.0518869	0.0571299	0.0594662	0.0905874	0.0828672	0.0551827	0.0408327	0.0208262	0.0193323	0.0189809	0.0155623	0.0157661	0.0128223	0.0104028	0.0125901	0.0123599	0.0114041	0.0238321
la	0.085188	0.0514438	0.0572496	0.096216	0.076516	0.0733914	0.0551823	0.0519594	0.0458056	0.0484013	0.0377866	0.0285689	0.0146411	0.0104386	0.0158443	0.0137847	0.0122644	0.0161444	0.0214564	0.0272077	0.0360897	0.0245045	0.0453427	0.0545728
clameur	0.122691	0.0958366	0.0751647	0.0807515	0.0845087	0.058047	0.049471	0.0417361	0.0292607	0.0281786	0.0270045	0.0251674	0.0205761	0.0242531	0.0174816	0.0166529	0.0143017	0.0178542	0.0209756	0.0268556	0.0302862	0.0283022	0.0238109	0.0408321
là-bas	0.0621755	0.0490557	0.0358304	0.0411281	0.0291109	0.0331508	0.0261076	0.0295005	0.0279786	0.0431241	0.036862	0.0416762	0.0335877	0.0407054	0.0547128	0.0565232	0.0392285	0.0335937	0.0338852	0.0453336	0.0513338	0.0295425	0.0504588	0.0753944
dans	0.0311733	0.0205179	0.0164752	0.0228114	0.0232508	0.0187616	0.0169061	0.0146854	0.0162599	0.0263637	0.0240586	0.0264183	0.0270461	0.0622245	0.0779945	0.0953147	0.0928877	0.0862415	0.050482	0.0481131	0.0522462	0.0414789	0.0540843	0.0542044
le	0.0346078	0.0220868	0.0133426	0.0151969	0.0153694	0.0142761	0.00765469	0.00736534	0.00452016	0.00817162	0.00770091	0.00909888	0.00870095	0.0203693	0.0335624	0.0532993	0.0676059	0.0906985	0.0838795	0.108881	0.0966727	0.076521	0.095618	0.1048
village	0.046736	0.027484	0.0254448	0.0321396	0.02218	0.0247005	0.0240859	0.0168999	0.00950004	0.0308013	0.0514741	0.0591832	0.0561885	0.113055	0.0681136	0.0530783	0.035789	0.0457693	0.0324618	0.0377917	0.0520429	0.0501429	0.0423902	0.0425471
</S>	0.00815075	0.00371393	0.00369144	0.00443812	0.00360155	0.00488974	0.00416757	0.00305666	0.00294977	0.00316156	0.00313444	0.00199721	0.00280587	0.0110709	0.0123186	0.0149945	0.0269582	0.0504473	0.110261	0.185556	0.126871	0.101397	0.175594	0.134772
