 	il	lui	arrache	son	couteau	</S>
a23	0.477811	0.149445	0.0555302	0.0680534	0.105016	0.144144
a87	0.574275	0.266448	0.0580651	0.0287426	0.030286	0.0421825
a23	0.463134	0.270671	0.0813297	0.0520993	0.0554984	0.0772667
a20	0.358132	0.180067	0.0494773	0.0598916	0.108223	0.244209
a73	0.561581	0.235599	0.0699291	0.0477886	0.0385804	0.0465219
a2	0.506301	0.299263	0.0952415	0.0478449	0.0261	0.0252491
a75	0.387258	0.267465	0.125591	0.0873713	0.0632048	0.06911
a24	0.296038	0.197058	0.123502	0.133048	0.117876	0.132478
a94	0.24499	0.214315	0.208744	0.151921	0.0910941	0.0889355
a24	0.256215	0.221243	0.196526	0.139963	0.092733	0.0933187
a94	0.12392	0.148157	0.233465	0.22743	0.141044	0.125983
a76	0.148406	0.165761	0.228836	0.198239	0.131083	0.127675
a41	0.130891	0.15567	0.219507	0.187235	0.152079	0.154619
a18	0.0853952	0.113129	0.232454	0.245023	0.172553	0.151445
a71	0.0522621	0.0652209	0.159912	0.246764	0.240217	0.235624
a38	0.0283718	0.0320801	0.0891904	0.199229	0.282896	0.368233
a73	0.0163917	0.0199715	0.082046	0.210584	0.288343	0.382665
a2	0.0161846	0.0212011	0.0770752	0.222578	0.292242	0.370719
a57	0.00978136	0.00985536	0.0312411	0.150969	0.294893	0.503261
a87	0.00679244	0.00716814	0.0208233	0.0881081	0.257396	0.619712
</S>	0.0126923	0.0251292	0.0831138	0.144999	0.278244	0.455822
