 	hier	je	n'	ai	pas	pu	dormir	à	cause	des	moucherons	</S>
a87	0.0814905	0.0835443	0.0859439	0.0936701	0.113467	0.129432	0.128641	0.108243	0.107977	0.0477433	0.0153703	0.00447769
a23	0.0763957	0.0475113	0.0483739	0.0575661	0.064257	0.0625835	0.0885611	0.122691	0.136915	0.166291	0.0703924	0.058462
a70	0.0965358	0.0733299	0.0666832	0.0648882	0.0606877	0.0658608	0.0798406	0.111101	0.13382	0.141907	0.0609615	0.0443846
a75	0.229601	0.183643	0.131373	0.111393	0.0794998	0.068672	0.0557407	0.0420105	0.0429501	0.0278488	0.017665	0.00960327
a85	0.320408	0.230493	0.124224	0.0900755	0.0491373	0.0404784	0.0356969	0.0294384	0.029606	0.0183254	0.0161355	0.0159818
a47	0.178077	0.181561	0.137329	0.118452	0.0810382	0.0739948	0.066	0.0585386	0.0512404	0.0275897	0.016248	0.00993071
a73	0.181305	0.184521	0.154326	0.131944	0.0989127	0.0775398	0.0565282	0.0413893	0.0339279	0.0173171	0.0105969	0.0116931
a2	0.139422	0.147978	0.146281	0.137878	0.119945	0.094981	0.0690639	0.0493539	0.0405122	0.0229002	0.0173805	0.0143045
a57	0.0949305	0.100704	0.108793	0.0986828	0.0920289	0.0794167	0.0803335	0.0709058	0.0642999	0.0630043	0.0694466	0.0774542
a4	0.0816576	0.0801598	0.0944051	0.0960834	0.0876269	0.0746162	0.0815321	0.0709219	0.0552557	0.0552412	0.0745258	0.147974
a93	0.111674	0.110137	0.124634	0.113575	0.114403	0.0983164	0.0786485	0.0532927	0.0405493	0.0253708	0.0420917	0.0873089
a47	0.126503	0.128468	0.147086	0.144737	0.139733	0.103823	0.0704901	0.037102	0.0264891	0.0133688	0.0192353	0.0429644
a88	0.0983131	0.101034	0.135053	0.149976	0.168765	0.12938	0.0874627	0.0468243	0.0345111	0.0137852	0.0132151	0.02168
a9	0.0622465	0.0615236	0.0958693	0.117321	0.166349	0.140187	0.120897	0.0677817	0.0513896	0.02809	0.0326799	0.0556659
a75	0.0288642	0.028281	0.0534214	0.072712	0.117725	0.121219	0.126195	0.0849629	0.0690609	0.0571377	0.0812417	0.159178
a85	0.0604553	0.0588901	0.0860806	0.0977772	0.151025	0.131948	0.119187	0.0770614	0.0530724	0.029714	0.0444253	0.0903641
a96	0.0472496	0.0481191	0.0782209	0.0956847	0.155238	0.130897	0.113563	0.0779754	0.0559861	0.0361188	0.0541012	0.106847
a62	0.0401227	0.0373501	0.0533172	0.0633395	0.122686	0.127482	0.143521	0.099523	0.0778181	0.05163	0.0706223	0.112588
a32	0.0499801	0.0441616	0.0529246	0.0599444	0.10384	0.104063	0.132605	0.10167	0.080885	0.0687886	0.0953823	0.105755
a0	0.0313399	0.0268164	0.0368008	0.0400758	0.0777804	0.0850114	0.124925	0.100522	0.0780585	0.0760959	0.134224	0.18835
a11	0.0115316	0.0105993	0.0158453	0.0186494	0.0383433	0.047733	0.0885155	0.0868518	0.0728713	0.0876366	0.18066	0.340763
a34	0.0146199	0.012222	0.0175923	0.01918	0.035626	0.0394635	0.0656083	0.0638808	0.0521897	0.073066	0.178456	0.428095
a70	0.0246626	0.0193733	0.0253784	0.0266374	0.043022	0.0440699	0.0604586	0.0539933	0.0426514	0.0568239	0.14594	0.456989
a61	0.00594837	0.00483933	0.006897	0.00801317	0.014357	0.0154662	0.0251722	0.0252108	0.0223256	0.0434304	0.156911	0.671428
a62	0.00868648	0.00690496	0.00933125	0.0107248	0.0186112	0.0192021	0.0302919	0.028951	0.0235319	0.0407475	0.137739	0.665278
a83	0.00365357	0.00325757	0.00446704	0.00553451	0.00999683	0.0111167	0.019431	0.0199436	0.0172138	0.0351363	0.141903	0.728346
a0	0.00153584	0.00145938	0.00228766	0.0029331	0.00547518	0.00680421	0.0135661	0.0165198	0.01566	0.0382643	0.154985	0.740509
a34	0.0007586	0.000681869	0.00118225	0.0016911	0.00320672	0.00386319	0.00884615	0.0123238	0.0124044	0.0379211	0.155788	0.761333
