 	appelle	ta	femme	qu'	elle	vienne	ramasser	les	vomissures	de	votre	enfant	</S>
a87	0.142801	0.0935124	0.0824102	0.0724286	0.0968877	0.174163	0.17556	0.0801229	0.0377074	0.0202614	0.0122045	0.00650484	0.00543648
a23	0.185818	0.122334	0.0732125	0.0580952	0.0689356	0.138949	0.114821	0.0777529	0.0491449	0.0387361	0.0290914	0.0207855	0.0223247
a99	0.0943199	0.096353	0.0762677	0.079354	0.0738637	0.0957511	0.0766991	0.0801507	0.070595	0.0812543	0.066911	0.0540302	0.0544502
a61	0.0973025	0.0962425	0.102023	0.0842361	0.0664418	0.0713202	0.0600651	0.0726763	0.0757918	0.0704743	0.0601216	0.0635225	0.0797827
a41	0.237938	0.18569	0.132878	0.0852957	0.0546971	0.0535133	0.045699	0.0415582	0.0430357	0.030769	0.0299747	0.0270203	0.0319316
a6	0.225168	0.190072	0.150301	0.0978055	0.0586809	0.0477158	0.0317985	0.0339429	0.0461034	0.03072	0.0286148	0.0264119	0.0326659
a98	0.143941	0.136112	0.138538	0.113544	0.0968618	0.0655968	0.0389963	0.0422705	0.0585576	0.0454134	0.041789	0.035738	0.0426419
a85	0.104102	0.115251	0.135245	0.126322	0.101224	0.0560051	0.032637	0.0468065	0.0522853	0.0572512	0.0587026	0.0550973	0.0590698
a6	0.0874706	0.117759	0.138698	0.136002	0.113982	0.072353	0.041559	0.0510057	0.0466892	0.0526066	0.0482854	0.044468	0.0491222
a56	0.0864474	0.0938744	0.131524	0.149184	0.132915	0.0625578	0.0354399	0.0467804	0.039874	0.0456696	0.0443621	0.054172	0.0771986
a75	0.0676554	0.0660789	0.112301	0.139218	0.14061	0.0636288	0.0364231	0.0549578	0.0499601	0.0559046	0.0533714	0.0690439	0.0908474
a21	0.0524449	0.0486539	0.0773321	0.103862	0.12281	0.0582282	0.0341774	0.0613901	0.0580399	0.0745016	0.0740297	0.100183	0.134348
a75	0.0649986	0.0588604	0.0777182	0.100324	0.128467	0.0733528	0.0460416	0.0641744	0.058982	0.0743399	0.0673033	0.0814722	0.103966
a93	0.0344211	0.0333157	0.0336678	0.0410256	0.049232	0.0318463	0.0332415	0.0731406	0.073693	0.114474	0.120352	0.157941	0.203649
a70	0.0398393	0.0380721	0.0388616	0.0474827	0.0597825	0.0341825	0.0219759	0.0725387	0.0750976	0.113677	0.110928	0.152404	0.195158
a11	0.0378639	0.0402759	0.0482752	0.060692	0.0738359	0.0456139	0.023884	0.0686883	0.0761906	0.119734	0.110256	0.130234	0.164457
a93	0.0180195	0.0240542	0.037532	0.0531735	0.0738051	0.0380508	0.0207255	0.0594407	0.0754617	0.115673	0.100451	0.155493	0.22812
a56	0.0142625	0.0169923	0.0250054	0.0356407	0.051917	0.0297761	0.0162435	0.0549871	0.0794075	0.149844	0.123378	0.164705	0.237841
a75	0.0116556	0.0125169	0.0165667	0.0243497	0.0383253	0.0232783	0.0138204	0.0440009	0.062358	0.156003	0.150053	0.185702	0.26137
a47	0.0117658	0.0112591	0.0112938	0.0168257	0.0238907	0.0169087	0.0157938	0.0323663	0.0402628	0.0870704	0.123397	0.24762	0.361546
a34	0.0125634	0.0117518	0.0109665	0.015441	0.0194736	0.0145731	0.0159128	0.0524007	0.0795985	0.160682	0.165487	0.202554	0.238596
a90	0.00425894	0.00508976	0.0065694	0.0101397	0.0164323	0.012418	0.00972183	0.038876	0.0643129	0.157325	0.19731	0.221909	0.255637
a15	0.0104541	0.0108905	0.0117596	0.0174921	0.0261398	0.0195816	0.0173951	0.0411231	0.0553208	0.136859	0.164104	0.212363	0.276517
a79	0.00545762	0.00526713	0.00521553	0.0090053	0.0150021	0.0125503	0.0132539	0.0324656	0.0477921	0.106016	0.150395	0.252777	0.344802
a54	0.00248963	0.00284042	0.00276278	0.00515366	0.0095157	0.00724022	0.0076999	0.023047	0.0313975	0.0882395	0.14897	0.273737	0.396906
a47	0.00182001	0.0020254	0.00181784	0.00340322	0.00633764	0.00591625	0.00707602	0.0221949	0.0332711	0.086415	0.158653	0.287508	0.383562
a7	0.00545332	0.00405833	0.00322983	0.00544651	0.0095017	0.0121947	0.0160845	0.0430024	0.0593828	0.107411	0.171077	0.250105	0.313054
a26	0.00206383	0.00172384	0.00144831	0.002153	0.0035783	0.0048859	0.00657487	0.0174376	0.0276217	0.0713296	0.152876	0.291746	0.416561
a57	0.00867504	0.00365051	0.00301742	0.00435651	0.00881312	0.00879973	0.00917605	0.0169752	0.0239179	0.043222	0.118727	0.315555	0.435115
a87	0.0393318	0.0179329	0.0115352	0.0143507	0.0212027	0.0260313	0.0377569	0.0554803	0.0659349	0.101036	0.159636	0.218685	0.231087
a23	0.0393382	0.0194292	0.011303	0.0165157	0.025954	0.062638	0.143032	0.198358	0.145514	0.111829	0.0937973	0.0750548	0.057238
a87	0.0106621	0.00635612	0.00571481	0.00614157	0.00881702	0.0245262	0.0704291	0.176601	0.195237	0.12095	0.117348	0.127236	0.129981
</S>	0.00321875	0.0025028	0.00220611	0.00322883	0.00601289	0.0150505	0.0557267	0.15782	0.17096	0.131691	0.155588	0.153725	0.142269
