 	mon	mari	sait	tendre	des	pièges	pour	prendre	les	rats	palmistes	</S>
a87	0.332796	0.169347	0.101389	0.0730951	0.100031	0.0929384	0.0419781	0.0268351	0.0146649	0.0128426	0.0169844	0.0170977
a23	0.241744	0.0888612	0.0379688	0.0594972	0.0777866	0.0962683	0.0780862	0.0651671	0.0441658	0.043821	0.0829343	0.0836999
a30	0.167269	0.170252	0.118684	0.0976562	0.0668086	0.0498652	0.0323062	0.0412872	0.0264981	0.0289869	0.0828795	0.117508
a93	0.192623	0.165053	0.111255	0.0761315	0.0480394	0.0355386	0.0276167	0.0448062	0.0387248	0.044219	0.0852026	0.13079
a75	0.293738	0.207672	0.116745	0.0847237	0.0501355	0.032783	0.0204873	0.0234934	0.024256	0.0326059	0.0577524	0.0556077
a25	0.297884	0.178801	0.089756	0.0628617	0.0503706	0.0430511	0.0277087	0.0295884	0.0346817	0.047159	0.0739512	0.064186
a56	0.158928	0.155756	0.172433	0.173971	0.115281	0.0780259	0.032859	0.0242203	0.0194547	0.0213684	0.0265397	0.0211645
a75	0.143135	0.172376	0.23549	0.178155	0.102204	0.0590417	0.0201604	0.0161701	0.0146972	0.0176192	0.0231669	0.0177846
a47	0.126848	0.145154	0.200892	0.201516	0.125913	0.0748996	0.0305284	0.0192629	0.0172352	0.0180897	0.0219279	0.0177338
a56	0.125315	0.13587	0.184444	0.192617	0.120569	0.074965	0.0371777	0.0248697	0.0238621	0.0246355	0.0275418	0.028133
a96	0.091608	0.127418	0.217269	0.20297	0.137009	0.0846717	0.0315625	0.021629	0.020371	0.0203498	0.0237856	0.0213571
a75	0.0841315	0.115384	0.200307	0.204145	0.159271	0.100117	0.033898	0.020965	0.0191051	0.0188224	0.0220987	0.021755
a85	0.0646079	0.0735637	0.139114	0.18832	0.142919	0.0996343	0.0670925	0.0462203	0.0443189	0.0422706	0.0477733	0.0441649
a5	0.0573095	0.0585675	0.111741	0.173793	0.151039	0.112605	0.0729775	0.0528783	0.0518339	0.0470548	0.0550131	0.0551883
a31	0.0675772	0.0621454	0.100374	0.160046	0.174013	0.146628	0.0812371	0.044341	0.0417635	0.0389008	0.0389032	0.0440709
a21	0.044936	0.0413328	0.073161	0.132744	0.150543	0.15078	0.119538	0.0670991	0.0562379	0.0496432	0.0526944	0.0612901
a96	0.0440501	0.0387446	0.0711165	0.127246	0.126489	0.122241	0.122116	0.076784	0.0662556	0.0590012	0.0671248	0.078832
a90	0.0226891	0.0230963	0.0578569	0.113451	0.118091	0.114414	0.150387	0.0980583	0.0735662	0.0633706	0.0740284	0.0909917
a4	0.0172123	0.0170957	0.0441777	0.0955842	0.0917962	0.0778634	0.14297	0.105631	0.0975451	0.0925632	0.107387	0.110174
a18	0.00815504	0.0100557	0.0291294	0.0597105	0.0645541	0.059945	0.146271	0.141613	0.139431	0.118282	0.119189	0.103665
a61	0.00391293	0.0042758	0.0128041	0.0311316	0.0336179	0.0290345	0.0713298	0.117786	0.130621	0.124884	0.197466	0.243136
a21	0.00240907	0.0031343	0.0113066	0.0289268	0.0333522	0.0324559	0.0895717	0.125509	0.138726	0.131133	0.194961	0.208515
a85	0.00763862	0.00764377	0.0113965	0.016068	0.0191866	0.0205672	0.0542648	0.0977292	0.154575	0.162699	0.203239	0.244993
a47	0.00611315	0.00627895	0.0100505	0.0167552	0.0198963	0.0233138	0.0615465	0.124186	0.178038	0.160434	0.195328	0.198059
a7	0.00448098	0.00465924	0.0110063	0.0251282	0.0304263	0.0340678	0.0940447	0.159971	0.178691	0.148826	0.169315	0.139384
a84	0.00182531	0.00197212	0.00536554	0.0127633	0.0144124	0.0151957	0.0398357	0.0768102	0.0885763	0.105039	0.244615	0.39359
a53	0.00226241	0.00194263	0.00252817	0.00461311	0.00817236	0.00779617	0.0141051	0.0315275	0.0403173	0.0676936	0.298456	0.520586
a93	0.000228564	0.000225508	0.000549454	0.001724	0.00254147	0.002866	0.0120352	0.032855	0.0464847	0.0683846	0.291371	0.540735
a70	0.000253842	0.000244874	0.00053612	0.00164883	0.00260727	0.00310707	0.0133871	0.0343873	0.0496001	0.0798527	0.311798	0.502577
a99	0.000347795	0.000335219	0.000660262	0.00217413	0.00309152	0.00372454	0.0128957	0.0355501	0.0538258	0.0902158	0.332849	0.46433
a9	0.00132637	0.00125809	0.00218732	0.00607075	0.00992284	0.0119727	0.0310939	0.0701835	0.0874934	0.122042	0.312646	0.343804
a99	0.0302548	0.0214808	0.0139843	0.0179374	0.0243214	0.027604	0.0427871	0.0748718	0.0740197	0.0877843	0.243224	0.341731
a87	0.0467006	0.0395571	0.0335153	0.0379025	0.0514447	0.058673	0.0746555	0.0814092	0.0790401	0.088805	0.168122	0.240175
a23	0.0502318	0.0375567	0.0309653	0.0343206	0.0492647	0.0582771	0.0968023	0.120732	0.102564	0.0961088	0.15913	0.164047
a87	0.00355856	0.00281743	0.00439446	0.0123978	0.0158095	0.0198298	0.059556	0.105317	0.123341	0.121124	0.301865	0.229989
</S>	0.00108228	0.00140252	0.00466823	0.0168274	0.024172	0.0287826	0.0667545	0.102519	0.0887177	0.0887647	0.279255	0.297055
