 	ekumu	était	un	grand	ami	de	tsanganzoro	</S>
a66	0.474478	0.155023	0.0845572	0.0803792	0.0711011	0.0527941	0.0416437	0.0400232
a87	0.491021	0.171481	0.0904034	0.0655602	0.0488071	0.0454137	0.0420443	0.0452699
a23	0.681446	0.156476	0.0644786	0.0316133	0.0176149	0.0121669	0.0135233	0.0226813
a50	0.519771	0.125301	0.0699313	0.0514943	0.0380373	0.0374402	0.0530535	0.104972
a83	0.559259	0.123614	0.05463	0.0361741	0.0326614	0.0407483	0.0606937	0.0922193
a71	0.585718	0.124104	0.0637651	0.0432578	0.0355049	0.0360965	0.0453897	0.0661636
a38	0.495493	0.15827	0.0934312	0.0496873	0.0350615	0.0367552	0.0526174	0.0786842
a83	0.374899	0.174251	0.127486	0.0638509	0.0442325	0.0475473	0.0652855	0.102448
a34	0.209933	0.230967	0.232387	0.130245	0.065587	0.0452222	0.0402828	0.0453764
a94	0.21612	0.244634	0.247598	0.143211	0.0606267	0.0326996	0.0258939	0.0292159
a44	0.150196	0.246556	0.248583	0.177927	0.0772475	0.0377358	0.0287996	0.0329558
a54	0.189047	0.25369	0.219417	0.156162	0.0789529	0.0387192	0.0284733	0.0355392
a47	0.0600332	0.111279	0.139334	0.168384	0.156702	0.120655	0.108389	0.135224
a85	0.0515101	0.102968	0.13883	0.179197	0.157191	0.122261	0.109093	0.138949
a6	0.0370949	0.0985423	0.149169	0.187133	0.176873	0.1442	0.107274	0.0997139
a21	0.0367574	0.101093	0.125676	0.150608	0.154054	0.15745	0.140034	0.134326
a12	0.0286419	0.0648513	0.0936684	0.166947	0.201192	0.181903	0.13205	0.130746
a18	0.020286	0.0483536	0.0711181	0.146309	0.206702	0.196886	0.154802	0.155542
a43	0.0192921	0.0231635	0.0323726	0.0784272	0.158793	0.20684	0.213974	0.267138
a21	0.030993	0.0289466	0.0344436	0.0596937	0.111269	0.174269	0.225124	0.335261
a92	0.00912804	0.0159606	0.0243351	0.0514011	0.116896	0.208892	0.267331	0.306056
a75	0.00346521	0.00845662	0.0153613	0.0344932	0.0899236	0.173058	0.264426	0.410816
a21	0.00136069	0.0047511	0.00998523	0.0251228	0.0772752	0.18486	0.300384	0.396261
a5	0.00206842	0.00397163	0.00787733	0.0210195	0.06409	0.143587	0.281434	0.475952
a36	0.00295973	0.00494026	0.00813607	0.0170218	0.0466928	0.119367	0.291984	0.508898
a75	0.00199941	0.00272679	0.00501191	0.0109159	0.0318245	0.0838928	0.269576	0.594053
a92	0.000486811	0.00195355	0.0049258	0.0129238	0.0360241	0.0970909	0.272109	0.574486
a37	0.000210027	0.00102002	0.003101	0.00965431	0.0317276	0.0895346	0.260839	0.603913
a92	0.00064834	0.00132512	0.00310718	0.00797572	0.024882	0.0643345	0.232069	0.665658
a37	0.000375693	0.00136276	0.00348755	0.00952826	0.0295357	0.0795974	0.243519	0.632594
a93	0.000506058	0.00169094	0.00417095	0.00855579	0.0259236	0.0643607	0.231444	0.663348
a70	0.00102091	0.00269254	0.00624619	0.0109515	0.0343285	0.0828802	0.252688	0.609192
a13	0.00190905	0.00495373	0.00998622	0.0180496	0.0437068	0.0913066	0.227733	0.602354
a9	0.00360448	0.00612144	0.0113079	0.0195678	0.050177	0.112698	0.253014	0.543509
a87	0.0460368	0.0445714	0.0600617	0.0678039	0.103276	0.138337	0.209329	0.330584
a23	0.298939	0.113193	0.0871809	0.0768811	0.0771507	0.0874072	0.109329	0.14992
a87	0.0821374	0.0632066	0.0586954	0.0596298	0.0855998	0.12572	0.198217	0.326794
a97	0.0119969	0.013029	0.0196081	0.0335556	0.0658619	0.127497	0.238848	0.489603
</S>	0.0201258	0.0201596	0.0257215	0.0487578	0.0854394	0.131654	0.217074	0.451067
