 	notre	maman	a	renversé	la	marmite	après	l'	avoir	lavée	</S>
a66	0.234257	0.119403	0.0803038	0.0595467	0.0723383	0.0984094	0.131107	0.114179	0.0430698	0.0281528	0.019234
a87	0.222547	0.0960514	0.0683594	0.0506486	0.054965	0.0854253	0.114494	0.122067	0.0610904	0.0608919	0.0634604
a23	0.354049	0.191779	0.109037	0.0623702	0.0392668	0.0385691	0.0347967	0.0398074	0.0400729	0.0366551	0.0535973
a18	0.244503	0.180804	0.122557	0.114434	0.0781366	0.064882	0.0432448	0.0330915	0.0252626	0.0385032	0.0545812
a30	0.234368	0.19393	0.139898	0.0912843	0.0622059	0.0577294	0.0413916	0.0363593	0.0397223	0.0524139	0.0506966
a53	0.248532	0.179608	0.137357	0.0963462	0.0720057	0.059851	0.0418951	0.0374371	0.0395711	0.050181	0.037216
a15	0.295889	0.164275	0.123545	0.0727393	0.0621785	0.0470726	0.0384373	0.0368333	0.0405395	0.0722643	0.0462266
a79	0.187008	0.118418	0.114576	0.0678382	0.065684	0.0507605	0.0530477	0.0642693	0.074101	0.128442	0.075855
a56	0.163696	0.132224	0.138704	0.100587	0.101682	0.0673517	0.0572897	0.0512078	0.0512581	0.0785341	0.0574654
a43	0.152023	0.163058	0.179455	0.15268	0.117605	0.0786805	0.0511975	0.0330298	0.0242561	0.0285778	0.0194382
a75	0.132658	0.1501	0.165791	0.170628	0.135952	0.0972699	0.06019	0.0338258	0.0201776	0.0197002	0.0137083
a79	0.0510265	0.0704252	0.103518	0.146721	0.1663	0.122044	0.106217	0.080973	0.0527038	0.0538762	0.0461953
a7	0.0374309	0.0606599	0.10445	0.168583	0.185252	0.139487	0.108816	0.0747907	0.0437498	0.0397279	0.0370522
a44	0.0342968	0.0571206	0.0993206	0.159596	0.20077	0.153313	0.104703	0.0642472	0.0443398	0.0343887	0.0479052
a96	0.0282677	0.0454227	0.077426	0.138356	0.193796	0.162027	0.112687	0.0718628	0.0548387	0.0391492	0.0761674
a34	0.0267007	0.0396273	0.0677089	0.134757	0.196112	0.179946	0.135771	0.0831018	0.0461653	0.0304944	0.0596162
a0	0.0275235	0.0368105	0.0587797	0.116322	0.163053	0.158376	0.152304	0.112154	0.0626862	0.0402496	0.0717424
a62	0.0300994	0.0334267	0.0480061	0.087822	0.145004	0.171305	0.154476	0.123979	0.0730969	0.0485032	0.0842815
a83	0.0269546	0.0334953	0.0497614	0.10243	0.135952	0.133291	0.129742	0.130829	0.111033	0.0634165	0.0830949
a11	0.0233248	0.026977	0.0403384	0.0754512	0.116688	0.121173	0.116257	0.129183	0.131543	0.0913373	0.127727
a96	0.0176746	0.0201097	0.0301137	0.0551757	0.0793253	0.0887886	0.0974415	0.128726	0.173715	0.127559	0.181371
a70	0.0120526	0.0151433	0.0234611	0.0488513	0.0714255	0.0699213	0.0696751	0.0966621	0.18151	0.154086	0.257211
a13	0.00859405	0.0106641	0.0164212	0.0344544	0.0520999	0.0530159	0.0525698	0.0775759	0.177117	0.169802	0.347686
a9	0.0133918	0.0144489	0.0186012	0.0280228	0.0408538	0.0560733	0.0561125	0.0850742	0.189002	0.163215	0.335205
a87	0.0304144	0.0342338	0.0460446	0.0591567	0.0721758	0.0872599	0.0821738	0.0945312	0.146284	0.118455	0.229271
a9	0.030239	0.0232701	0.0251151	0.0256406	0.0352533	0.0502949	0.0917262	0.164179	0.223382	0.176675	0.154224
a62	0.0287741	0.0158344	0.0163463	0.014824	0.0253775	0.043443	0.0832516	0.151296	0.208686	0.23528	0.176887
a47	0.00323602	0.00211786	0.00316625	0.00403325	0.00887173	0.0179435	0.0395481	0.0891931	0.215515	0.277975	0.3384
a0	0.0031173	0.00233106	0.00374484	0.00520316	0.00973485	0.0163247	0.0364558	0.0840572	0.199421	0.258113	0.381497
a31	0.00258955	0.0022665	0.00399231	0.00636179	0.0140901	0.0249424	0.0505404	0.103876	0.223482	0.224984	0.342874
a0	0.00238488	0.00225613	0.0035004	0.00576324	0.011684	0.0215302	0.0432201	0.0944946	0.21975	0.239426	0.35599
a11	0.00672959	0.00660227	0.0092639	0.0100745	0.0136631	0.0220947	0.0377228	0.0821171	0.212383	0.211402	0.387947
a93	0.0167283	0.0157488	0.0184964	0.0200561	0.0235017	0.0320323	0.04989	0.0932478	0.195952	0.18854	0.345807
a43	0.000753317	0.000630618	0.000802672	0.00113271	0.00213399	0.00494017	0.0125865	0.0426251	0.184254	0.214772	0.535369
a96	0.000880287	0.00081389	0.0011708	0.00154309	0.00253771	0.00589994	0.014171	0.0454057	0.188921	0.206427	0.53223
a0	0.00130511	0.00128103	0.0018593	0.00240971	0.00336816	0.00639939	0.01324	0.0420832	0.184391	0.181627	0.562035
a75	0.0014389	0.0013944	0.00212054	0.00280039	0.00381364	0.00695218	0.0139326	0.0415908	0.178126	0.17942	0.56841
a21	0.000417764	0.000438738	0.000690293	0.00102552	0.00154904	0.00272709	0.00524744	0.0156574	0.0938133	0.156954	0.721479
a5	0.000951502	0.000827426	0.00118539	0.00135056	0.00257605	0.00485744	0.0126718	0.0360229	0.142879	0.205343	0.591335
a36	0.00144026	0.00137859	0.00207796	0.00241328	0.00367515	0.00508844	0.00927139	0.0243207	0.110398	0.174215	0.665721
a27	0.00447299	0.00383369	0.00559279	0.00779884	0.00883935	0.00931744	0.011033	0.0236633	0.0988708	0.160773	0.665805
a57	0.0761271	0.0551087	0.068138	0.0610844	0.0605271	0.0458582	0.0471228	0.0634297	0.107563	0.130892	0.28415
a87	0.146718	0.0824324	0.0756567	0.0694125	0.065166	0.0518884	0.0501	0.0561092	0.0825214	0.0862994	0.233696
