 	mon	père	a	coupé	beaucoup	de	poteaux	en	bois	pour	construire	une	nouvelle	maison	</S>
a66	0.145935	0.113549	0.0796199	0.0833632	0.110532	0.1304	0.109542	0.0922892	0.0552257	0.0311258	0.0173146	0.00995328	0.00700872	0.0069276	0.00721335
a87	0.296915	0.190444	0.0886591	0.0609363	0.0583562	0.0705564	0.0441695	0.0341572	0.0288374	0.0305369	0.035014	0.0196129	0.0131741	0.014691	0.0139398
a23	0.156939	0.0976046	0.0829677	0.084806	0.106702	0.108921	0.0681662	0.0720839	0.0655025	0.0504966	0.0407663	0.0217827	0.0144945	0.0144222	0.0143448
a54	0.113205	0.0712381	0.0804105	0.112289	0.118064	0.0979404	0.0762823	0.0707402	0.0602596	0.0430837	0.0468795	0.0263605	0.0199747	0.0284544	0.0348192
a47	0.108361	0.101061	0.074175	0.0686678	0.0671415	0.0855362	0.0793471	0.0554381	0.0639243	0.0683672	0.0788071	0.0493091	0.0341798	0.0309001	0.0347853
a6	0.140226	0.185346	0.162221	0.128859	0.0787418	0.0669312	0.0570927	0.0309116	0.0251229	0.0254307	0.0391617	0.0212977	0.0127475	0.0124916	0.0134189
a85	0.131219	0.197119	0.187682	0.131101	0.0635514	0.0578265	0.0469736	0.0311813	0.0277421	0.0317375	0.0423789	0.0194649	0.0115701	0.0103753	0.0100787
a92	0.130592	0.172785	0.144912	0.106814	0.058532	0.0521529	0.0476908	0.0305532	0.0296726	0.0409722	0.0744297	0.0393529	0.0248556	0.0238401	0.0228454
a37	0.165511	0.17972	0.140279	0.116166	0.0673515	0.0567024	0.0513998	0.0341781	0.0310905	0.0302717	0.0506443	0.0272328	0.0169124	0.0165936	0.0159468
a75	0.113851	0.136149	0.131914	0.133462	0.104753	0.0833782	0.0782843	0.052918	0.0400743	0.0311454	0.0318541	0.0201863	0.0139044	0.014474	0.0136532
a12	0.067981	0.083484	0.089425	0.107082	0.0912076	0.0752925	0.0804521	0.0587852	0.0558882	0.0630808	0.0776479	0.0523721	0.0341986	0.0319933	0.0311099
a61	0.0371876	0.0463599	0.0690698	0.0970114	0.120403	0.123418	0.131026	0.0892582	0.0672655	0.0527738	0.0419711	0.0369344	0.0291602	0.0290447	0.0291165
a0	0.0163906	0.0203604	0.0377096	0.0653871	0.115895	0.123162	0.146198	0.104477	0.0841942	0.0713289	0.0544255	0.0443977	0.03675	0.0395124	0.0398115
a11	0.0132782	0.0148253	0.0273765	0.047182	0.112221	0.14265	0.177916	0.144014	0.106862	0.0687124	0.0443963	0.027302	0.0228338	0.0247697	0.0256605
a96	0.0122134	0.013509	0.0226979	0.0367661	0.0890319	0.124967	0.177298	0.159106	0.125397	0.0821203	0.0511378	0.0320585	0.0247214	0.0239581	0.0250173
a24	0.0127198	0.0150738	0.0253385	0.0395466	0.0736223	0.0956128	0.141014	0.117388	0.0935113	0.0878024	0.0729346	0.0682576	0.0519177	0.0514712	0.0537893
a47	0.0123901	0.0139105	0.0240575	0.0370099	0.0714901	0.0958825	0.136305	0.115143	0.0965892	0.0836987	0.0677508	0.0654644	0.0581251	0.0578785	0.0643042
a31	0.012209	0.0138552	0.0260646	0.042203	0.0716646	0.092364	0.119357	0.104338	0.086943	0.0802628	0.071796	0.0775901	0.063473	0.0649996	0.0728802
a24	0.00551985	0.00683819	0.0125019	0.0210356	0.0447349	0.0624247	0.103995	0.0850585	0.0760914	0.096902	0.0959638	0.127034	0.093324	0.0829888	0.085587
a31	0.00531257	0.00605206	0.0116726	0.0187107	0.0393689	0.0587099	0.0919214	0.0793139	0.0746948	0.0783478	0.0843012	0.113619	0.114811	0.10883	0.114334
a88	0.00482821	0.00596307	0.00990329	0.0158264	0.0331631	0.0473279	0.0819019	0.0675924	0.0631123	0.0846168	0.0878126	0.144202	0.135645	0.111902	0.106203
a71	0.00472292	0.00523471	0.00994965	0.0164975	0.0337854	0.0496777	0.0708378	0.0616753	0.0563063	0.0555791	0.065189	0.101537	0.143984	0.154868	0.170156
a9	0.00456479	0.00466481	0.00740728	0.0135938	0.039327	0.0581313	0.0794499	0.0765544	0.0690438	0.0579225	0.0530119	0.083195	0.136525	0.148288	0.168321
a83	0.0119475	0.0104018	0.0138837	0.0220006	0.0602682	0.0874989	0.113489	0.149404	0.11822	0.0734824	0.0420553	0.0463114	0.0813898	0.0804507	0.0891965
a50	0.00768616	0.00677338	0.0092461	0.0137287	0.0330614	0.0477262	0.0652765	0.0713705	0.0599653	0.0571439	0.059765	0.0925648	0.15388	0.152446	0.169366
a88	0.00782249	0.0069757	0.00985099	0.0143166	0.0286752	0.0367438	0.0485209	0.0517781	0.044933	0.0532569	0.0748225	0.113889	0.174267	0.164415	0.169733
a71	0.0040944	0.00388072	0.00605394	0.00853069	0.0180974	0.0246215	0.0341065	0.0340539	0.0298099	0.0354296	0.0520258	0.0980569	0.199203	0.215278	0.236758
a38	0.0143627	0.0112349	0.0162829	0.0272261	0.0563742	0.0735828	0.0783246	0.0901728	0.0735612	0.0496019	0.0467848	0.0627946	0.113427	0.125265	0.161004
a56	0.020205	0.0133413	0.0153058	0.0251094	0.0555904	0.078316	0.0844795	0.12432	0.103623	0.0625552	0.0521455	0.0628637	0.103695	0.0942651	0.104185
a25	0.00220937	0.00184507	0.00225824	0.00363247	0.00929538	0.0121234	0.0177874	0.0195825	0.0216542	0.034551	0.0580517	0.113234	0.240622	0.229776	0.233377
a92	0.000548028	0.000497929	0.0006791	0.00106962	0.00316724	0.00539683	0.00912541	0.0109932	0.0136353	0.0206429	0.0339074	0.0768807	0.221539	0.274734	0.327183
a37	0.000548665	0.00052453	0.000624645	0.000950136	0.00224193	0.00364965	0.00650485	0.00740083	0.00977322	0.0146892	0.0249136	0.076969	0.218006	0.287243	0.345961
a21	0.00048277	0.000445897	0.000562594	0.000793393	0.00215847	0.00362864	0.00549129	0.00644826	0.00762309	0.0121672	0.0293664	0.0853736	0.236847	0.278372	0.33024
a5	0.000492308	0.000423007	0.000460877	0.000582386	0.00170271	0.00303964	0.00461439	0.00610038	0.00732094	0.0122877	0.0283743	0.0867773	0.232392	0.274358	0.341074
a36	0.000513691	0.000493397	0.000653669	0.000790821	0.00208854	0.00373674	0.00580721	0.00728108	0.00882389	0.0141896	0.0317111	0.0846868	0.222775	0.27193	0.344519
a98	0.00329998	0.00276889	0.0038007	0.0044866	0.00928662	0.0139304	0.0172763	0.0229507	0.0276644	0.0284286	0.045233	0.0982214	0.19634	0.231188	0.295125
a85	0.000458997	0.000441294	0.00057473	0.000723392	0.00141986	0.00225056	0.00353022	0.00380901	0.00578273	0.0113614	0.0274337	0.0783183	0.217402	0.299873	0.346621
a6	0.000210034	0.000211533	0.000292693	0.000390083	0.000826226	0.00119562	0.00210408	0.00233204	0.00376599	0.00923676	0.0242256	0.0761144	0.208179	0.30072	0.370196
a36	0.000261981	0.000255764	0.000306152	0.00038368	0.000728144	0.00115914	0.00182407	0.00218512	0.00383693	0.00823176	0.0171976	0.0673655	0.195781	0.302365	0.398118
a27	0.000847555	0.000902289	0.00128513	0.00170382	0.00313184	0.00421342	0.00665254	0.00776686	0.0109883	0.0183999	0.0414901	0.101735	0.227874	0.252839	0.32017
a30	0.0106072	0.010865	0.0124271	0.0132212	0.0247975	0.0315238	0.0416386	0.0564917	0.0700241	0.0709635	0.0742539	0.103528	0.144562	0.150202	0.184894
a10	0.0787529	0.0524653	0.0429635	0.0389504	0.0518678	0.0784785	0.0725934	0.113149	0.118924	0.097725	0.0664884	0.0531322	0.0503325	0.0421228	0.042054
a87	0.0876136	0.0595245	0.0491503	0.0480959	0.0674425	0.087803	0.0750545	0.100858	0.0994045	0.0798849	0.0593689	0.0460614	0.0496698	0.0462669	0.0438019
a99	0.0624093	0.0473599	0.041401	0.0436857	0.0659887	0.0826674	0.0778709	0.104919	0.11023	0.104779	0.0700784	0.0578197	0.0469425	0.0453462	0.0385019
a97	0.0213716	0.0145782	0.0104809	0.00954107	0.0147053	0.0232039	0.0256018	0.0314231	0.0385892	0.053015	0.0810097	0.11957	0.155117	0.207582	0.194211
a87	0.00978025	0.00624083	0.00577926	0.00960178	0.0215681	0.0290976	0.0299663	0.0431	0.0432507	0.0390632	0.0487723	0.0622033	0.125223	0.232551	0.293803
a23	0.0149617	0.0106624	0.00920318	0.0132823	0.0256556	0.029661	0.0281334	0.037985	0.0381327	0.036255	0.0439491	0.0577279	0.125268	0.234026	0.295097
a18	0.00987355	0.00740581	0.00588092	0.00660025	0.00953541	0.012579	0.0127711	0.0148187	0.0210026	0.034619	0.0751976	0.114826	0.178699	0.244196	0.251995
a37	0.0220482	0.0168098	0.0144628	0.0145306	0.017911	0.0240257	0.0228141	0.0280727	0.0401899	0.0586759	0.0827789	0.110289	0.163266	0.190603	0.193522
a10	0.0289316	0.0220204	0.016535	0.0146197	0.0177615	0.024913	0.0252277	0.0339419	0.0481203	0.0647976	0.0767071	0.107085	0.167898	0.174932	0.176509
</S>	0.0127535	0.00959309	0.0074928	0.00701049	0.00942334	0.0139171	0.0155295	0.018879	0.030056	0.0494483	0.0685477	0.119939	0.203155	0.212331	0.221925
