 	les	soldats	ont	assaillli	le	voleur	</S>
a66	0.503084	0.360128	0.0777745	0.0313364	0.0145904	0.00781409	0.0052735
a87	0.648234	0.190765	0.0434505	0.0224252	0.0302357	0.0311707	0.0337188
a23	0.396806	0.286867	0.108845	0.0429995	0.0351738	0.0449861	0.0843226
a40	0.307099	0.172134	0.100819	0.0806516	0.0866237	0.0998722	0.152801
a79	0.492678	0.365997	0.0851259	0.0287998	0.0120538	0.00859399	0.0067511
a37	0.451283	0.349572	0.124151	0.0434538	0.0153169	0.00998962	0.00623402
a90	0.256371	0.352774	0.202399	0.104461	0.0364097	0.0275613	0.020024
a15	0.252499	0.3188	0.205552	0.109741	0.0506453	0.0352418	0.0275215
a98	0.120764	0.252322	0.232936	0.174819	0.0963098	0.0710313	0.0518178
a47	0.140408	0.232805	0.22451	0.160683	0.100627	0.0794288	0.0615386
a36	0.096582	0.118454	0.170048	0.200004	0.165134	0.144556	0.105222
a7	0.0447559	0.0513661	0.115847	0.173064	0.184064	0.21526	0.215642
a90	0.0215175	0.0216151	0.0665349	0.145959	0.194981	0.256329	0.293064
a56	0.00862301	0.00889802	0.0381983	0.141003	0.202797	0.269848	0.330633
a62	0.00162753	0.00187672	0.00855257	0.0520288	0.118245	0.260297	0.557373
a61	0.000689567	0.00117555	0.00480444	0.028849	0.107194	0.247519	0.609768
a12	0.000872603	0.00125225	0.00412378	0.0210506	0.0856002	0.247535	0.639565
a96	0.000937317	0.00166703	0.00556633	0.0207488	0.0668761	0.213941	0.690264
a94	0.000744907	0.00141963	0.00461597	0.0169183	0.0606206	0.202312	0.713369
a57	0.000612007	0.00124618	0.00479893	0.0208888	0.0795566	0.238215	0.654682
a3	0.00245418	0.00348323	0.0132306	0.0567241	0.105966	0.267702	0.550439
a87	0.234744	0.123488	0.0876037	0.107933	0.120536	0.138391	0.187304
a23	0.397715	0.233045	0.127219	0.0788872	0.0689715	0.047624	0.0465386
a99	0.0244507	0.0121828	0.0147953	0.0373465	0.124173	0.234804	0.552248
a97	0.00639629	0.00448608	0.00754708	0.0329897	0.0920878	0.222143	0.63435
</S>	0.00298961	0.00291573	0.00574171	0.024786	0.0895613	0.217441	0.656565
