 	nous	réglons	le	problème	de	son	mariage	</S>
a66	0.16504	0.184084	0.186345	0.147337	0.134227	0.0880589	0.0542602	0.0406474
a87	0.0884586	0.153518	0.216562	0.180382	0.14131	0.105695	0.0629097	0.0511655
a97	0.377064	0.301421	0.117629	0.0652668	0.0427689	0.031	0.0309736	0.033877
a87	0.400096	0.397508	0.0898016	0.0428861	0.0234693	0.0165644	0.014707	0.0149674
a97	0.342629	0.343023	0.121212	0.0698327	0.0442285	0.0326393	0.0245399	0.0218959
a87	0.43935	0.22023	0.093575	0.072329	0.052474	0.0467171	0.0363033	0.0390211
a23	0.370498	0.239698	0.110933	0.0860326	0.0634318	0.0523378	0.0396908	0.0373785
a97	0.317673	0.12889	0.100921	0.10322	0.0841725	0.0890751	0.0780254	0.0980225
a99	0.339497	0.103302	0.0774406	0.0989814	0.0943776	0.102028	0.0828717	0.101501
a18	0.324286	0.0897261	0.0709253	0.0941277	0.0920236	0.107397	0.094642	0.126872
a9	0.223172	0.0774395	0.0774525	0.114396	0.107982	0.13212	0.115898	0.151539
a38	0.256043	0.113006	0.0898201	0.115126	0.103706	0.117329	0.0929515	0.112018
a83	0.233738	0.121076	0.106697	0.121444	0.105473	0.117148	0.0890536	0.105371
a11	0.262708	0.193437	0.131468	0.109109	0.0914651	0.0848835	0.0616391	0.0652895
a90	0.256729	0.251038	0.142051	0.0965393	0.0769991	0.0671999	0.0539466	0.0554968
a62	0.261767	0.275807	0.124681	0.076897	0.0634631	0.0590066	0.0584236	0.0799554
a12	0.150756	0.30871	0.14778	0.0925868	0.0730165	0.0632347	0.0738854	0.0900301
a70	0.0948565	0.295164	0.154214	0.103796	0.0801525	0.0669876	0.0880052	0.116823
a50	0.0890448	0.27934	0.152766	0.101031	0.0778313	0.0654087	0.0961095	0.138468
a0	0.0763542	0.270781	0.179402	0.123792	0.0884689	0.0671227	0.0809339	0.113145
a24	0.0665523	0.254462	0.198955	0.138304	0.0983754	0.0707701	0.072532	0.100048
a75	0.0446553	0.21476	0.201635	0.161865	0.117804	0.0866327	0.0747464	0.0979012
a90	0.0306257	0.182008	0.184603	0.157952	0.124193	0.108706	0.09892	0.112993
a66	0.0217822	0.136788	0.173296	0.169257	0.141022	0.128095	0.1098	0.119961
a53	0.0114801	0.0834446	0.122707	0.155371	0.132195	0.132789	0.146974	0.215039
a69	0.00740524	0.0577642	0.111762	0.156107	0.13164	0.146617	0.160882	0.227823
a90	0.00658811	0.0510902	0.123915	0.188056	0.162303	0.160881	0.148247	0.158919
a98	0.00403107	0.0344097	0.0971573	0.169254	0.15067	0.16981	0.171804	0.202863
a13	0.00802883	0.0485854	0.107454	0.177941	0.152239	0.151681	0.151839	0.202232
a38	0.00207505	0.0163941	0.040013	0.0840722	0.0805602	0.12495	0.203387	0.448548
a90	0.00171997	0.0122589	0.0280702	0.0578726	0.0612155	0.105709	0.213835	0.519319
a44	0.00325357	0.0194303	0.0511565	0.105569	0.10611	0.148287	0.222604	0.34359
a90	0.00153057	0.00940997	0.026369	0.0582726	0.066453	0.116082	0.261439	0.460444
a20	0.00352704	0.0186301	0.0507711	0.101355	0.105631	0.144825	0.23025	0.34501
a69	0.00274329	0.0150545	0.0404539	0.0799832	0.0803085	0.123294	0.241751	0.416411
a58	0.00141509	0.00907522	0.0201737	0.0390325	0.041811	0.0811853	0.244872	0.562435
a84	0.000631575	0.00272631	0.00773256	0.0157115	0.0210566	0.04952	0.253892	0.648729
a2	0.00271144	0.00621058	0.0120234	0.0203364	0.0271073	0.054249	0.271664	0.605698
a84	0.0227197	0.0314626	0.0388026	0.0524886	0.0589471	0.0874206	0.267307	0.440852
a82	0.0348356	0.0392241	0.0496289	0.0655614	0.0665454	0.0918676	0.266507	0.38583
a87	0.0322834	0.0407917	0.0611973	0.099049	0.0959053	0.118944	0.248967	0.302861
a23	0.0311129	0.0693964	0.126563	0.1607	0.12932	0.125644	0.174282	0.182984
a87	0.0257385	0.0531543	0.109596	0.134948	0.110267	0.114524	0.177982	0.27379
</S>	0.0167344	0.0476054	0.0895783	0.0925272	0.0720809	0.0830499	0.188815	0.409609
