 	je	n'	ai	jamais	foulé	le	sol	de	ngaé	</S>
a66	0.174582	0.139164	0.155347	0.196476	0.182411	0.0899356	0.0367482	0.0126673	0.0063202	0.00634977
a87	0.287695	0.188327	0.162709	0.124856	0.0778927	0.0529408	0.0340395	0.0199038	0.0212946	0.0303416
a23	0.35437	0.244574	0.152223	0.0650505	0.0346583	0.0211977	0.020847	0.0201735	0.0380028	0.0489038
a87	0.334442	0.255378	0.179365	0.0820319	0.0540755	0.0160308	0.0105054	0.0100618	0.0202045	0.0379052
a23	0.319574	0.249724	0.18089	0.0829796	0.0581238	0.0254859	0.0163334	0.0139524	0.0228017	0.0301359
a57	0.289155	0.2337	0.175908	0.0884103	0.0616593	0.0247605	0.0194802	0.01974	0.033768	0.0534178
a87	0.250643	0.227365	0.191291	0.113281	0.0770338	0.0317816	0.0223191	0.021364	0.0294211	0.0355017
a23	0.228259	0.203719	0.168174	0.117191	0.0914549	0.0491944	0.0313757	0.0292171	0.03844	0.0429747
a99	0.227465	0.20327	0.169838	0.111509	0.0885931	0.0440334	0.0327981	0.0301337	0.0417796	0.0505801
a50	0.208377	0.185185	0.152716	0.117071	0.109403	0.0557849	0.0421584	0.0367289	0.0452985	0.0472773
a62	0.267428	0.236772	0.182686	0.116019	0.078414	0.0323937	0.0207027	0.018906	0.0209646	0.0257127
a31	0.260782	0.241849	0.203242	0.129099	0.0847479	0.0331385	0.0165299	0.0109183	0.00784982	0.0118435
a0	0.19213	0.197053	0.199353	0.159828	0.117104	0.0540512	0.0266385	0.0181544	0.0140072	0.0216816
a75	0.166403	0.167167	0.172982	0.161368	0.134354	0.0654826	0.0334472	0.0250771	0.0296246	0.0440944
a15	0.0716301	0.0960454	0.133689	0.177767	0.19953	0.127589	0.0559897	0.0341486	0.0381568	0.0654536
a98	0.0831275	0.0961506	0.119877	0.177621	0.199575	0.122595	0.0470796	0.0317891	0.0434062	0.078779
a47	0.0584964	0.0685333	0.088255	0.146632	0.183128	0.14237	0.0603637	0.0479295	0.0733451	0.130948
a85	0.0432447	0.054637	0.0742284	0.128545	0.160135	0.123813	0.0611671	0.0641225	0.109195	0.180912
a6	0.0536802	0.0674801	0.0867805	0.141188	0.151484	0.12106	0.0713274	0.0662597	0.0877108	0.153029
a36	0.0269562	0.0379008	0.0637551	0.16178	0.2133	0.155847	0.07563	0.062757	0.0848448	0.117229
a85	0.0185864	0.0217742	0.0275306	0.0745531	0.148248	0.138562	0.0759147	0.0706916	0.172336	0.251802
a47	0.00974719	0.0109661	0.0147028	0.0488208	0.0913811	0.107529	0.106171	0.131875	0.182933	0.295873
a79	0.00827322	0.0088124	0.00976353	0.0243146	0.0446796	0.0606146	0.0688374	0.0945788	0.25224	0.427885
a15	0.00430107	0.00476784	0.00559551	0.0160925	0.0300408	0.0504728	0.0873098	0.145717	0.261725	0.393977
a79	0.00358354	0.00351467	0.00349255	0.0067227	0.00934889	0.0168851	0.0367849	0.10487	0.325521	0.489276
a75	0.00189782	0.00197223	0.00198735	0.00394215	0.00584868	0.0144234	0.0407086	0.125912	0.326518	0.47679
a21	0.000744946	0.000696941	0.000687198	0.00155797	0.0032465	0.0116271	0.0381046	0.139278	0.323686	0.480371
a5	0.00126727	0.000998909	0.000867235	0.0015842	0.0026485	0.00688844	0.0253056	0.102247	0.325164	0.533029
a75	0.00113238	0.000775993	0.000566818	0.00100999	0.00128412	0.00321594	0.0148814	0.0855573	0.337918	0.553658
a47	0.000485889	0.000316649	0.000225931	0.000415873	0.000737524	0.00276319	0.0170421	0.0956039	0.322384	0.560025
a36	0.00026647	0.000200809	0.000154151	0.000291532	0.000538588	0.00220899	0.0139799	0.0737436	0.317698	0.590918
a2	0.00313467	0.0024898	0.00181365	0.00203549	0.00165841	0.00423607	0.0163984	0.0724111	0.403986	0.491836
a57	0.0391392	0.0300574	0.0214393	0.0268598	0.0230842	0.0429077	0.0610446	0.111315	0.276344	0.367809
a87	0.14618	0.0811385	0.0478875	0.0505646	0.0471639	0.0494046	0.0544329	0.0828388	0.190049	0.250341
a23	0.155903	0.102332	0.0691919	0.0612832	0.0547307	0.0685849	0.0895572	0.0976692	0.135716	0.165033
a57	0.0428072	0.023354	0.0120503	0.00808772	0.00464841	0.00718791	0.0198415	0.0836186	0.302212	0.496193
</S>	0.0133899	0.00644113	0.00386409	0.00395132	0.00351067	0.00480851	0.0110006	0.0506134	0.285269	0.617152
