 	ces	chaussures-ci	sont	déjà	usées	</S>
a66	0.45862	0.287705	0.116113	0.075271	0.0380959	0.0241949
a87	0.502309	0.260723	0.108337	0.0697092	0.0323824	0.02654
a97	0.3341	0.323784	0.174134	0.0880394	0.0407579	0.0391843
a87	0.329724	0.333812	0.160465	0.0703368	0.0445843	0.0610778
a97	0.313105	0.298811	0.163952	0.0819133	0.058058	0.0841617
a87	0.286539	0.304045	0.183838	0.0960996	0.0582255	0.0712531
a97	0.282093	0.290162	0.182879	0.0997523	0.0638945	0.0812191
a99	0.311308	0.308148	0.164779	0.0954243	0.0554337	0.0649074
a38	0.43291	0.334341	0.110561	0.0560748	0.0299399	0.0361728
a12	0.441821	0.304785	0.0913905	0.0614591	0.045968	0.0545762
a62	0.406485	0.321606	0.139584	0.0679991	0.0351125	0.0292128
a21	0.32739	0.310614	0.188423	0.0978973	0.0450406	0.0306357
a12	0.28082	0.289722	0.223109	0.120175	0.0526573	0.033517
a98	0.254665	0.26142	0.232849	0.139378	0.0669426	0.0447453
a47	0.166976	0.202598	0.215027	0.184494	0.142381	0.0885234
a15	0.105357	0.165384	0.210065	0.179842	0.168984	0.170369
a7	0.0954827	0.144133	0.211683	0.196728	0.181216	0.170758
a93	0.0784327	0.128775	0.20196	0.217192	0.184486	0.189155
a96	0.0995085	0.140405	0.206499	0.218489	0.182911	0.152187
a12	0.0470759	0.0838515	0.184347	0.238749	0.230086	0.215891
a47	0.0175349	0.0363048	0.108786	0.199595	0.304507	0.333272
a96	0.0113052	0.0222039	0.0738238	0.161693	0.328486	0.402488
a0	0.00875404	0.014848	0.0405561	0.111353	0.330311	0.494178
a75	0.00464338	0.00629441	0.0138945	0.0474857	0.287349	0.640333
a25	0.00164905	0.00316993	0.00814451	0.0288907	0.229049	0.729096
a69	0.000980435	0.00121333	0.00286387	0.0133873	0.17489	0.806665
a15	0.000245965	0.00048539	0.0015291	0.00784316	0.146214	0.843683
a7	0.000151981	0.00028815	0.00115921	0.00785081	0.159222	0.831327
a84	0.000826524	0.000855055	0.00217946	0.0110692	0.157622	0.827448
a82	0.0335478	0.0347667	0.0541497	0.0953389	0.257186	0.52501
a97	0.101809	0.0716374	0.0639997	0.0913889	0.234817	0.436349
a87	0.118423	0.0931581	0.0851432	0.119796	0.246092	0.337388
a97	0.0727027	0.0703112	0.100542	0.17457	0.265099	0.316775
a87	0.0416325	0.0480567	0.0805394	0.141098	0.276273	0.412401
</S>	0.0411394	0.0488481	0.0865938	0.138167	0.262349	0.422903
