 	il	m'	a	catégoriquement	refusé	son	vélo	</S>
a66	0.407616	0.218588	0.121495	0.0622172	0.0433074	0.0540947	0.0454976	0.0471848
a87	0.355965	0.256186	0.154105	0.0661912	0.0368891	0.0389996	0.044611	0.0470527
a23	0.347818	0.340143	0.210028	0.0558914	0.0116066	0.0103733	0.0100607	0.01408
a87	0.275176	0.290345	0.217968	0.0765695	0.0382985	0.0348462	0.0301945	0.0366026
a23	0.320786	0.329122	0.199009	0.0477146	0.0238941	0.0261236	0.0245662	0.028785
a30	0.249397	0.239769	0.202785	0.0920618	0.0630903	0.0486899	0.0431638	0.0610438
a53	0.210569	0.227687	0.226971	0.105255	0.0668857	0.0497468	0.0446933	0.068192
a54	0.3153	0.253705	0.196027	0.119377	0.0620418	0.0219139	0.0164353	0.0151997
a5	0.236136	0.216616	0.206326	0.186203	0.0739583	0.0284142	0.0253852	0.0269615
a94	0.175971	0.21402	0.232695	0.219531	0.0778696	0.0323846	0.0238145	0.0237147
a56	0.157733	0.196806	0.219849	0.226871	0.086056	0.0440409	0.034534	0.0341096
a12	0.157557	0.178693	0.181598	0.220967	0.110872	0.0558662	0.0432674	0.0511788
a75	0.138132	0.146817	0.148516	0.188075	0.145289	0.0919201	0.0678491	0.0734011
a41	0.0385389	0.0500026	0.0639523	0.15852	0.225451	0.191027	0.141322	0.131186
a21	0.0464132	0.0594568	0.0730875	0.162742	0.210624	0.185308	0.135972	0.126396
a12	0.073703	0.0824874	0.0941822	0.139878	0.157627	0.173985	0.143383	0.134754
a96	0.0439196	0.0536919	0.0731433	0.109583	0.191478	0.216596	0.163906	0.147682
a62	0.0397907	0.0477487	0.0661874	0.10119	0.192196	0.230555	0.172567	0.149766
a47	0.0409522	0.0468237	0.0630666	0.085227	0.177057	0.248201	0.180323	0.15835
a75	0.0351757	0.0426674	0.0602737	0.087917	0.184305	0.263171	0.174665	0.151825
a25	0.00905585	0.0104688	0.0163954	0.0397161	0.0936247	0.236069	0.275482	0.319189
a79	0.00700029	0.00744882	0.0127726	0.0385335	0.101945	0.267375	0.280858	0.284066
a56	0.00707128	0.00754592	0.0135597	0.0373149	0.110721	0.283144	0.25105	0.289594
a44	0.00353883	0.00389421	0.008132	0.0254188	0.0863704	0.253233	0.272503	0.34691
a11	0.00230445	0.0027218	0.0059418	0.0195899	0.0723464	0.224374	0.272629	0.400093
a31	0.00442529	0.00513072	0.0103483	0.0250433	0.0549991	0.154201	0.243484	0.502368
a47	0.00247852	0.00288131	0.00468892	0.0107925	0.0289619	0.11562	0.238101	0.596476
a24	0.00195831	0.00231617	0.00455122	0.0116797	0.0310522	0.115145	0.24501	0.588288
a88	0.000922879	0.00111592	0.00249307	0.00800125	0.0209188	0.0751142	0.190273	0.701161
a0	0.00364787	0.00328414	0.00679788	0.0221906	0.0522507	0.118288	0.213923	0.579618
a24	0.0184735	0.0120492	0.0179604	0.048947	0.0770159	0.135279	0.202448	0.487827
a9	0.00202943	0.001846	0.00450957	0.0179717	0.0410657	0.0949976	0.179841	0.657739
a10	0.0293062	0.0192507	0.0294708	0.0622364	0.0821007	0.132841	0.19094	0.453854
a87	0.184939	0.109946	0.10556	0.102306	0.0774665	0.0964331	0.119141	0.204209
</S>	0.306628	0.202063	0.146822	0.0738536	0.0438623	0.0549417	0.0692254	0.102604
