 	ce	jeune	garçon	est	un	débile	</S>
a87	0.288403	0.211207	0.205486	0.148996	0.0688108	0.0561035	0.0209928
a23	0.367774	0.155476	0.108458	0.102042	0.0943555	0.0923165	0.0795778
a54	0.317691	0.261636	0.168777	0.0984702	0.0546301	0.0428258	0.0559691
a85	0.285114	0.197496	0.126522	0.107615	0.109497	0.113651	0.060104
a37	0.30957	0.296896	0.179984	0.109563	0.0666647	0.0246361	0.0126865
a47	0.27	0.296807	0.188877	0.116464	0.063169	0.0382785	0.026404
a70	0.287391	0.295652	0.214724	0.112823	0.0463309	0.025699	0.0173797
a98	0.269527	0.23054	0.226724	0.149009	0.0611798	0.0361772	0.0268432
a47	0.212504	0.241113	0.258731	0.151283	0.0685485	0.0347942	0.0330259
a73	0.210524	0.219905	0.238075	0.146143	0.0812396	0.0500045	0.0541082
a15	0.113948	0.134868	0.26371	0.229095	0.121521	0.0635911	0.0732673
a85	0.0972487	0.104147	0.190576	0.182542	0.146774	0.127503	0.151209
a36	0.0776044	0.0849442	0.137477	0.133367	0.141568	0.208971	0.216068
a21	0.100246	0.0907881	0.127034	0.125402	0.135824	0.208637	0.212069
a61	0.169493	0.131844	0.117486	0.102715	0.0997136	0.188596	0.190151
a88	0.0641812	0.0445781	0.050293	0.0740093	0.126669	0.309153	0.331116
a62	0.0270136	0.0196768	0.024402	0.0403966	0.0911067	0.323396	0.474009
a88	0.0160148	0.0116631	0.0158639	0.0293362	0.0797933	0.378712	0.468616
a66	0.00589814	0.0044531	0.00686298	0.0153736	0.0551687	0.366766	0.545478
a62	0.00234316	0.00198171	0.00386528	0.00948774	0.0322263	0.204849	0.745247
a47	0.00203644	0.0015383	0.00307377	0.00706699	0.0269577	0.205668	0.753658
a61	0.00466312	0.00404101	0.00784694	0.0189345	0.0610943	0.261705	0.641715
a36	0.00137293	0.00122455	0.00256708	0.00698609	0.031638	0.228693	0.727518
a26	0.0017674	0.00138112	0.00271578	0.00684696	0.0269952	0.194794	0.765499
a57	0.0310562	0.0164528	0.0243693	0.0476036	0.101455	0.252533	0.526531
a87	0.0575887	0.0355263	0.0366656	0.0548646	0.0983471	0.221047	0.49596
a10	0.134686	0.0749628	0.0608334	0.0675596	0.100548	0.215277	0.346133
a38	0.0639311	0.0381041	0.0335604	0.0431985	0.0866095	0.2474	0.487196
a10	0.0266786	0.0155108	0.0223255	0.0351593	0.0698524	0.168298	0.662176
</S>	0.0436976	0.026691	0.0281364	0.0319102	0.0578851	0.132595	0.679085
