 	elenga	appuyait	sur	l'	abcès	pour	le	crever	</S>
a23	0.130306	0.114997	0.162366	0.176674	0.155171	0.119941	0.0758384	0.0357897	0.0289169
a62	0.279636	0.100074	0.11406	0.116622	0.134752	0.12237	0.074697	0.0351174	0.0226714
a31	0.371725	0.0993541	0.125001	0.111132	0.0878348	0.0748857	0.0613293	0.042596	0.0261429
a47	0.557262	0.125307	0.1154	0.0792537	0.0511695	0.0290826	0.0185834	0.0131486	0.0107939
a75	0.679389	0.121638	0.0712156	0.0454125	0.0299249	0.0187676	0.014058	0.0116029	0.0079915
a5	0.688814	0.120869	0.0642463	0.0421705	0.0272383	0.0186695	0.0147327	0.0123687	0.0108917
a18	0.59145	0.16053	0.0806006	0.0514164	0.0315966	0.0240072	0.0230383	0.0197334	0.0176271
a21	0.327824	0.22607	0.132405	0.0870755	0.0570382	0.0406669	0.0405894	0.0431207	0.0452099
a61	0.413385	0.287165	0.125514	0.0680229	0.0388045	0.0241464	0.0182962	0.0131517	0.0115132
a21	0.210661	0.337903	0.179289	0.108943	0.0589678	0.0356026	0.0253126	0.0203646	0.0229568
a85	0.215372	0.324535	0.183968	0.117871	0.0664806	0.0368052	0.0219569	0.0148941	0.0181168
a5	0.0668183	0.233765	0.236179	0.189386	0.107475	0.0618989	0.0375285	0.0258889	0.04106
a18	0.0837178	0.214284	0.221168	0.182884	0.116693	0.0630319	0.0383603	0.0302242	0.0496375
a61	0.0515499	0.156585	0.181307	0.16502	0.138413	0.0866666	0.062639	0.0620973	0.0957221
a31	0.0465387	0.145379	0.178742	0.188007	0.163694	0.0972003	0.0615992	0.0503782	0.0684606
a24	0.0457152	0.121694	0.168923	0.195403	0.181545	0.112485	0.0672382	0.0453951	0.0616017
a9	0.0415684	0.11295	0.153984	0.15454	0.138515	0.0986105	0.0793901	0.0785386	0.141904
a24	0.0399211	0.115029	0.110626	0.104776	0.101285	0.0782254	0.108248	0.135694	0.206195
a62	0.0304557	0.0763381	0.0908016	0.106646	0.114498	0.0962375	0.122507	0.132878	0.229639
a21	0.0141828	0.059737	0.0969986	0.125292	0.141862	0.121263	0.133284	0.126315	0.181066
a41	0.0219076	0.0591437	0.0885798	0.119522	0.140349	0.145049	0.159351	0.123353	0.142745
a27	0.0123572	0.0295398	0.0653581	0.0948239	0.102186	0.11482	0.13559	0.143987	0.301338
a57	0.00849731	0.0291967	0.0452114	0.0601498	0.0679234	0.0717308	0.139024	0.207874	0.370393
a87	0.0165079	0.0392792	0.0518388	0.0677707	0.0840296	0.0894451	0.152253	0.190776	0.308099
a23	0.0250759	0.055146	0.0715182	0.0874248	0.1188	0.131053	0.168234	0.153467	0.189282
a54	0.00932131	0.0192909	0.0651145	0.0853118	0.117295	0.125542	0.157638	0.158769	0.261718
a6	0.00765197	0.0220668	0.0425323	0.0559277	0.0644008	0.0833341	0.140201	0.216554	0.367331
a5	0.00309165	0.00774925	0.0253327	0.0405236	0.0510961	0.0754377	0.160036	0.28036	0.356373
a18	0.00323412	0.00577223	0.0165494	0.0299731	0.0454316	0.0744973	0.164361	0.290354	0.369828
a31	0.00201226	0.0066376	0.0136995	0.0234486	0.0420782	0.0597692	0.118678	0.257128	0.476549
a62	0.00246088	0.00940844	0.0174275	0.0294639	0.0484642	0.0646263	0.129836	0.262782	0.43553
a83	0.00251665	0.0106243	0.0191585	0.0317153	0.0515326	0.0712189	0.140504	0.273661	0.399069
a9	0.00126062	0.00802149	0.0177772	0.0285903	0.039619	0.0481006	0.0939552	0.223584	0.539091
a11	0.00198985	0.00709048	0.0125387	0.0189898	0.0313701	0.0409954	0.0991309	0.249222	0.538673
a70	0.000741361	0.00386893	0.00769741	0.0120025	0.0184373	0.0251515	0.0625199	0.228287	0.641294
a93	0.000722745	0.00380998	0.0107316	0.0169692	0.0223868	0.026269	0.0584799	0.185652	0.674978
a34	0.000313498	0.00183579	0.00423	0.00643117	0.00930339	0.0132607	0.0358493	0.159972	0.768805
a56	0.000718143	0.00335683	0.00876577	0.0140313	0.0196091	0.024996	0.0523605	0.152148	0.724014
a26	0.000626543	0.0030162	0.00977156	0.0169491	0.0234409	0.0303045	0.0617156	0.173195	0.680981
a57	0.000754308	0.00276334	0.00830101	0.0132286	0.0181624	0.0215937	0.0520282	0.188739	0.694429
a87	0.00949716	0.0212361	0.0494425	0.0612136	0.0759698	0.0786618	0.113507	0.183327	0.407145
a10	0.0239513	0.0420749	0.0627661	0.0662019	0.098034	0.115806	0.143231	0.16751	0.280424
a87	0.0533029	0.0495634	0.0686717	0.0758384	0.110588	0.118402	0.123532	0.144466	0.255636
a23	0.0574939	0.0612243	0.0782913	0.0807955	0.11674	0.118215	0.121701	0.136815	0.228725
a87	0.0132383	0.0245419	0.0583379	0.0685756	0.112874	0.118602	0.116645	0.1654	0.321785
a23	0.0106151	0.0190324	0.0667295	0.0873812	0.108577	0.0992765	0.0932943	0.145024	0.37007
a87	0.0134915	0.0196392	0.0636461	0.0793835	0.117828	0.112867	0.101229	0.14795	0.343965
</S>	0.0101366	0.0150097	0.0644937	0.0809444	0.101007	0.097595	0.0960732	0.159577	0.375163
