 	mon	bras	droit	s'	est	cassé	</S>
a66	0.405852	0.33681	0.158305	0.0449587	0.0265849	0.0158937	0.0115963
a87	0.365326	0.165997	0.102319	0.109814	0.0935579	0.0821574	0.0808281
a23	0.397689	0.21949	0.170657	0.0661678	0.0474644	0.0404885	0.0580431
a99	0.372167	0.209287	0.221474	0.0739513	0.0483669	0.0335757	0.0411777
a83	0.376766	0.226342	0.176031	0.0626059	0.0544235	0.046287	0.0575441
a5	0.374711	0.235575	0.148049	0.0670965	0.0692141	0.0534591	0.0518947
a37	0.320625	0.206394	0.162406	0.094911	0.0939185	0.0640543	0.057692
a90	0.223928	0.152064	0.174085	0.126118	0.133333	0.100366	0.0901062
a15	0.171773	0.181619	0.253936	0.122451	0.0985746	0.0852427	0.0864051
a92	0.101577	0.144524	0.210949	0.139803	0.118463	0.134056	0.150628
a21	0.168644	0.172134	0.220527	0.133767	0.098872	0.102335	0.103722
a12	0.151783	0.177764	0.233966	0.157094	0.101309	0.0897482	0.0883353
a47	0.113666	0.168582	0.245752	0.172845	0.110047	0.0944364	0.0946716
a75	0.0700082	0.120279	0.229051	0.201731	0.130719	0.119784	0.128427
a56	0.0276898	0.0513854	0.127287	0.194148	0.175392	0.201106	0.222992
a96	0.0300385	0.0536066	0.143136	0.232217	0.188373	0.172559	0.18007
a47	0.0170799	0.026412	0.086175	0.19994	0.207946	0.223155	0.239291
a62	0.0118792	0.0189539	0.0650775	0.156784	0.189273	0.253404	0.304628
a88	0.00623483	0.00731499	0.0212726	0.0949851	0.169167	0.30691	0.394116
a94	0.00439454	0.00527502	0.0130289	0.0684016	0.140866	0.299235	0.468799
a56	0.0030527	0.0035312	0.00664975	0.0376908	0.103008	0.273549	0.572519
a34	0.00191901	0.00232796	0.00509229	0.0309251	0.0854141	0.271595	0.602727
a37	0.00108982	0.00143296	0.00330539	0.0238359	0.0746643	0.259612	0.63606
a26	0.00107623	0.00140358	0.00297081	0.0223043	0.0822693	0.27816	0.611816
a82	0.0159495	0.0129843	0.0185727	0.0667099	0.141822	0.291818	0.452144
a97	0.137399	0.0873075	0.0795502	0.111007	0.138578	0.183863	0.262295
a87	0.171348	0.13321	0.11759	0.122836	0.14236	0.14785	0.164807
a23	0.121615	0.0990864	0.109249	0.157895	0.168578	0.16827	0.175306
a99	0.02479	0.0137834	0.0144428	0.0618307	0.1303	0.257461	0.497393
a97	0.0186739	0.0127675	0.024666	0.0836218	0.150179	0.251809	0.458282
</S>	0.0148549	0.0159099	0.0348933	0.0649075	0.111684	0.238755	0.518995
