 	les	femmes	sont	en	train	de	vider	la	deuxième	partie	de	l'	étang	</S>
a15	0.146934	0.158562	0.137738	0.151493	0.144255	0.111355	0.0708433	0.0318691	0.0137587	0.00800767	0.00767163	0.00633759	0.00572256	0.00545315
a66	0.317357	0.208371	0.145729	0.131023	0.0851155	0.0450919	0.0132599	0.00690418	0.00485146	0.0037464	0.00661913	0.00893049	0.0110182	0.011983
a87	0.27886	0.161121	0.126944	0.139175	0.112644	0.0669646	0.0314933	0.016281	0.0102446	0.00864407	0.00795878	0.00925678	0.0128891	0.017524
a23	0.196543	0.167795	0.150991	0.174521	0.155526	0.0783439	0.0299941	0.0111266	0.00603582	0.00543105	0.00491208	0.00471899	0.00597806	0.00808412
a40	0.179823	0.130062	0.113317	0.118022	0.0812521	0.0315634	0.017192	0.0160002	0.0259101	0.0366005	0.0478881	0.0563023	0.0694383	0.0766294
a36	0.148657	0.117985	0.122148	0.128342	0.126413	0.105114	0.0602931	0.0506311	0.0346435	0.0235835	0.0236306	0.022654	0.0193412	0.0165626
a37	0.192666	0.151531	0.159855	0.145297	0.112397	0.0869673	0.0365867	0.0282759	0.0267852	0.00896835	0.0125765	0.0143165	0.0129233	0.0108549
a61	0.178874	0.113682	0.13599	0.120148	0.102747	0.0946336	0.0663374	0.0614075	0.0483468	0.0176651	0.0191172	0.0170536	0.0136204	0.0103772
a37	0.142986	0.106621	0.123773	0.106158	0.0948071	0.0965603	0.0854506	0.0902548	0.0603517	0.0297073	0.0218832	0.0161932	0.0135831	0.0116701
a85	0.0952601	0.0875545	0.108733	0.0921525	0.0841694	0.0891509	0.102439	0.109842	0.0795747	0.0488233	0.0338849	0.0255541	0.0220535	0.0208076
a6	0.0496267	0.0512952	0.0623128	0.0508234	0.0469932	0.0553558	0.0669689	0.150962	0.148603	0.101239	0.0697721	0.0526167	0.0458085	0.0476229
a37	0.0763216	0.0796779	0.085363	0.0700453	0.0665118	0.0808309	0.0886108	0.110139	0.100287	0.0741889	0.0506969	0.0417037	0.0366751	0.0389482
a26	0.0563663	0.0656516	0.0760973	0.0614775	0.0615306	0.100955	0.155876	0.135099	0.085938	0.0685011	0.0384634	0.0310654	0.0294974	0.0334817
a98	0.0273711	0.0299465	0.0334047	0.0342045	0.0407401	0.0708961	0.119357	0.152408	0.122566	0.11921	0.0708191	0.0558386	0.05589	0.0673483
a85	0.00883764	0.00936278	0.0102305	0.00850431	0.0104071	0.0229927	0.0513122	0.116142	0.21902	0.153061	0.108542	0.0943868	0.0851071	0.102094
a47	0.00472471	0.00650148	0.00709451	0.00629491	0.00783943	0.0183185	0.0553853	0.127346	0.219739	0.181265	0.112978	0.0853723	0.0767006	0.0904407
a36	0.00248333	0.0034724	0.00335309	0.00299099	0.00365014	0.00835844	0.0265548	0.0698744	0.208563	0.153522	0.131972	0.121234	0.118667	0.145305
a90	0.00309329	0.003125	0.00282264	0.00266267	0.00322915	0.00460436	0.00963957	0.0295317	0.158234	0.154815	0.11664	0.119795	0.152761	0.239047
a15	0.00178544	0.00194087	0.00175935	0.0016215	0.0020707	0.00371901	0.0114527	0.0420368	0.164944	0.19659	0.140183	0.118585	0.135842	0.177468
