 	l'	eau	est	bouillante	</S>
a23	0.631007	0.175555	0.106282	0.0472414	0.0399153
a87	0.42944	0.258236	0.205823	0.0657276	0.0407738
a23	0.381361	0.294226	0.235006	0.065111	0.0242954
a38	0.391634	0.244572	0.228841	0.0908147	0.0441389
a30	0.472489	0.240821	0.167798	0.089679	0.0292125
a2	0.306454	0.304823	0.234572	0.123658	0.0304928
a26	0.250633	0.285548	0.225014	0.175787	0.0630177
a35	0.303729	0.282046	0.200726	0.164788	0.0487109
a14	0.286532	0.274069	0.201807	0.175587	0.0620053
a35	0.243062	0.224542	0.18626	0.232043	0.114093
a24	0.151413	0.181528	0.191464	0.307208	0.168386
a41	0.133088	0.159539	0.162918	0.277657	0.266798
a14	0.0426673	0.0613149	0.0879315	0.333606	0.474481
a30	0.018864	0.0240676	0.0468734	0.281646	0.628549
a2	0.0179259	0.0236627	0.052641	0.188023	0.717747
a57	0.0175324	0.0201659	0.0413226	0.115579	0.8054
a87	0.0354325	0.0375159	0.0679026	0.0983923	0.760757
</S>	0.0313086	0.0599848	0.140172	0.240022	0.528513
