 	ses	enfants	ont	bu	courage	</S>
a99	0.330704	0.148926	0.102845	0.082189	0.167098	0.168238
a38	0.284999	0.111918	0.104632	0.127659	0.167873	0.202918
a14	0.350146	0.182387	0.125912	0.0967227	0.113301	0.13153
a35	0.591259	0.229425	0.08768	0.0396246	0.0302017	0.0218105
a98	0.55739	0.260345	0.101351	0.0395458	0.0238538	0.0175141
a14	0.370298	0.261083	0.164846	0.0926899	0.064622	0.0464613
a73	0.365607	0.308082	0.180687	0.0756977	0.0418732	0.0280531
a76	0.28372	0.258523	0.176584	0.100817	0.095846	0.0845104
a73	0.271005	0.235906	0.192586	0.130876	0.099191	0.0704361
a44	0.207405	0.20795	0.202021	0.162382	0.123637	0.0966054
a38	0.163454	0.18082	0.209122	0.195215	0.142008	0.109381
a24	0.0762212	0.0961601	0.158219	0.238261	0.225128	0.20601
a35	0.0605447	0.0851768	0.148714	0.249413	0.239008	0.217144
a76	0.0505106	0.0690017	0.114776	0.228256	0.27415	0.263305
a90	0.0553816	0.0680743	0.0978472	0.168704	0.274823	0.33517
a35	0.0511202	0.057368	0.0736154	0.128383	0.275939	0.413574
a98	0.0345181	0.0392138	0.0584017	0.116221	0.275422	0.476223
a41	0.0133576	0.0150763	0.0283093	0.0847151	0.282053	0.576488
a94	0.0121693	0.0130471	0.0256572	0.0838709	0.296136	0.56912
a75	0.0105265	0.0109604	0.0186232	0.0654571	0.243948	0.650485
a73	0.0205212	0.0165137	0.0237061	0.0651125	0.235586	0.63856
a57	0.0131012	0.0120287	0.026245	0.0745375	0.244165	0.629922
a87	0.00508001	0.00415259	0.00993036	0.0452125	0.221569	0.714055
</S>	0.0134985	0.0137311	0.0318823	0.0806846	0.234712	0.625492
