 	dieu	est	le	créateur	de	ces	étoiles	qui	luisent	</S>
a66	0.26482	0.178769	0.142991	0.117501	0.0976441	0.085327	0.0706764	0.0209968	0.0113078	0.00996667
a87	0.445367	0.265361	0.11504	0.0552671	0.0285526	0.0280219	0.0231871	0.0144592	0.0111254	0.0136194
a23	0.372159	0.194604	0.131999	0.0855264	0.049745	0.051903	0.0441447	0.0240748	0.0170745	0.0287701
a99	0.300761	0.164532	0.122367	0.0834458	0.0486764	0.0633445	0.0599103	0.0519593	0.041826	0.0631782
a18	0.222923	0.138834	0.10467	0.0798589	0.0559058	0.0625589	0.0642966	0.0871485	0.0765701	0.107234
a75	0.32438	0.225021	0.159568	0.0939914	0.0444224	0.0381329	0.0348241	0.0306704	0.0237787	0.0252122
a6	0.309417	0.236355	0.149443	0.10496	0.0547911	0.0443118	0.0369623	0.024323	0.0210285	0.018408
a92	0.180808	0.174261	0.133709	0.130832	0.0941617	0.0826152	0.0720058	0.0500858	0.0460334	0.035488
a37	0.158154	0.188399	0.155649	0.142513	0.095809	0.0772635	0.0625563	0.0361748	0.0406744	0.0428075
a75	0.11911	0.136856	0.145203	0.173838	0.131853	0.0988234	0.0772392	0.043491	0.0343314	0.0392553
a92	0.103056	0.133343	0.138296	0.155299	0.127342	0.105517	0.0860091	0.0551228	0.0445581	0.0514568
a75	0.066728	0.099672	0.133352	0.165706	0.144461	0.122674	0.0999399	0.0635992	0.0487465	0.0551203
a21	0.0425818	0.0669372	0.103976	0.143154	0.149604	0.139136	0.108274	0.0845175	0.084121	0.0776982
a85	0.057371	0.0814951	0.119189	0.127185	0.132436	0.114755	0.106603	0.0849509	0.0806288	0.0953858
a47	0.0119205	0.0214802	0.0423823	0.0637535	0.0905811	0.102413	0.0941645	0.119556	0.194947	0.258801
a7	0.0150104	0.0223761	0.0488888	0.0909554	0.136005	0.148666	0.122561	0.0950184	0.132804	0.187715
a79	0.0118725	0.013743	0.0273174	0.0649911	0.144673	0.178404	0.175461	0.122578	0.107131	0.153828
a44	0.0100362	0.0108991	0.0173944	0.0363964	0.0866869	0.11907	0.130866	0.137829	0.17597	0.274852
a90	0.00533499	0.00472964	0.00690253	0.0125396	0.037724	0.066575	0.103256	0.145502	0.209131	0.408306
a15	0.00234444	0.00224863	0.00315927	0.00627473	0.0225788	0.0468857	0.0752145	0.152358	0.230767	0.458169
a79	0.00121308	0.00113833	0.00151163	0.00285595	0.00863117	0.018259	0.0290762	0.0987589	0.229013	0.609542
a56	0.00140307	0.00107619	0.00119025	0.00195457	0.00588484	0.0136975	0.0280245	0.112045	0.247973	0.586752
a21	0.00086479	0.00067157	0.00078338	0.00122398	0.00417987	0.0101319	0.022611	0.0954234	0.252427	0.611683
a47	0.000515412	0.000428528	0.00050398	0.000692559	0.00205318	0.00478834	0.0117952	0.0597156	0.240665	0.678842
a62	0.00113145	0.000906298	0.00105231	0.00143262	0.00398547	0.00776089	0.0170434	0.0779685	0.245098	0.643621
a47	0.0010725	0.00106504	0.00125984	0.00169156	0.00455429	0.0086982	0.018953	0.0806887	0.257811	0.624206
a96	0.00211911	0.0018508	0.00205102	0.00268597	0.00623169	0.0104012	0.0228704	0.113108	0.289999	0.548683
a98	0.000509878	0.000478414	0.000564872	0.000781669	0.00234482	0.00471375	0.0106666	0.0587222	0.22729	0.693928
a85	6.21921e-05	5.93574e-05	8.40457e-05	0.000166277	0.000596077	0.00145233	0.00326517	0.0294303	0.184075	0.780809
a6	6.26109e-05	6.54594e-05	9.80933e-05	0.00022899	0.000866294	0.00208272	0.00429526	0.0346274	0.203629	0.754044
a36	0.000145358	0.000127547	0.000163047	0.00032296	0.00113674	0.00269279	0.00622765	0.0420603	0.200931	0.746193
a18	0.000587497	0.000483167	0.000435026	0.000695381	0.00171208	0.00312687	0.0061227	0.047125	0.24181	0.697902
a66	0.00450309	0.0040723	0.00287165	0.00395301	0.00780534	0.0120845	0.0177622	0.0792695	0.281519	0.586159
a82	0.0203892	0.0169644	0.0109066	0.0144009	0.0232509	0.0300955	0.0378905	0.10881	0.272843	0.464448
a3	0.0815326	0.0438922	0.0243778	0.0293032	0.0396114	0.0437812	0.0473169	0.0916167	0.219076	0.379492
a87	0.196936	0.0937479	0.0475933	0.0446832	0.0414434	0.0454828	0.043032	0.0595634	0.164455	0.263063
</S>	0.149667	0.0905257	0.0613302	0.0601979	0.0599068	0.0686334	0.0684388	0.0723309	0.145397	0.223573
