 	il	joue	auprès	de	sa	maman	</S>
a23	0.370977	0.138622	0.0957449	0.109819	0.112579	0.0904389	0.0818192
a79	0.332554	0.148761	0.13217	0.119667	0.102559	0.0872531	0.0770363
a20	0.462987	0.187403	0.104865	0.0810699	0.0589189	0.0455957	0.0591612
a44	0.559151	0.298193	0.0739483	0.0349052	0.0159461	0.00888121	0.00897501
a98	0.461252	0.343773	0.0990645	0.0411077	0.0219226	0.0167573	0.0161229
a73	0.25937	0.26195	0.188711	0.114515	0.0678808	0.0550347	0.0525391
a32	0.300418	0.278083	0.164161	0.0961819	0.0593234	0.0512083	0.0506247
a54	0.282287	0.259035	0.172171	0.105238	0.0668567	0.0586088	0.0558033
a73	0.221325	0.187513	0.159012	0.130621	0.105345	0.0992651	0.096919
a94	0.227585	0.205611	0.155043	0.119909	0.0997438	0.0918934	0.100215
a54	0.171496	0.141995	0.139277	0.130225	0.126121	0.134894	0.155992
a73	0.121786	0.09813	0.10989	0.114478	0.13327	0.176089	0.246356
a94	0.106809	0.0952096	0.116355	0.123254	0.140449	0.171297	0.246627
a76	0.10449	0.0861396	0.0968519	0.109821	0.138442	0.18206	0.282196
a69	0.0603424	0.0588111	0.0739201	0.104489	0.153595	0.218879	0.329964
a58	0.0450307	0.0431412	0.058569	0.100945	0.181727	0.242427	0.328161
a25	0.0247051	0.0219287	0.0365426	0.0731031	0.16507	0.27667	0.40198
a56	0.0160851	0.0145923	0.0238305	0.0474576	0.126123	0.268581	0.50333
a98	0.0184473	0.0158939	0.0207456	0.0429663	0.104376	0.263135	0.534437
a73	0.0179956	0.0158657	0.0197036	0.0416859	0.108507	0.277005	0.519238
a94	0.0137763	0.0131571	0.0160886	0.033766	0.0913533	0.269931	0.561928
a13	0.0105876	0.00847465	0.0112706	0.0245144	0.0665423	0.238436	0.640175
a53	0.0115967	0.0084291	0.009238	0.0228709	0.0638006	0.252659	0.631406
a4	0.0127275	0.00798651	0.00839504	0.0219007	0.0608469	0.255733	0.632411
a57	0.00995512	0.00635181	0.00652716	0.0178138	0.0522259	0.240212	0.666914
a82	0.0107823	0.00678636	0.00616663	0.0187941	0.057058	0.256136	0.644276
a87	0.00412752	0.0034551	0.00436306	0.0173507	0.0536972	0.242225	0.674782
</S>	0.00830621	0.00824126	0.00661691	0.0291216	0.0851045	0.2893	0.57331
