 	cet	enfant	ne	peut	plus	jouer	au	ballon	parce	qu'	il	souffre	d'	hémiplégie	</S>
a66	0.137567	0.115086	0.104334	0.08063	0.0786371	0.0807059	0.0756435	0.102036	0.0756873	0.0715419	0.0374832	0.020505	0.00846913	0.00672188	0.00495151
a87	0.361139	0.139406	0.071794	0.036389	0.0260391	0.0332151	0.0369734	0.0394398	0.034064	0.0388473	0.0398368	0.0361512	0.0297635	0.0336061	0.0433357
a23	0.348675	0.154111	0.0942951	0.0654415	0.047155	0.0535265	0.0404415	0.0427989	0.0279724	0.025376	0.0195223	0.017914	0.0112282	0.0166902	0.034852
a99	0.315091	0.140561	0.0996327	0.0702328	0.0512337	0.0613114	0.0503965	0.0556203	0.0378458	0.0350733	0.0271737	0.0171406	0.00969956	0.0112088	0.0177782
a97	0.239932	0.12778	0.108025	0.0827072	0.0630252	0.0623891	0.0555789	0.0573116	0.0447144	0.0441411	0.0410019	0.02285	0.0140715	0.0149581	0.0215143
a87	0.216902	0.114894	0.0952176	0.0779966	0.0700215	0.0679962	0.0622784	0.0637516	0.0516014	0.0538756	0.0511034	0.0295227	0.0158139	0.0149304	0.0140941
a23	0.250316	0.129521	0.0957615	0.0634724	0.0538276	0.0564348	0.0526072	0.0516765	0.0441546	0.0456918	0.0466899	0.036625	0.0239664	0.0246332	0.0246215
a83	0.196284	0.107733	0.0940927	0.0716478	0.0592128	0.0509752	0.0496178	0.0428069	0.045783	0.0469767	0.0584731	0.0492092	0.0425793	0.0393983	0.04521
a90	0.224063	0.184723	0.157749	0.0949818	0.0703483	0.0441245	0.0342344	0.0273797	0.0202712	0.019292	0.0230982	0.0249981	0.0218521	0.0229813	0.0299037
a15	0.19872	0.164536	0.146396	0.110313	0.0900251	0.0646693	0.0425398	0.0368044	0.0220492	0.0158253	0.0145269	0.0206851	0.0227418	0.0238088	0.0263584
a47	0.077232	0.0822581	0.104448	0.122715	0.120277	0.105858	0.0763872	0.0684928	0.0412478	0.0278495	0.0242972	0.0325092	0.0412185	0.0386779	0.0365318
a92	0.0655566	0.0812756	0.104627	0.118205	0.117581	0.0972833	0.0688858	0.0572129	0.0354817	0.0247344	0.0228308	0.0294702	0.0500681	0.052831	0.0739569
a79	0.0874701	0.0994077	0.126125	0.119712	0.109134	0.0929041	0.0693765	0.0660768	0.0442198	0.0317196	0.0241425	0.0297985	0.0344573	0.0293496	0.0361063
a20	0.0491333	0.072868	0.104763	0.111999	0.108559	0.0953076	0.0816375	0.0806059	0.062854	0.048873	0.0361277	0.0417279	0.0395209	0.03116	0.034864
a47	0.0234434	0.048253	0.0780608	0.103503	0.108742	0.0932853	0.0908736	0.0811838	0.0693725	0.0552556	0.0434365	0.0474411	0.0548679	0.0457138	0.0565682
a85	0.0237656	0.0408556	0.0681579	0.104417	0.120224	0.109409	0.0966632	0.0873443	0.0682452	0.0520354	0.038218	0.0395439	0.0466652	0.0433664	0.0610882
a92	0.0175244	0.0328424	0.0543986	0.0798866	0.0934495	0.101034	0.0973635	0.0814947	0.0672728	0.0538838	0.0466857	0.0587114	0.0662776	0.0645031	0.0846717
a37	0.018819	0.0356526	0.0620901	0.0962827	0.104808	0.10316	0.093085	0.0860204	0.0759879	0.0661006	0.0549634	0.0574345	0.0531391	0.0442577	0.0481985
a11	0.0159156	0.0299351	0.0571178	0.112734	0.130888	0.139534	0.118564	0.104523	0.0798967	0.061984	0.0413935	0.030169	0.0260671	0.0214549	0.0298236
a62	0.00746663	0.012467	0.0240462	0.0727256	0.112643	0.162955	0.152826	0.128428	0.0988018	0.0711765	0.043537	0.0250775	0.0267908	0.0245009	0.0365575
a93	0.00615171	0.00918043	0.0155317	0.0482215	0.0911735	0.161899	0.170993	0.153779	0.122	0.0875548	0.0468567	0.0215952	0.0194891	0.0181568	0.0274171
a56	0.00368349	0.00564506	0.00982025	0.0323347	0.0672613	0.11996	0.138765	0.117551	0.116263	0.0959274	0.0722325	0.0437853	0.05402	0.0478371	0.0749138
a25	0.00337403	0.00522031	0.00848825	0.0248468	0.0515155	0.104132	0.132905	0.117039	0.122648	0.103436	0.0831795	0.0547296	0.0639539	0.0506434	0.0738877
a44	0.00214406	0.00305764	0.00470662	0.0142846	0.0335688	0.0704468	0.111281	0.0930096	0.106654	0.0920198	0.0852053	0.0567712	0.0937897	0.0809821	0.152078
a21	0.00342074	0.0040342	0.00507351	0.0115151	0.024648	0.0638085	0.119806	0.106603	0.129086	0.12573	0.126295	0.056569	0.0686769	0.0513358	0.103398
a5	0.00375395	0.0042889	0.00526595	0.0115488	0.0248625	0.0618448	0.104482	0.0915584	0.106125	0.0998966	0.102667	0.0583921	0.0849015	0.0694364	0.170976
a23	0.0025768	0.00355341	0.00451107	0.0101206	0.0208766	0.0464621	0.0784229	0.0678512	0.0875252	0.0881156	0.107405	0.0747182	0.118443	0.0942263	0.195192
a75	0.00199941	0.00271184	0.00327778	0.00738497	0.0158862	0.0355783	0.0670445	0.057961	0.0812202	0.0781523	0.0953785	0.0691206	0.124732	0.105474	0.254078
