 	je	voudrais	parler	au	chef	</S>
a85	0.567209	0.158498	0.100739	0.0731778	0.0587345	0.0416418
a66	0.66805	0.14915	0.090266	0.0476949	0.0288714	0.0159678
a87	0.517756	0.210234	0.0758352	0.0428898	0.0607543	0.0925307
a23	0.537225	0.246281	0.0930753	0.0434731	0.0384708	0.0414746
a83	0.493143	0.345031	0.099075	0.0306408	0.0185937	0.0135164
a54	0.304567	0.288971	0.1574	0.0993093	0.0826232	0.0671297
a5	0.235513	0.375093	0.206514	0.0834945	0.0553447	0.04404
a21	0.130359	0.403861	0.320057	0.0800458	0.0386942	0.0269824
a61	0.204841	0.418044	0.265567	0.0613122	0.0306861	0.0195487
a75	0.191444	0.327686	0.255333	0.0955338	0.0757098	0.0542937
a25	0.155522	0.23335	0.231856	0.158329	0.131104	0.0898391
a56	0.0344751	0.0428892	0.11181	0.270522	0.329956	0.210348
a25	0.0231524	0.0204206	0.0546036	0.185917	0.360539	0.355367
a56	0.00383284	0.00283095	0.0127846	0.105128	0.382031	0.493393
a93	0.0021565	0.00230849	0.00885287	0.0801117	0.339649	0.566922
a4	0.00196693	0.00225579	0.00870261	0.0541907	0.25535	0.677534
a13	0.0010768	0.00163187	0.00490424	0.0372413	0.238705	0.716441
a38	0.000825306	0.00160461	0.00802709	0.0480114	0.2314	0.710131
a9	0.000993242	0.00209555	0.0137184	0.0782478	0.304933	0.600012
a10	0.103353	0.0476341	0.0582281	0.126018	0.253677	0.411091
a87	0.376767	0.191513	0.0917914	0.082238	0.112718	0.144972
a23	0.371451	0.203932	0.0897716	0.0743552	0.109465	0.151025
a87	0.0501838	0.0331832	0.0257318	0.047996	0.209719	0.633187
a97	0.0137809	0.0107288	0.0137213	0.0553649	0.244917	0.661487
</S>	0.0712322	0.0736626	0.0664037	0.0947487	0.223042	0.470911
