 	ce	homme	a	fait	couler	la	pirogue	de	mon	oncle	</S>
a66	0.213825	0.163528	0.136108	0.0915768	0.0749435	0.0872172	0.0840778	0.0561864	0.0420891	0.0272575	0.0231914
a87	0.086798	0.0671337	0.0693825	0.104513	0.160886	0.150776	0.104519	0.0780684	0.0734203	0.0554626	0.0490402
a23	0.319182	0.215635	0.148589	0.0978377	0.0530972	0.0292281	0.0260396	0.0226381	0.0266382	0.028835	0.0322793
a83	0.258805	0.213845	0.16495	0.12117	0.0501193	0.02369	0.0229733	0.0292319	0.0419401	0.0349398	0.0383355
a75	0.194962	0.147579	0.143896	0.120023	0.0721747	0.041811	0.0343135	0.0432206	0.0599831	0.05949	0.0825461
a47	0.165403	0.14228	0.149697	0.138466	0.103282	0.0623997	0.0509873	0.0463749	0.0507546	0.0375738	0.0527824
a6	0.0956322	0.101885	0.15034	0.182149	0.135641	0.0805032	0.0671724	0.0560711	0.0514862	0.0315548	0.0475657
a5	0.0951831	0.112254	0.183119	0.208855	0.14307	0.0710503	0.0494424	0.0414241	0.0383885	0.0232065	0.0340083
a31	0.0921338	0.100505	0.14829	0.200831	0.197991	0.110118	0.0473497	0.0342725	0.027979	0.0181486	0.0223815
a18	0.074115	0.0869289	0.118071	0.183952	0.210084	0.123544	0.0550066	0.0429259	0.0381842	0.0316606	0.0355276
a88	0.0392499	0.0431782	0.0523724	0.0996605	0.121859	0.163161	0.123776	0.0963081	0.0865535	0.0768491	0.0970317
a50	0.0333214	0.0325114	0.0346554	0.0610015	0.0842658	0.158898	0.140571	0.116027	0.104916	0.102808	0.131024
a61	0.0211534	0.0218947	0.0240547	0.0435804	0.0586787	0.134783	0.163435	0.145568	0.127961	0.114573	0.144318
a43	0.0236223	0.0219804	0.0200437	0.0308035	0.040642	0.119452	0.177788	0.169256	0.142665	0.117962	0.135785
a75	0.0170213	0.0145416	0.0128996	0.0198542	0.0288412	0.078799	0.165064	0.190666	0.171095	0.142982	0.158236
a85	0.00519319	0.00445496	0.00392033	0.0069543	0.0122824	0.0357287	0.104442	0.164356	0.200088	0.213925	0.248655
a6	0.00379036	0.00309794	0.00240146	0.00385852	0.00700837	0.0308798	0.10051	0.163989	0.191276	0.220698	0.272491
a98	0.00397802	0.00353514	0.00318784	0.00583397	0.0104462	0.0339586	0.0939023	0.14971	0.190162	0.216826	0.28846
a85	0.00357007	0.00285391	0.00221556	0.00409452	0.00791031	0.0284605	0.0906555	0.161692	0.200169	0.22101	0.27737
a47	0.00192088	0.0015755	0.00129206	0.00227785	0.00433316	0.0170146	0.0682435	0.143739	0.202373	0.241344	0.315887
a37	0.00326672	0.00271944	0.00210139	0.00354549	0.0068724	0.0250435	0.0910958	0.168659	0.206249	0.224896	0.265551
a56	0.0026443	0.00216062	0.00165469	0.00256036	0.00398283	0.0129792	0.0439785	0.104229	0.192057	0.262098	0.371655
a34	0.00187877	0.00133929	0.0008768	0.00111393	0.00169402	0.00623049	0.0330615	0.0986805	0.2074	0.290784	0.356941
a93	0.00120159	0.000866645	0.000630485	0.000851504	0.00132515	0.00509903	0.0248536	0.0680569	0.157195	0.307271	0.43265
a34	0.000891245	0.000644809	0.000481416	0.000671948	0.0010257	0.00374379	0.0197949	0.0618232	0.149814	0.300483	0.460626
a79	0.000359933	0.000273677	0.000258052	0.000417818	0.000717465	0.00254069	0.0115546	0.0369617	0.1071	0.314462	0.525354
a44	0.000259229	0.000208174	0.000179682	0.000310597	0.000632648	0.0025959	0.0112763	0.0338222	0.0946213	0.311532	0.544562
a54	0.00039398	0.000329894	0.000339168	0.000573754	0.00105103	0.00316909	0.0119544	0.0334053	0.0931486	0.322507	0.533128
a36	0.000284587	0.000268367	0.000275037	0.000501216	0.00104428	0.00343599	0.0115627	0.0277484	0.0704547	0.289902	0.594522
a26	0.00715988	0.00607916	0.00695191	0.00870602	0.0127281	0.0251345	0.0489577	0.0704317	0.110744	0.276313	0.426795
a57	0.114138	0.0764391	0.0612884	0.0586871	0.0518079	0.0634887	0.0790781	0.0854314	0.0980335	0.136817	0.174791
a87	0.241297	0.159064	0.0952642	0.0629538	0.0419129	0.0309336	0.0343877	0.0408694	0.0617382	0.105285	0.126295
a23	0.189637	0.141438	0.100285	0.0708417	0.0497345	0.0342228	0.0425006	0.0571638	0.0902196	0.107213	0.116743
a87	0.0818897	0.0598934	0.0372573	0.0286983	0.0209407	0.0195906	0.0457041	0.0893186	0.165556	0.205617	0.245533
</S>	0.0267363	0.0207082	0.0158773	0.0151354	0.0133777	0.0179089	0.0487103	0.0871173	0.144531	0.21943	0.390468
