 	le	grillon	a	fait	un	bond	de	sable	dans	notre	parcelle	</S>
a66	0.195388	0.127353	0.125653	0.101124	0.146294	0.0957746	0.0827071	0.0441677	0.0432062	0.0166828	0.0114498	0.0101986
a87	0.127693	0.090033	0.0977496	0.102076	0.107164	0.121868	0.111704	0.116098	0.0723729	0.0277447	0.0149498	0.010546
a23	0.286712	0.155616	0.111727	0.0851478	0.08692	0.0497418	0.0640632	0.0591622	0.0292783	0.0257054	0.0233366	0.0225894
a83	0.265071	0.211144	0.153171	0.118043	0.084557	0.0413618	0.0466151	0.033588	0.0121307	0.0109864	0.0112791	0.0120525
a21	0.249044	0.162696	0.137754	0.081271	0.0958836	0.0595024	0.075634	0.0551374	0.0342034	0.0176829	0.0162806	0.0149111
a5	0.186164	0.167427	0.190002	0.122513	0.133591	0.0538799	0.0517041	0.0364335	0.0256495	0.0154351	0.0103745	0.00682475
a21	0.120568	0.139392	0.175212	0.149052	0.141276	0.0639991	0.0599409	0.0446675	0.0343442	0.0260612	0.0254945	0.0199931
a85	0.125856	0.164397	0.18171	0.155076	0.15041	0.0675951	0.0566567	0.0378404	0.0216981	0.0131531	0.0132092	0.0123985
a5	0.129657	0.169083	0.144196	0.131878	0.113972	0.0878211	0.071983	0.0515459	0.0261209	0.0187394	0.0242462	0.0307573
a18	0.132298	0.160232	0.177034	0.14856	0.110339	0.062765	0.0541532	0.039964	0.0338854	0.0253014	0.0267966	0.0286711
a43	0.0726081	0.064042	0.0908846	0.10138	0.0721528	0.0397555	0.0600823	0.0724922	0.0850065	0.0858865	0.109979	0.145731
a31	0.0518315	0.0395896	0.0511689	0.0680639	0.0519856	0.0277468	0.04483	0.0694865	0.132359	0.152751	0.152748	0.157439
a47	0.061461	0.0587046	0.0760277	0.0948211	0.0700196	0.0345004	0.0360629	0.0440923	0.101929	0.123737	0.136725	0.161919
a43	0.0462819	0.0430226	0.0507396	0.0622521	0.0362297	0.0237831	0.026844	0.0406704	0.124612	0.166641	0.181041	0.197882
a61	0.00881411	0.00839477	0.0106709	0.0135447	0.00902712	0.00484796	0.00639391	0.0138842	0.0896949	0.222249	0.313619	0.298859
a43	0.00797927	0.00730666	0.00830503	0.00934413	0.00571123	0.00482296	0.00716869	0.0167836	0.0963129	0.237049	0.310293	0.288924
a75	0.00168051	0.00179131	0.00214441	0.00266163	0.0025546	0.00146283	0.00225107	0.00576273	0.0488561	0.150136	0.337479	0.443219
a56	0.00303929	0.00234332	0.00216318	0.00256162	0.00179016	0.00253221	0.00389841	0.010605	0.0511646	0.121421	0.296316	0.502166
a75	0.000538046	0.000408832	0.000421887	0.000548631	0.000394383	0.000674551	0.00106472	0.00266259	0.021517	0.0919033	0.311719	0.568147
a5	0.00077167	0.000503403	0.000459935	0.000638972	0.000450641	0.00131409	0.00233428	0.00455579	0.0181284	0.0751536	0.291872	0.603817
a92	0.000541536	0.000312827	0.000320136	0.000448488	0.000363375	0.000820487	0.00109787	0.00192471	0.0119202	0.0691119	0.277401	0.635737
a21	0.000301918	0.000205568	0.000186329	0.000307525	0.000228922	0.000781997	0.0011108	0.00220069	0.013009	0.0570683	0.249238	0.675361
a5	0.000361554	0.000191128	0.00018071	0.000245408	0.000200861	0.000429582	0.000579171	0.000958143	0.00632929	0.0421856	0.225908	0.72243
a61	0.00130174	0.000817787	0.000771486	0.000929409	0.000719223	0.00136114	0.00187208	0.00360507	0.0172916	0.0652159	0.234163	0.671951
a43	0.00051624	0.000432436	0.000422014	0.0005521	0.000412039	0.000724703	0.0011238	0.00341861	0.0214856	0.0811345	0.244686	0.645092
a11	0.00491972	0.0038262	0.00333605	0.00449215	0.00388313	0.00699074	0.00897515	0.0191132	0.0725402	0.139498	0.250812	0.481613
a10	0.0694945	0.0368771	0.0254908	0.0350408	0.0317137	0.0432807	0.039735	0.0507303	0.0920366	0.126566	0.180011	0.269024
a87	0.273259	0.100658	0.0513061	0.0641267	0.0461415	0.0397187	0.033634	0.0491531	0.0572956	0.0618948	0.0839406	0.138872
a23	0.297102	0.162729	0.0871745	0.0765379	0.0644779	0.0365335	0.0302885	0.0459535	0.0393336	0.0422832	0.0513757	0.0662108
a87	0.11647	0.0525964	0.0225885	0.0214878	0.0143688	0.0103216	0.00914986	0.0172222	0.0295651	0.0750726	0.216243	0.414914
a97	0.00843852	0.00429915	0.00217358	0.00290605	0.0022765	0.0026555	0.00316419	0.0076177	0.0261955	0.0853769	0.27019	0.584706
</S>	0.0875715	0.0527952	0.0347695	0.0461019	0.0450824	0.0303741	0.0308003	0.0554635	0.0573173	0.0926193	0.175589	0.291516
