 	les	chats	en	question	sont	tous	blancs	</S>
a82	0.44753	0.155273	0.14063	0.104363	0.071997	0.0380728	0.0220033	0.0201301
a87	0.523878	0.217466	0.0829444	0.061296	0.042775	0.0247151	0.0211196	0.0258063
a23	0.434124	0.236059	0.0744722	0.0536234	0.0461255	0.0428946	0.044557	0.0681443
a50	0.468567	0.382663	0.0681011	0.0193648	0.0099855	0.00948366	0.0145364	0.0272982
a62	0.430079	0.287937	0.0831082	0.0408613	0.0296702	0.0299496	0.0449792	0.0534158
a96	0.418754	0.350206	0.112043	0.0402772	0.0234497	0.0182322	0.0193775	0.0176608
a56	0.303253	0.435401	0.120163	0.0421062	0.0260889	0.0242881	0.0250145	0.0236847
a25	0.271812	0.429652	0.130954	0.0530058	0.0312458	0.0298455	0.0283095	0.025175
a85	0.132065	0.215014	0.20655	0.148228	0.0916176	0.0767632	0.0675343	0.0622276
a5	0.097616	0.168533	0.189593	0.174315	0.121399	0.0921325	0.0821484	0.0742628
a21	0.142242	0.203788	0.255537	0.15272	0.0844368	0.0583702	0.0504473	0.0524589
a85	0.0634823	0.0811022	0.16042	0.169561	0.14924	0.130992	0.115297	0.129905
a5	0.0193822	0.0234347	0.0955503	0.141119	0.164298	0.161699	0.168688	0.22583
a24	0.0205255	0.0196229	0.0602685	0.135993	0.183422	0.186706	0.171035	0.222427
a88	0.011606	0.0109503	0.0264007	0.103995	0.192661	0.222063	0.19572	0.236604
a24	0.00802162	0.00849173	0.0151974	0.0692396	0.133529	0.202169	0.252855	0.310497
a0	0.00614285	0.00767963	0.0113827	0.0493754	0.103449	0.171138	0.263768	0.387065
a11	0.00749939	0.0103331	0.0136048	0.0391831	0.0804818	0.149316	0.253977	0.445606
a94	0.00270789	0.00408569	0.00551325	0.0245385	0.0645927	0.138833	0.25079	0.508939
a38	0.0012697	0.00197809	0.00294467	0.0159345	0.0475398	0.121395	0.245476	0.563461
a11	0.00198059	0.00284347	0.00362962	0.0203537	0.0577759	0.127514	0.242056	0.543847
a4	0.00736563	0.00619461	0.00893301	0.0413008	0.0981262	0.167856	0.229514	0.44071
a57	0.00515952	0.00521954	0.00692735	0.035167	0.0884454	0.165267	0.258734	0.435079
a82	0.0136998	0.0101225	0.0124279	0.0368698	0.0846482	0.16147	0.228996	0.451765
a87	0.137504	0.0593659	0.048489	0.0758217	0.109158	0.140263	0.159853	0.269544
a23	0.411936	0.165002	0.0743962	0.0622662	0.068377	0.0755539	0.0623292	0.0801393
a87	0.129929	0.0535826	0.0203152	0.0392004	0.0941762	0.15663	0.223463	0.282704
</S>	0.0142446	0.00770931	0.00705816	0.0249761	0.0826114	0.128906	0.281703	0.452792
