 	nous	avons	marché	dans	l'	eau	de	la	vouma	</S>
a66	0.387231	0.158285	0.0808466	0.0607196	0.0639694	0.0659231	0.0662629	0.0546889	0.0351753	0.0268986
a87	0.185814	0.109453	0.0823601	0.069929	0.0809355	0.0713184	0.0762934	0.091887	0.105646	0.126363
a97	0.354635	0.249875	0.110752	0.0455059	0.0428099	0.033036	0.0359352	0.0391201	0.0426846	0.0456461
a87	0.310735	0.250405	0.114803	0.0488553	0.0481323	0.0374046	0.043251	0.046758	0.049766	0.0498892
a97	0.285297	0.237232	0.125995	0.0530124	0.0479917	0.0358236	0.0450147	0.0523652	0.0596785	0.0575899
a83	0.266596	0.220123	0.120487	0.0502389	0.0486187	0.0414687	0.052064	0.0611963	0.0692721	0.0699351
a61	0.355785	0.216923	0.126536	0.0539709	0.0312279	0.0223875	0.0264081	0.0346892	0.0538528	0.0782203
a0	0.322099	0.255498	0.200095	0.0962059	0.044506	0.0216309	0.0162308	0.0138114	0.0137254	0.0161974
a61	0.203755	0.253302	0.255649	0.136771	0.0631563	0.0270043	0.017777	0.0136068	0.0125032	0.0164751
a47	0.144004	0.22648	0.267724	0.174868	0.086059	0.0353854	0.0218074	0.0151033	0.0128867	0.015682
a88	0.105675	0.167463	0.24	0.214708	0.121209	0.0548033	0.0360255	0.023551	0.0181379	0.0184291
a11	0.064134	0.114079	0.182728	0.200447	0.147888	0.0959711	0.0722295	0.0479112	0.0357221	0.0388895
a70	0.0529277	0.0788037	0.134337	0.192191	0.171344	0.124641	0.0942955	0.0620994	0.0446377	0.0447226
a11	0.0431626	0.0510392	0.0702225	0.111762	0.154902	0.166882	0.15259	0.109608	0.0715533	0.0682776
a93	0.0185396	0.0204065	0.0330022	0.0731283	0.135091	0.178634	0.176227	0.143653	0.107808	0.113509
a94	0.023467	0.0212566	0.0261232	0.0496945	0.100423	0.164998	0.191992	0.180919	0.13519	0.105935
a98	0.00663231	0.00559219	0.00839461	0.0208134	0.0487616	0.11192	0.172324	0.207903	0.219131	0.198528
a47	0.000623254	0.000559203	0.00105257	0.0039236	0.0149853	0.0629665	0.145114	0.214018	0.284021	0.272737
a36	0.000181894	0.000168477	0.000341174	0.00139597	0.00631947	0.0421627	0.125341	0.219595	0.320161	0.284333
a0	0.000462349	0.000321102	0.000484023	0.00122597	0.00378541	0.0162883	0.0534705	0.13034	0.316542	0.477081
a75	0.0014875	0.000909277	0.00114028	0.00207842	0.00475868	0.0147938	0.0438915	0.127063	0.325602	0.478276
a79	9.85075e-05	0.000120649	0.000297576	0.00116491	0.00473608	0.0217159	0.0630634	0.157891	0.352415	0.398497
a69	4.19873e-05	4.91663e-05	0.000138863	0.000713896	0.00340434	0.0175568	0.0497062	0.124266	0.33206	0.472062
a44	8.53412e-05	8.5456e-05	0.000180712	0.000623902	0.00254589	0.0128205	0.0396608	0.107242	0.319744	0.517011
a26	0.00025406	0.000255743	0.000466796	0.00125361	0.00390908	0.0159513	0.0440325	0.11398	0.306992	0.512905
a3	0.0100962	0.00639855	0.00676376	0.0107538	0.018645	0.0415819	0.0867905	0.166698	0.297873	0.354399
a97	0.141464	0.0678442	0.0373706	0.0316511	0.0402536	0.0621952	0.0878021	0.125927	0.18839	0.217102
a87	0.189776	0.10861	0.0562273	0.0339324	0.0356856	0.0478129	0.0679526	0.10314	0.170072	0.186791
a97	0.160579	0.100623	0.0677519	0.0453488	0.0476363	0.0582158	0.0870879	0.122523	0.164624	0.145612
</S>	0.0559888	0.0409417	0.031637	0.0241724	0.0313794	0.0596015	0.110203	0.162469	0.233266	0.250342
