 	il	a	acheté	ce	noyau	de	palmier	au	marché	</S>
a66	0.330798	0.247061	0.145025	0.0706281	0.0429379	0.0440319	0.0372368	0.0338669	0.0270657	0.021349
a87	0.339644	0.237515	0.138855	0.0754979	0.0538816	0.0510206	0.0403588	0.0237599	0.0194633	0.0200045
a23	0.36083	0.273256	0.153459	0.0761232	0.0443411	0.0272737	0.0144519	0.0131311	0.0163528	0.0207816
a79	0.300992	0.237876	0.150921	0.0923554	0.0635828	0.0505687	0.0250941	0.0246161	0.0273863	0.0266068
a20	0.257651	0.222019	0.165576	0.121243	0.0600304	0.0526732	0.0295701	0.0225462	0.0287583	0.0399325
a32	0.226556	0.243698	0.215201	0.161454	0.0774419	0.0363519	0.0134409	0.00881539	0.0084246	0.00861553
a90	0.14156	0.202024	0.203868	0.174888	0.105824	0.0737123	0.0420083	0.0241733	0.0182209	0.0137211
a94	0.0939748	0.140424	0.161613	0.16342	0.137572	0.0994644	0.0815954	0.0535873	0.040418	0.0279321
a4	0.0636404	0.0964751	0.128076	0.161421	0.15146	0.115239	0.123124	0.0743337	0.0514956	0.0347339
a57	0.0481677	0.0726202	0.10733	0.152894	0.152729	0.113815	0.150717	0.0969583	0.0629185	0.041851
a53	0.0406584	0.0525813	0.0696253	0.108946	0.132496	0.106779	0.164277	0.137745	0.109297	0.0775959
a15	0.0484702	0.0560129	0.0665057	0.0945353	0.117125	0.12226	0.206718	0.138894	0.0904356	0.0590432
a20	0.0157906	0.0187736	0.0245656	0.0417602	0.0836785	0.117763	0.220608	0.215206	0.155355	0.106499
a44	0.0099847	0.0107399	0.0136536	0.0238532	0.0655205	0.110426	0.190206	0.242017	0.194244	0.139355
a90	0.00948175	0.00835479	0.00775544	0.0106621	0.0239206	0.0558604	0.132899	0.248211	0.2758	0.227055
a79	0.00459917	0.00410895	0.00474596	0.0076425	0.0213579	0.0629275	0.14373	0.285388	0.276471	0.189029
a44	0.00283989	0.00231911	0.00278027	0.00443764	0.0141955	0.047737	0.110202	0.287265	0.316233	0.211991
a7	0.00223713	0.00173411	0.00178731	0.0024704	0.00710473	0.0177639	0.0552156	0.232325	0.354664	0.324699
a75	0.000754424	0.000678052	0.000662893	0.00104665	0.00286735	0.00492563	0.0141625	0.0915352	0.326338	0.55703
a6	0.000686103	0.000522253	0.000560448	0.000909726	0.00302544	0.00731246	0.0181343	0.108723	0.327523	0.532602
a37	0.000273106	0.000226058	0.000245617	0.000412851	0.00138059	0.00340336	0.00979428	0.0746879	0.293082	0.616495
a26	0.000604702	0.000544939	0.000609793	0.000989777	0.00260033	0.00419044	0.00975637	0.045839	0.237848	0.697017
a82	0.121209	0.0824692	0.0565697	0.0385213	0.0407278	0.0276779	0.0304768	0.0589116	0.157609	0.385827
a87	0.327249	0.208672	0.121026	0.0652299	0.0643458	0.0373095	0.0258403	0.0346292	0.0478623	0.0678361
a23	0.228441	0.186772	0.15436	0.114871	0.111612	0.0596574	0.0399735	0.0360465	0.0345442	0.0337223
a87	0.154428	0.10752	0.0772784	0.04565	0.0586847	0.0776035	0.0669863	0.119236	0.165058	0.127555
</S>	0.0212993	0.0201896	0.021627	0.0208724	0.0437115	0.0658286	0.085702	0.192992	0.27994	0.247838
