 	depuis	qu'	il	est	parti	pour	l'	école	il	n'	est	pas	encore	rentré	</S>
a87	0.171468	0.105573	0.079041	0.0833554	0.0881917	0.0891019	0.081175	0.0769932	0.0591364	0.0561365	0.0363382	0.0247803	0.0194435	0.0160057	0.0132609
a99	0.158317	0.0697561	0.0257177	0.0234046	0.0200511	0.0320066	0.0470112	0.0424766	0.0419569	0.0472565	0.0590443	0.0732459	0.107052	0.134942	0.117761
a3	0.169346	0.138207	0.079212	0.0671419	0.0515585	0.0702883	0.0704574	0.0558899	0.0466001	0.0412958	0.034941	0.0341494	0.0406003	0.0533967	0.0469156
a97	0.186944	0.154674	0.0997559	0.0867976	0.0682116	0.072929	0.0572827	0.0437713	0.0336522	0.0306318	0.0272217	0.0283106	0.0333998	0.0408771	0.0355413
a87	0.22479	0.157418	0.0829065	0.0674544	0.0509784	0.0499258	0.0407823	0.0295863	0.0281666	0.0326757	0.0327192	0.0389086	0.0475266	0.0633538	0.0528075
a97	0.167218	0.120537	0.0807757	0.0738217	0.0621435	0.0600603	0.0507639	0.0411179	0.0371179	0.0406428	0.0410667	0.0469862	0.0564891	0.0667681	0.0544914
a99	0.156774	0.106502	0.0811538	0.0774207	0.0652245	0.0555425	0.0453674	0.0360228	0.0330625	0.0383627	0.0401033	0.0498792	0.0641947	0.0819327	0.068457
a97	0.149513	0.099277	0.057658	0.0484994	0.0413992	0.0463937	0.0458626	0.0359993	0.0395076	0.0530826	0.057227	0.0680182	0.0821707	0.101956	0.0734358
a99	0.135895	0.093719	0.0649849	0.0592039	0.04856	0.0495562	0.0457157	0.03584	0.0390965	0.0497054	0.0512438	0.06295	0.0769317	0.104329	0.0822694
a18	0.146399	0.0956354	0.0563636	0.0465634	0.0397137	0.0416152	0.0410378	0.0311445	0.0362398	0.0497084	0.0548082	0.072142	0.0905299	0.11333	0.084769
a34	0.166161	0.137973	0.1126	0.0834446	0.0637502	0.0541949	0.0449393	0.0335722	0.0320055	0.0355206	0.0352857	0.043665	0.0524502	0.0525872	0.0518503
a21	0.158046	0.173592	0.121514	0.0816738	0.0654705	0.063796	0.0543642	0.0442221	0.034107	0.0359013	0.0327139	0.0334533	0.0369191	0.0328569	0.0313707
a47	0.105435	0.144775	0.135432	0.108892	0.0902905	0.0832686	0.0658199	0.0575519	0.0430079	0.0411095	0.032102	0.0262011	0.0231739	0.0199526	0.0229875
a21	0.065838	0.0821462	0.092123	0.107052	0.118673	0.121289	0.0978022	0.0741782	0.0525914	0.0470859	0.0370093	0.0301279	0.0257672	0.0216976	0.0266193
a61	0.0906484	0.106726	0.112738	0.121301	0.121461	0.11318	0.0870827	0.0695638	0.0466736	0.0394116	0.0253398	0.0181237	0.0149458	0.014216	0.018588
a62	0.0427192	0.0551846	0.0851118	0.118334	0.138733	0.138712	0.108593	0.0899125	0.0612233	0.050939	0.032757	0.0226813	0.0182412	0.0157979	0.0210597
a56	0.0273602	0.0343804	0.0580555	0.0939852	0.122315	0.136102	0.122155	0.111795	0.0850821	0.0709898	0.0454172	0.0292779	0.0218062	0.0179231	0.0233549
a98	0.0260326	0.0320817	0.0540482	0.0929059	0.12118	0.138035	0.121892	0.113131	0.0847791	0.0698927	0.0448814	0.0290733	0.0227486	0.0206608	0.0286581
a92	0.0235676	0.0316869	0.0477193	0.0730997	0.0854639	0.104006	0.106872	0.115687	0.110885	0.101521	0.0686159	0.0453359	0.0292343	0.0248839	0.0314219
a37	0.0187871	0.0214428	0.0350463	0.0562248	0.0794249	0.107611	0.116327	0.133592	0.12833	0.107524	0.0642525	0.0393992	0.0277226	0.025689	0.0386269
a23	0.0212203	0.0246343	0.0424622	0.0591027	0.0755756	0.0988454	0.110966	0.141783	0.133328	0.107885	0.0621968	0.0363737	0.02714	0.0239465	0.0345403
a90	0.0144848	0.0151734	0.027469	0.0426232	0.0621511	0.0836952	0.0969383	0.130135	0.145283	0.125168	0.0824062	0.0527622	0.0383771	0.0349404	0.0483938
a25	0.0122114	0.0122518	0.0275924	0.0449794	0.0710664	0.0922726	0.0976887	0.128034	0.139025	0.12151	0.0777359	0.0471691	0.0357321	0.0356058	0.0571248
a92	0.0146246	0.0141202	0.0263903	0.0432422	0.0685425	0.0896853	0.0992634	0.124953	0.137949	0.118756	0.0803839	0.0510733	0.0367201	0.0373799	0.0569162
a61	0.0164283	0.0151286	0.0283614	0.0422667	0.0611709	0.0832813	0.0865988	0.114924	0.139743	0.128263	0.0827254	0.0507708	0.0373664	0.040635	0.0723362
a62	0.0198882	0.0174361	0.0337278	0.0517484	0.0739926	0.0917771	0.0902909	0.109796	0.119098	0.111435	0.0772554	0.0514549	0.040768	0.0427694	0.0685621
a47	0.0148604	0.0137511	0.0235467	0.0403184	0.0612893	0.0864661	0.096624	0.117391	0.121406	0.11719	0.090998	0.0572148	0.0434417	0.0473233	0.0681794
a88	0.00653785	0.00638284	0.0115679	0.0209004	0.0360489	0.0688635	0.0962699	0.134885	0.14469	0.135934	0.107282	0.064214	0.0438658	0.0464317	0.0761259
a9	0.00628042	0.00511869	0.00873694	0.0150197	0.0275408	0.0556306	0.082086	0.11503	0.13128	0.13003	0.117344	0.0834371	0.062806	0.0627327	0.0969262
a99	0.00524374	0.00471845	0.00684924	0.00984668	0.0153363	0.0349649	0.0674031	0.0976137	0.132015	0.139928	0.129082	0.0802973	0.0658003	0.0744371	0.136464
a97	0.00797078	0.00802038	0.0119854	0.016329	0.0209497	0.0405063	0.0690038	0.0953888	0.11913	0.133705	0.131905	0.0919921	0.0742682	0.0762448	0.1026
a87	0.00921195	0.00865851	0.013215	0.0175031	0.0219861	0.0349554	0.0637427	0.0936766	0.117665	0.134025	0.143765	0.110283	0.0868418	0.070298	0.0741728
a23	0.0204258	0.0154749	0.0208211	0.0264592	0.0315525	0.0385233	0.061845	0.0735593	0.0848727	0.100198	0.115458	0.11644	0.116277	0.090833	0.0872594
a87	0.00209722	0.00189145	0.00282605	0.00517886	0.00738278	0.0127458	0.0250048	0.0292541	0.0370809	0.0446159	0.0640605	0.109862	0.165856	0.231098	0.261045
a23	0.00487472	0.00382049	0.00683447	0.0109509	0.0134526	0.0140115	0.0221829	0.0262634	0.0346237	0.0458599	0.0638626	0.110601	0.161281	0.214008	0.267373
a79	0.00175233	0.00149325	0.00227072	0.00373948	0.00480328	0.00711441	0.0143363	0.0181109	0.0270839	0.0334997	0.0514301	0.0965768	0.158858	0.233122	0.345808
a7	0.00370119	0.00445295	0.00953044	0.0169133	0.02573	0.030334	0.0443041	0.0522473	0.063292	0.0657421	0.0739516	0.0872077	0.1076	0.150779	0.264214
a32	0.00177487	0.0024269	0.00535409	0.00988575	0.016588	0.0256028	0.0396403	0.0481322	0.0568121	0.0593818	0.0699042	0.0893097	0.121552	0.16364	0.289996
a75	0.00186957	0.00194266	0.00397971	0.00742064	0.0116738	0.0168226	0.0258371	0.0313044	0.0402348	0.0440392	0.0562955	0.0873193	0.141306	0.205557	0.324398
a85	0.0034576	0.00366022	0.00718989	0.0115557	0.0188392	0.0238183	0.0315754	0.0357595	0.048951	0.0524058	0.0614272	0.0789423	0.11577	0.186829	0.319818
a37	0.0100992	0.00919962	0.0180609	0.0256119	0.0368724	0.046698	0.0631611	0.073639	0.0909912	0.090043	0.0791256	0.076132	0.0809622	0.103902	0.195502
a93	0.0018882	0.00172305	0.00373994	0.00669064	0.012699	0.0181877	0.0251464	0.0316103	0.0443199	0.0473808	0.0595057	0.0837007	0.141586	0.202082	0.31974
a70	0.00190964	0.00174334	0.00334828	0.00526791	0.00921612	0.0130686	0.0183575	0.0230652	0.0331626	0.0368858	0.0523892	0.0774978	0.142874	0.228838	0.352376
a34	0.00120258	0.00108652	0.00222	0.00395615	0.00722228	0.0116418	0.0166521	0.0199967	0.0271506	0.0293659	0.0418504	0.0629499	0.132496	0.239963	0.402246
a75	0.000833526	0.000761996	0.00152656	0.00284225	0.00529365	0.00956922	0.0147097	0.0188149	0.0262812	0.0292525	0.0438477	0.0659827	0.135666	0.245491	0.399127
a6	0.00124427	0.0011099	0.00217374	0.0042287	0.00829092	0.0138687	0.0192612	0.0220623	0.0304471	0.0334732	0.0454906	0.0667052	0.122611	0.244284	0.384749
a36	0.000462758	0.000403097	0.00093297	0.00195117	0.00414839	0.00870772	0.0136376	0.0160917	0.0230759	0.0240372	0.0324678	0.0490749	0.106482	0.245518	0.473008
a26	0.000462863	0.00036398	0.000689623	0.00117016	0.00217523	0.00477886	0.00901559	0.0102508	0.0132043	0.0122257	0.0175943	0.0274426	0.0686248	0.218638	0.613363
a36	0.00608556	0.00452444	0.00624086	0.00738148	0.00936295	0.0137152	0.0224407	0.0226284	0.0309621	0.0283202	0.0388366	0.0546827	0.1022	0.224483	0.428136
a2	0.0102011	0.00670866	0.00850261	0.0102637	0.0128616	0.0171423	0.0256392	0.024541	0.0307286	0.0274981	0.0381366	0.0583992	0.111754	0.240433	0.37719
a57	0.0229926	0.0140575	0.0203677	0.023201	0.0293951	0.0261566	0.0325358	0.03064	0.0364533	0.0333817	0.0448112	0.0666321	0.119972	0.220027	0.279377
a87	0.0562336	0.0348806	0.0286648	0.0255209	0.0228707	0.0207361	0.0247033	0.0250319	0.0295156	0.0320519	0.0437087	0.0663656	0.1218	0.211714	0.256203
a23	0.0425564	0.0325718	0.0304359	0.0313388	0.0294631	0.0317458	0.0430215	0.045774	0.055875	0.059927	0.0689396	0.0843956	0.115033	0.150774	0.178148
a87	0.0171587	0.0124314	0.0118429	0.0133456	0.0140452	0.0202543	0.0329569	0.0388874	0.0571675	0.0633341	0.0837261	0.12233	0.156605	0.142845	0.21307
a97	0.0046197	0.00393826	0.00528741	0.0085367	0.0113684	0.0224572	0.038611	0.0450218	0.0574895	0.0569811	0.0707278	0.101122	0.145267	0.168603	0.259968
</S>	0.00901405	0.00891526	0.0101627	0.0151362	0.0180866	0.0346379	0.0524889	0.0553975	0.0639871	0.0619755	0.0698752	0.0962369	0.132362	0.150586	0.221139
