 	ses	documents	sont	épars	sur	la	table	</S>
a66	0.293753	0.265923	0.169575	0.121344	0.0547522	0.0404115	0.0288585	0.025383
a87	0.357371	0.251463	0.170731	0.0968743	0.0432576	0.0277702	0.026321	0.0262114
a23	0.584197	0.253862	0.0646772	0.0280187	0.0170264	0.0144001	0.0176121	0.0202073
a87	0.525718	0.247267	0.0712562	0.0364113	0.0211779	0.0203647	0.0324069	0.0453974
a10	0.528598	0.245945	0.0810894	0.0450223	0.0221893	0.0204211	0.0258714	0.0308638
a87	0.504222	0.206897	0.0877722	0.0561363	0.0307838	0.0294168	0.0381048	0.0466664
a79	0.460229	0.192455	0.109541	0.0770197	0.0385869	0.0353484	0.0415222	0.045297
a30	0.313524	0.188426	0.140236	0.0902193	0.0434605	0.0504355	0.0803792	0.093319
a0	0.268801	0.172394	0.163593	0.114904	0.0518751	0.0606351	0.0806888	0.0871089
a75	0.119457	0.117381	0.130108	0.150821	0.107995	0.12064	0.13185	0.121748
a47	0.080765	0.130626	0.173916	0.179617	0.103008	0.106836	0.126818	0.0984141
a79	0.0464066	0.107291	0.169656	0.167127	0.107154	0.116779	0.153714	0.131872
a92	0.0585334	0.126328	0.157031	0.136679	0.0933148	0.111853	0.159182	0.157079
a12	0.0913704	0.146123	0.168179	0.160391	0.095083	0.0966866	0.122145	0.120023
a94	0.101507	0.172632	0.186273	0.167701	0.10394	0.0834458	0.0911095	0.0933916
a96	0.0588209	0.134157	0.207948	0.207325	0.122416	0.0898132	0.0864516	0.0930678
a88	0.0541881	0.113186	0.192975	0.21852	0.126698	0.095967	0.0922791	0.106187
a11	0.0236908	0.0487331	0.101394	0.207627	0.202946	0.146747	0.124031	0.144831
a75	0.0291997	0.0527253	0.0911182	0.203533	0.195162	0.147994	0.120584	0.159684
a5	0.00832707	0.0139282	0.02572	0.0663576	0.159923	0.194796	0.244515	0.286434
a23	0.0107708	0.015798	0.0277939	0.0689882	0.145348	0.173449	0.236757	0.321096
a21	0.00718413	0.00987531	0.0148403	0.0368332	0.118889	0.179558	0.249471	0.383349
a92	0.00322269	0.00372768	0.0063462	0.0212959	0.112957	0.192012	0.29481	0.365629
a56	0.00316215	0.00429019	0.00737399	0.0214067	0.100176	0.180409	0.304507	0.378675
a94	0.00195773	0.00208612	0.0032798	0.00967763	0.0568418	0.128126	0.318083	0.479947
a96	0.00146236	0.00161224	0.00221766	0.00582571	0.0317585	0.0852274	0.279306	0.59259
a75	0.00124045	0.00142326	0.00220806	0.00617508	0.0317452	0.0884417	0.282353	0.586414
a12	0.000459222	0.0004909	0.000938962	0.00361404	0.0334398	0.0870615	0.274015	0.599981
a43	0.0013308	0.00155829	0.00249989	0.00724214	0.0376259	0.0888463	0.267294	0.593602
a54	0.00110184	0.00169653	0.00372312	0.0110499	0.0482699	0.107684	0.272554	0.553922
a36	0.000380223	0.000485892	0.00124624	0.00481186	0.0274562	0.0615807	0.221695	0.682344
a2	0.000652587	0.000634108	0.00112762	0.00346924	0.0240184	0.0637513	0.237409	0.668938
a57	0.0306629	0.024204	0.0376744	0.0564215	0.116787	0.145891	0.237578	0.350782
a87	0.224166	0.0922149	0.0474576	0.0428419	0.0890458	0.118453	0.171428	0.214393
a23	0.268972	0.150868	0.0631675	0.0407388	0.0616591	0.0924563	0.149102	0.173037
a87	0.0565066	0.0296254	0.0195293	0.0167533	0.0834144	0.155032	0.301626	0.337513
a99	0.0143959	0.0099929	0.00744208	0.0126536	0.0695405	0.127781	0.311795	0.446399
</S>	0.0268062	0.0232725	0.022366	0.0295786	0.0983223	0.149394	0.290936	0.359324
