 	cet	homme	est	un	danseur	masqué	du	kyebé-kyebé	</S>
a66	0.273484	0.190763	0.1438	0.145573	0.087179	0.0579401	0.0372815	0.0393698	0.0246098
a87	0.315174	0.186625	0.144094	0.172181	0.112198	0.0396304	0.0145288	0.00970631	0.00586269
a23	0.446137	0.248698	0.149814	0.0816088	0.0309976	0.0122139	0.0109853	0.0116274	0.00791853
a87	0.521946	0.21256	0.12532	0.0607042	0.0259908	0.0121521	0.00969556	0.0150836	0.0165488
a23	0.549764	0.190347	0.111357	0.0589166	0.0289918	0.0145143	0.0133692	0.0170082	0.0157313
a18	0.371859	0.133617	0.0931786	0.0682665	0.0448412	0.0656516	0.0718724	0.0806793	0.0700343
a54	0.184326	0.0846615	0.0796109	0.100883	0.0893676	0.138062	0.101841	0.127851	0.0933971
a7	0.090335	0.0896163	0.126702	0.187649	0.206717	0.205657	0.051775	0.0280607	0.0134882
a37	0.0688123	0.0775418	0.106508	0.141702	0.189783	0.239395	0.0984977	0.0548237	0.0229364
a44	0.072365	0.0927442	0.11162	0.129055	0.164815	0.179844	0.11881	0.0867366	0.0440113
a26	0.0641525	0.0756217	0.0793298	0.0891438	0.12321	0.190617	0.168672	0.129988	0.0792655
a11	0.0599515	0.0549723	0.0463261	0.0529852	0.0608175	0.087356	0.159511	0.260431	0.21765
a66	0.0184982	0.0125886	0.0095592	0.011395	0.0142169	0.0358354	0.154115	0.411876	0.331915
a38	0.00512913	0.00290774	0.00226782	0.00259596	0.00316884	0.0124393	0.097784	0.373998	0.499709
a88	0.0016457	0.00086283	0.000743455	0.000909498	0.00119347	0.00506932	0.0386591	0.238417	0.712499
a83	0.000833279	0.000444336	0.000404692	0.000539117	0.000738645	0.00367697	0.0307964	0.188538	0.774029
a70	0.000421633	0.000236457	0.000241028	0.000348704	0.00056457	0.00235119	0.0242541	0.174226	0.797357
a99	0.000495004	0.000337517	0.000383002	0.00055403	0.000877174	0.00246153	0.0220622	0.155744	0.817086
a18	0.000481966	0.000244949	0.000250983	0.000295496	0.000384855	0.00114902	0.014029	0.132234	0.85093
a9	0.00663118	0.00272	0.00245328	0.00218633	0.00213781	0.00318827	0.0254371	0.131664	0.823582
a3	0.0912439	0.0545437	0.0486992	0.0435299	0.0386133	0.0244268	0.0609593	0.133704	0.50428
a97	0.195685	0.126392	0.0940006	0.0672089	0.0520982	0.018722	0.0353086	0.0975364	0.313048
a87	0.186342	0.116436	0.0919652	0.0734431	0.0554346	0.0208947	0.0305509	0.104352	0.320581
a23	0.206629	0.131743	0.11183	0.098305	0.0758275	0.0257194	0.0294146	0.0915879	0.228944
a87	0.329965	0.247244	0.175157	0.0928479	0.0388823	0.00896127	0.0106164	0.0274517	0.0688752
a23	0.339208	0.202932	0.162279	0.0932932	0.0412596	0.0116099	0.0171143	0.042172	0.0901325
</S>	0.303392	0.223127	0.202881	0.134403	0.0578302	0.0130922	0.0120312	0.0227183	0.0305264
