 	je	suis	déjà	fatigué	</S>
a66	0.547198	0.173591	0.0679629	0.0924748	0.118773
a87	0.741912	0.195195	0.0343852	0.0141918	0.0143157
a23	0.611706	0.256234	0.0623566	0.0348607	0.0348431
a18	0.580609	0.241601	0.0737201	0.0484207	0.0556489
a50	0.591659	0.229047	0.0693043	0.0521395	0.0578502
a62	0.553094	0.301481	0.0715645	0.0370105	0.0368492
a83	0.36423	0.392843	0.143148	0.0515589	0.0482202
a0	0.172962	0.369326	0.28588	0.0937335	0.0780994
a75	0.125247	0.24407	0.31703	0.180158	0.133495
a25	0.0877288	0.15348	0.269513	0.291218	0.19806
a69	0.0331768	0.0794464	0.264634	0.349366	0.273377
a90	0.00703819	0.0121983	0.110492	0.413575	0.456697
a69	0.00615089	0.0114454	0.105016	0.391945	0.485442
a4	0.00209461	0.00466421	0.0613053	0.333617	0.598319
a57	0.000531712	0.00145315	0.0266255	0.278185	0.693204
a82	0.00089659	0.00147325	0.0159366	0.228665	0.753029
a87	0.0708757	0.0388052	0.0715387	0.28541	0.53337
a23	0.410439	0.166586	0.110344	0.151367	0.161264
a87	0.109779	0.0725561	0.113411	0.236663	0.46759
</S>	0.021608	0.0278577	0.0834365	0.240923	0.626175
