 	ce	petit	enfant	tousse	beaucoup	</S>
a66	0.419954	0.212852	0.125024	0.105772	0.074901	0.0614965
a87	0.366336	0.227511	0.140317	0.108356	0.0819834	0.0754962
a23	0.562851	0.246438	0.0599497	0.0394165	0.0414252	0.0499201
a38	0.402594	0.239905	0.088215	0.0825688	0.086485	0.100232
a54	0.346963	0.214221	0.101035	0.0996883	0.105061	0.133031
a92	0.320908	0.259287	0.158715	0.109155	0.0800075	0.0719276
a85	0.241597	0.244247	0.171858	0.126117	0.10969	0.106489
a5	0.21301	0.242522	0.215388	0.134778	0.103993	0.0903094
a21	0.343253	0.270028	0.14268	0.089318	0.0748214	0.0798991
a31	0.242389	0.231653	0.150034	0.140206	0.118822	0.116897
a75	0.15222	0.196392	0.183211	0.193536	0.138506	0.136136
a93	0.0496878	0.0715679	0.11353	0.228093	0.261589	0.275532
a90	0.0589384	0.0908248	0.148878	0.240255	0.216744	0.24436
a98	0.0212213	0.0364264	0.105462	0.27966	0.266627	0.290604
a47	0.0157954	0.0263245	0.0743828	0.269993	0.275499	0.338005
a36	0.00476577	0.00938396	0.0349234	0.201149	0.291711	0.458067
a7	0.00851509	0.0113463	0.0259806	0.104423	0.256352	0.593382
a90	0.00480767	0.00606919	0.0167972	0.0863902	0.26048	0.625455
a93	0.00390257	0.00601346	0.0195521	0.101025	0.291489	0.578018
a62	0.00187155	0.0032543	0.0132682	0.0739317	0.272332	0.635343
a88	0.0035295	0.00578257	0.0184878	0.0854271	0.273149	0.613624
a9	0.00201341	0.00306221	0.0120116	0.0707298	0.2612	0.650983
a87	0.0326659	0.0317809	0.057856	0.161126	0.271828	0.444743
a23	0.239995	0.151468	0.116823	0.128092	0.161613	0.202008
a87	0.140859	0.0744289	0.0596396	0.0850322	0.223461	0.416579
a23	0.0155426	0.00945433	0.0114796	0.0450195	0.238905	0.679599
a87	0.0368547	0.0216569	0.0204844	0.0622953	0.251204	0.607505
</S>	0.0137971	0.0104385	0.0135464	0.0528862	0.259862	0.64947
