 	amassez	les	herbes	en	tas	derrière	la	case	</S>
a23	0.239136	0.216907	0.188777	0.137752	0.0915929	0.0432604	0.0318354	0.025443	0.0252968
a83	0.324939	0.191482	0.149237	0.106195	0.0794438	0.0451979	0.0376631	0.0355283	0.0303137
a41	0.376215	0.245269	0.171011	0.0932964	0.0437526	0.023131	0.0165691	0.0143479	0.0164071
a18	0.293715	0.169525	0.209291	0.147384	0.103465	0.0353557	0.018961	0.01435	0.00795349
a25	0.27379	0.163211	0.205467	0.162993	0.118743	0.033994	0.0175149	0.0156029	0.00868356
a40	0.227902	0.162251	0.158479	0.142558	0.102363	0.0603782	0.0448041	0.0554604	0.045805
a90	0.184887	0.142998	0.15233	0.146437	0.137553	0.0878533	0.0556349	0.054827	0.0374801
a20	0.199335	0.162833	0.161209	0.15995	0.161354	0.0738913	0.0343335	0.0267985	0.0202953
a94	0.201839	0.161174	0.140486	0.138414	0.130811	0.0860809	0.0525048	0.0493918	0.0392989
a66	0.209443	0.166831	0.116184	0.122464	0.122748	0.101969	0.0607106	0.0529664	0.0466837
a76	0.180902	0.130688	0.0710481	0.0704939	0.0663104	0.107639	0.106555	0.129447	0.136917
a94	0.155094	0.125931	0.093096	0.0860747	0.081426	0.127971	0.119958	0.111824	0.0986252
a11	0.146025	0.104183	0.0666267	0.0545391	0.0466498	0.0963091	0.140771	0.167714	0.177181
a75	0.115294	0.0732703	0.0408737	0.0354117	0.0309265	0.0826274	0.155301	0.22841	0.237885
a30	0.084795	0.0652231	0.0384799	0.0298759	0.0223752	0.0650022	0.144213	0.242311	0.307725
a57	0.0594614	0.0465147	0.0264809	0.0197985	0.0171825	0.0660032	0.158524	0.258628	0.347407
a87	0.041853	0.026036	0.013256	0.00923591	0.00751532	0.0243543	0.0849607	0.268475	0.524313
a23	0.00934483	0.00638715	0.00440123	0.00455924	0.00648923	0.0336905	0.135013	0.338333	0.461782
a87	0.0116249	0.00674335	0.00471791	0.00451502	0.00664216	0.029244	0.107338	0.266596	0.562579
a10	0.00450395	0.00345296	0.00230884	0.00251352	0.00419886	0.0307103	0.117442	0.255948	0.578922
a38	0.00843944	0.00605814	0.00497683	0.00611729	0.0128941	0.0577958	0.135787	0.244526	0.523406
a70	0.0130274	0.00799035	0.00604711	0.00592812	0.00913417	0.042928	0.122776	0.272829	0.51934
a35	0.0152335	0.0112764	0.0101708	0.00982274	0.0145123	0.0728846	0.186551	0.353498	0.32605
a13	0.0112693	0.00876837	0.00744258	0.00642882	0.00783113	0.0349638	0.115716	0.328398	0.479181
a9	0.00453495	0.00359298	0.00250848	0.00212973	0.00221081	0.0137024	0.0781247	0.294765	0.598431
a87	0.00479321	0.00336943	0.00223331	0.00186833	0.00209225	0.0104385	0.0556091	0.200583	0.719012
a23	0.00546524	0.00487831	0.00440873	0.0044968	0.00657183	0.027646	0.0942838	0.240333	0.611916
a76	0.00507295	0.00346181	0.00305606	0.00302633	0.00423384	0.0188993	0.0670933	0.211163	0.683993
a94	0.0191633	0.014287	0.0113506	0.00878179	0.00939664	0.0289205	0.0803814	0.243766	0.583953
a76	0.00501733	0.00433818	0.00330935	0.00306393	0.00375937	0.0206419	0.0876076	0.272193	0.60007
a94	0.0110441	0.00936292	0.0073116	0.00591463	0.00672943	0.0244784	0.0759064	0.22547	0.633782
a54	0.00400789	0.00317765	0.00222509	0.001858	0.00219033	0.0124129	0.0584564	0.209107	0.706565
a14	0.00542834	0.00349941	0.00189061	0.00143999	0.00143318	0.007682	0.038578	0.169536	0.770513
a35	0.00536733	0.00384159	0.0022178	0.00204838	0.0024445	0.0121434	0.0520662	0.19373	0.72614
a66	0.00966577	0.00585676	0.00316654	0.00254805	0.00260609	0.0126061	0.0485656	0.164761	0.750224
a75	0.00748188	0.0043683	0.00316299	0.00260727	0.00355702	0.019013	0.0634752	0.170276	0.726058
a41	0.0228535	0.0139919	0.00852126	0.00641985	0.00557093	0.0198327	0.0613357	0.182451	0.679023
a47	0.0264357	0.0150492	0.0097675	0.00823494	0.00818475	0.0273743	0.0788887	0.199527	0.626538
a98	0.0143228	0.00776737	0.00525267	0.00430427	0.00552918	0.0312195	0.0901211	0.201077	0.640406
a71	0.0242226	0.0132612	0.0103633	0.00872096	0.0103842	0.0353849	0.0865741	0.181512	0.629576
a9	0.0230192	0.0148211	0.00831583	0.00601782	0.00593311	0.027651	0.0751701	0.179814	0.659257
a87	0.0459758	0.0324676	0.021299	0.016004	0.0149211	0.0402139	0.0792931	0.165394	0.584431
</S>	0.0546582	0.0444622	0.03436	0.0262091	0.0199962	0.0457395	0.0801359	0.181653	0.512786
