 	l'	homme	qui	est	arri	vé	dans	le	village	est	un	brigand	</S>
a87	0.101635	0.0928019	0.0993393	0.166491	0.22562	0.106656	0.0656418	0.0478151	0.0328637	0.0205402	0.0142271	0.0128325	0.013537
a23	0.190862	0.128599	0.102193	0.103532	0.102215	0.0839423	0.0608572	0.0307419	0.0264545	0.026421	0.0306305	0.0429742	0.0705762
a87	0.271304	0.219538	0.143648	0.0972961	0.0563047	0.0443706	0.0304292	0.0162071	0.0134385	0.0130004	0.0160747	0.0234641	0.0549235
a23	0.224434	0.184884	0.116979	0.0852367	0.0637148	0.0420539	0.041994	0.0314969	0.0336381	0.0333795	0.0353413	0.0390065	0.0678409
a83	0.251877	0.185399	0.102364	0.0650347	0.0459514	0.030343	0.0353294	0.0274411	0.0267892	0.0290853	0.0353666	0.04904	0.115978
a50	0.415391	0.244209	0.139865	0.0699795	0.0306982	0.0131507	0.00947342	0.00872284	0.00900068	0.00885677	0.0117706	0.014953	0.0239291
a99	0.389408	0.220321	0.139007	0.0848197	0.0391379	0.0221453	0.0154066	0.0120164	0.0113227	0.0106928	0.0138953	0.0163462	0.0254807
a98	0.185816	0.142425	0.10611	0.0878631	0.0642136	0.0590542	0.0484022	0.0435437	0.0459206	0.0457229	0.0467706	0.0502912	0.0738666
a47	0.12794	0.135658	0.132817	0.120951	0.0903522	0.0724243	0.049855	0.0454717	0.0434988	0.0394098	0.0419931	0.0450965	0.0545322
a41	0.145674	0.152667	0.149845	0.12243	0.0813809	0.0686943	0.0433451	0.0377931	0.0342379	0.0315372	0.03521	0.0418317	0.0553536
a61	0.124636	0.131471	0.151498	0.131065	0.0967685	0.0766089	0.0450954	0.038031	0.0331564	0.0294595	0.0369408	0.0458558	0.0594145
a31	0.130402	0.162709	0.171199	0.156781	0.102919	0.0676153	0.038919	0.0312436	0.0272033	0.0234616	0.0252882	0.027988	0.0342718
a96	0.0878452	0.13969	0.155592	0.165828	0.117739	0.0903517	0.0494117	0.0402003	0.0353445	0.0296683	0.0283881	0.0289559	0.0309855
a62	0.0585794	0.0954965	0.11009	0.148636	0.134807	0.130868	0.0755785	0.0603968	0.050617	0.0388776	0.0327964	0.0313102	0.0319462
a21	0.050725	0.0884333	0.110887	0.155998	0.142692	0.133087	0.0769911	0.0622195	0.0515404	0.0383776	0.0316505	0.028899	0.0284996
a85	0.0714874	0.0962999	0.113311	0.165516	0.137372	0.0988965	0.0615983	0.0538167	0.0503147	0.0426879	0.0388038	0.0365684	0.0333274
a41	0.0592768	0.0812319	0.0854562	0.119839	0.117418	0.0921519	0.0617455	0.0563844	0.056694	0.0569135	0.0674187	0.0737116	0.0717586
a11	0.036793	0.0559687	0.0572241	0.0857805	0.135296	0.134759	0.0947682	0.0871214	0.0802889	0.0659026	0.0575797	0.0539966	0.054521
a75	0.0209861	0.035849	0.0404039	0.0645523	0.12199	0.163913	0.112143	0.108663	0.090442	0.0694798	0.0543896	0.0544824	0.0627062
a41	0.0414602	0.0545477	0.047027	0.0479099	0.053223	0.0663856	0.042472	0.0481874	0.0605018	0.0791331	0.113982	0.159456	0.185714
a26	0.0410535	0.0481415	0.0442042	0.0445533	0.0554575	0.0695404	0.0596485	0.0694746	0.0837265	0.0897597	0.107018	0.130761	0.156661
a57	0.0219235	0.0286574	0.032622	0.0427223	0.0699368	0.12038	0.0887959	0.0959562	0.100339	0.0895424	0.0804566	0.095225	0.133443
a30	0.0333082	0.0407942	0.0446712	0.0627148	0.119656	0.157549	0.0830709	0.0770242	0.0694835	0.0603886	0.0520855	0.0713752	0.127879
a4	0.0335741	0.0388156	0.0400705	0.0644961	0.139695	0.171677	0.0823981	0.0721063	0.0636454	0.0508307	0.0468721	0.0689225	0.126897
a13	0.0278992	0.0258059	0.0209995	0.020801	0.0271237	0.0425171	0.0321426	0.0404178	0.0551481	0.0747368	0.117526	0.198273	0.316609
a62	0.00840571	0.011052	0.0110718	0.0147448	0.0289712	0.0639768	0.0572895	0.0659934	0.0776057	0.1008	0.12852	0.178176	0.253393
a31	0.0258639	0.0298288	0.0308972	0.0369896	0.0570311	0.0924573	0.0671313	0.0680133	0.0751159	0.0890087	0.106309	0.145765	0.175589
a88	0.0248081	0.0306493	0.0306661	0.0349146	0.0500102	0.0864197	0.0617918	0.0651202	0.0715049	0.0850631	0.103939	0.153365	0.201748
a75	0.00812361	0.0106803	0.0123059	0.0145035	0.0219014	0.0511082	0.0418515	0.0481235	0.0576518	0.0816272	0.1239	0.219018	0.309205
a66	0.0122247	0.0147876	0.0149917	0.0149456	0.0172979	0.0405778	0.0299251	0.040101	0.0568341	0.0817019	0.118889	0.205946	0.351777
a11	0.00158741	0.00209617	0.00231527	0.00323213	0.00758822	0.0225892	0.0208055	0.0272816	0.0363817	0.0625065	0.11569	0.256952	0.440974
