 	je	ne	comprends	pas	comment	il	est	passé	à	mon	absence	</S>
a66	0.0927547	0.0758385	0.136847	0.153586	0.159778	0.137259	0.116762	0.0699117	0.0288524	0.0162164	0.00772363	0.00447019
a87	0.224379	0.142938	0.123574	0.104581	0.104607	0.0778157	0.0689123	0.0536236	0.0300762	0.0274702	0.0224891	0.0195346
a23	0.258766	0.179651	0.207004	0.111799	0.0926955	0.0523584	0.0317488	0.0184436	0.0114233	0.0101975	0.0103088	0.0156038
a99	0.263813	0.179296	0.233966	0.08402	0.0678274	0.0333937	0.027548	0.0227305	0.0178064	0.0194502	0.0237059	0.0264433
a50	0.189995	0.161469	0.240361	0.101813	0.0960039	0.0579208	0.0466971	0.0275608	0.0202375	0.0190968	0.0198036	0.0190419
a31	0.236747	0.182555	0.26159	0.0940757	0.087888	0.0420058	0.0319289	0.0217814	0.0134253	0.0113622	0.00960054	0.00704058
a96	0.284052	0.212412	0.237828	0.0799025	0.0755241	0.0368937	0.0259521	0.0159798	0.010804	0.00870255	0.00687525	0.00507411
a18	0.234875	0.224656	0.187047	0.0787595	0.0677611	0.0464531	0.0466528	0.042254	0.0286874	0.0216412	0.0128194	0.00839304
a53	0.157984	0.172155	0.156097	0.0830713	0.0857411	0.0618442	0.0591684	0.0615557	0.0500259	0.0433654	0.0381719	0.0308196
a25	0.161597	0.191449	0.147954	0.0964627	0.0908261	0.072021	0.070017	0.0578244	0.0389904	0.0298707	0.0236122	0.0193769
a90	0.105348	0.145084	0.133574	0.0996575	0.101981	0.0831172	0.0840252	0.082061	0.0534127	0.039835	0.0361672	0.0357368
a44	0.081447	0.107611	0.0961959	0.0986495	0.105	0.105037	0.113786	0.104182	0.0643296	0.0423062	0.037795	0.0436613
a90	0.0687991	0.10145	0.114076	0.11456	0.119651	0.112073	0.115192	0.0957692	0.0547025	0.0370984	0.0312317	0.0353975
a79	0.0575418	0.0800389	0.0878001	0.104648	0.107064	0.110651	0.126094	0.121072	0.0735359	0.0458957	0.0400427	0.0456161
a75	0.0377796	0.0555518	0.069633	0.102016	0.104378	0.118696	0.147098	0.138542	0.0866299	0.0516504	0.0435255	0.0444982
a12	0.0237359	0.0338379	0.0508699	0.0909556	0.0960868	0.121264	0.154903	0.14098	0.104147	0.0694835	0.0589269	0.0548098
a96	0.0178771	0.0239284	0.0363962	0.0801941	0.0845208	0.123335	0.163229	0.153941	0.106525	0.0720852	0.0617578	0.076211
a18	0.0135709	0.0168147	0.0231778	0.0544384	0.0591487	0.0989353	0.149002	0.163123	0.136095	0.094665	0.0836971	0.107332
a43	0.0126133	0.0177081	0.0361437	0.0646364	0.0821616	0.110448	0.125058	0.119956	0.140025	0.106374	0.0814677	0.103408
a61	0.0147064	0.0176944	0.0326766	0.05354	0.0671933	0.0905693	0.106706	0.115339	0.155103	0.128915	0.0995341	0.118023
a0	0.00981396	0.0111885	0.0162625	0.0305358	0.0390063	0.054849	0.0787717	0.107372	0.165161	0.156777	0.149628	0.180635
a24	0.0109519	0.0133294	0.0198165	0.0307619	0.0390174	0.0499862	0.0600394	0.0689291	0.119286	0.145779	0.18924	0.252862
a21	0.00464191	0.00613667	0.0086248	0.013357	0.0171393	0.0236851	0.0305359	0.0389358	0.0848679	0.140007	0.265247	0.366821
a47	0.00218186	0.00247785	0.00337894	0.00474965	0.00512222	0.00762978	0.0138928	0.0294495	0.07293	0.128645	0.295114	0.434429
a18	0.00333602	0.00483851	0.00677662	0.00914739	0.0109424	0.0141688	0.019369	0.0276228	0.059102	0.103573	0.247819	0.493305
a31	0.00250007	0.00349667	0.00517437	0.00665026	0.00792705	0.0103807	0.0123195	0.0147413	0.0322548	0.0692081	0.2311	0.604247
a0	0.0013381	0.0016843	0.00195134	0.00263753	0.00319438	0.00450114	0.00721424	0.0129533	0.0310738	0.0677605	0.243201	0.62249
a93	0.00149011	0.00201007	0.00301153	0.00437838	0.00591846	0.00777778	0.00965997	0.0117078	0.0282683	0.0563302	0.218619	0.650828
a90	0.000541316	0.000650509	0.000887568	0.00167654	0.00225578	0.0030023	0.00397312	0.00564501	0.0176912	0.040996	0.196976	0.725705
a25	0.000151403	0.000156559	0.000177349	0.000375033	0.000512808	0.000831734	0.00132046	0.00239053	0.0108026	0.0283088	0.169131	0.785841
a90	0.00116796	0.0010936	0.0011078	0.00151375	0.00183299	0.00239261	0.00265927	0.00344205	0.0115466	0.0303832	0.185577	0.757283
a98	0.000624923	0.000545295	0.000433417	0.000719801	0.000862528	0.00116869	0.00147428	0.00268759	0.0117217	0.0321762	0.203169	0.744417
a47	0.000644766	0.000611091	0.000454609	0.000769166	0.000836305	0.00122068	0.00174885	0.00292405	0.0116562	0.0275796	0.188158	0.763396
a36	0.000575968	0.000563287	0.000468723	0.000715379	0.000796133	0.0010925	0.00156674	0.00298712	0.0138617	0.032382	0.226034	0.718957
a2	0.00450441	0.00350505	0.00324047	0.00432074	0.00473526	0.00537764	0.00513984	0.00615978	0.0250427	0.0587515	0.26616	0.613063
a57	0.0757501	0.0564003	0.0426369	0.044499	0.0464821	0.0543639	0.0479041	0.0472514	0.0768069	0.0880238	0.132819	0.287063
a87	0.145691	0.0929458	0.0683292	0.0689353	0.0720258	0.0763205	0.0594974	0.0494639	0.0586968	0.06386	0.102714	0.14152
a23	0.205544	0.117532	0.0633379	0.0878068	0.0934523	0.0899248	0.0643995	0.0417326	0.0497075	0.0526052	0.0661601	0.0677968
a87	0.0584088	0.0329514	0.0165958	0.0253867	0.0265574	0.0274789	0.0258877	0.026876	0.0632022	0.0968959	0.198994	0.400765
a97	0.0299557	0.0155864	0.00984435	0.013922	0.0144131	0.016054	0.0152085	0.0171718	0.0369483	0.0551218	0.195981	0.579793
</S>	0.0894401	0.0528904	0.0546401	0.0632127	0.0649969	0.0598594	0.0520858	0.044725	0.057466	0.0622398	0.128059	0.270385
