 	c'	est	une	très	belle	femme	</S>
a21	0.344932	0.224059	0.13316	0.0964742	0.0648801	0.0648587	0.0716356
a47	0.281226	0.201519	0.143191	0.130274	0.0598679	0.0700644	0.113858
a43	0.456029	0.281739	0.135291	0.0756048	0.0200521	0.0133062	0.017978
a21	0.436542	0.296056	0.146766	0.0760312	0.019237	0.0114685	0.0138988
a5	0.484851	0.282927	0.115672	0.0631162	0.0238996	0.0153522	0.0141824
a43	0.348845	0.291457	0.168204	0.0955631	0.0386539	0.0285808	0.0286959
a21	0.261956	0.251635	0.21279	0.142869	0.0533161	0.0385194	0.0389134
a12	0.231195	0.214196	0.211652	0.176529	0.080386	0.0477001	0.038342
a96	0.148203	0.144807	0.178504	0.20102	0.133479	0.102544	0.0914442
a34	0.098875	0.0938135	0.129394	0.18938	0.176555	0.161257	0.150726
a56	0.07657	0.0702045	0.108674	0.189628	0.18463	0.185773	0.18452
a93	0.0449099	0.0458829	0.0711682	0.13615	0.182976	0.241328	0.277585
a96	0.027159	0.0272282	0.0440294	0.0990289	0.17831	0.274928	0.349316
a62	0.00886439	0.00861397	0.0140973	0.0402316	0.13511	0.294262	0.498821
a83	0.00492828	0.00474119	0.00693892	0.0179925	0.0943723	0.297868	0.573159
a13	0.00541681	0.00587909	0.00920466	0.0229876	0.105892	0.304022	0.546598
a99	0.0276353	0.025608	0.0307405	0.0528323	0.10774	0.281879	0.473565
a87	0.0507651	0.0428875	0.0435585	0.0652377	0.111703	0.250724	0.435124
a23	0.290384	0.199051	0.110135	0.0714029	0.0670911	0.104411	0.157525
a87	0.074517	0.0465209	0.0338817	0.0392045	0.0904016	0.27797	0.437504
</S>	0.0103483	0.00962798	0.0133525	0.0304602	0.104427	0.301918	0.529866
