 	la	mère	a	donné	une	fessée	à	son	fils	car	celui-ci	ne	s'	est	pas	présenté	au	cours	</S>
a66	0.0684202	0.0582802	0.0513734	0.0503512	0.0493057	0.0385874	0.0630265	0.0653518	0.0679281	0.0763499	0.0718048	0.0854498	0.0750952	0.0655764	0.0492823	0.0342588	0.0152187	0.00792394	0.0064155
a87	0.234191	0.139064	0.081882	0.0559475	0.0461471	0.034605	0.0478803	0.0306066	0.0277158	0.0180379	0.0202599	0.0210812	0.02514	0.0376454	0.0441879	0.0475418	0.0337318	0.0301412	0.0241945
a23	0.221244	0.194028	0.106854	0.0849256	0.0619409	0.052099	0.0541523	0.0377571	0.0259255	0.0179422	0.0102669	0.0105477	0.0128356	0.0188282	0.0251345	0.0277058	0.0192751	0.0112827	0.0072553
a30	0.16168	0.14769	0.0783121	0.0710845	0.0728484	0.104983	0.114929	0.078134	0.0404909	0.022016	0.00965452	0.00819978	0.00857339	0.0101214	0.011953	0.0107918	0.0148851	0.0165065	0.0171476
a53	0.104777	0.103892	0.0721026	0.0749641	0.0960508	0.127827	0.143928	0.111956	0.0526184	0.0306483	0.0121121	0.0095785	0.00885933	0.00959031	0.0100121	0.00859036	0.00878649	0.0074457	0.0062614
a15	0.131035	0.131405	0.0973072	0.095773	0.0783281	0.0907462	0.0874637	0.0654201	0.0394223	0.030516	0.0185493	0.0178292	0.017724	0.0216182	0.0210046	0.0159283	0.0187628	0.0117794	0.00938801
a7	0.0878802	0.0863274	0.0872579	0.0911396	0.0699194	0.0816143	0.0744739	0.0578909	0.0442798	0.0332022	0.0322158	0.0335062	0.0322699	0.0426727	0.0426741	0.0313779	0.032464	0.0232381	0.0155958
a75	0.048014	0.0694195	0.106957	0.143296	0.111492	0.091997	0.0576815	0.0437244	0.0357494	0.0302742	0.0189348	0.0151607	0.015643	0.0208506	0.0243937	0.0340015	0.0511402	0.044427	0.0368444
a5	0.0402631	0.0433621	0.0730769	0.0907764	0.0735014	0.0640335	0.0562144	0.0449495	0.0431325	0.0405124	0.0379751	0.0324209	0.0324987	0.0427014	0.0537537	0.0713524	0.0730009	0.0518213	0.0346534
a12	0.0451094	0.044587	0.0661521	0.0904116	0.0952029	0.107232	0.0830468	0.0650277	0.0555814	0.0480384	0.0313195	0.0211955	0.0183315	0.020202	0.0238588	0.0436654	0.0547144	0.046999	0.0393245
a96	0.0295256	0.0238715	0.0418081	0.0622272	0.0867198	0.103878	0.107142	0.098516	0.0884474	0.0718706	0.044808	0.0279045	0.0215295	0.0204489	0.0208963	0.034712	0.0420812	0.038868	0.034745
a75	0.0117138	0.00985523	0.0191754	0.0338918	0.0705557	0.107945	0.123684	0.123317	0.106629	0.0767326	0.0442829	0.0270042	0.0203173	0.0205792	0.0204556	0.0345869	0.05134	0.0499931	0.0479415
a92	0.00804647	0.00637639	0.0111643	0.0181147	0.0312826	0.0392151	0.0605233	0.081127	0.111191	0.107616	0.086845	0.0620151	0.0488346	0.0414581	0.0336521	0.0372623	0.0606542	0.0664218	0.0882001
a47	0.00879312	0.00588629	0.0108347	0.0193504	0.0423006	0.0529747	0.0863422	0.113331	0.143481	0.127616	0.0975108	0.0629252	0.0463024	0.0353097	0.0239868	0.0178083	0.0258749	0.0312384	0.0481335
a96	0.00650018	0.00471039	0.00856586	0.016255	0.0434113	0.0600275	0.0882896	0.11986	0.148642	0.130214	0.105097	0.0668369	0.0461044	0.0331425	0.0189063	0.00913008	0.0156906	0.0263102	0.0523061
a34	0.00507541	0.00528941	0.00763702	0.013041	0.0299355	0.0634922	0.0942406	0.125913	0.156489	0.124263	0.0986578	0.0573929	0.0373528	0.0295344	0.018247	0.0122151	0.0252767	0.0325006	0.063446
a21	0.00544084	0.00379964	0.00497069	0.00843005	0.0221713	0.0384134	0.0591707	0.0886436	0.129586	0.128414	0.114511	0.0755404	0.0507042	0.0410184	0.0285787	0.0211155	0.0465342	0.0513466	0.0816105
a12	0.00409761	0.00298457	0.00380064	0.00624923	0.0149946	0.0269312	0.0454503	0.0692267	0.116943	0.137392	0.137074	0.0967041	0.064599	0.0518051	0.0350611	0.019126	0.0430555	0.0471981	0.0773067
a18	0.00434648	0.00389927	0.00568654	0.0105342	0.0240203	0.0519928	0.0677318	0.0826355	0.111396	0.129052	0.125666	0.088191	0.0554962	0.0458997	0.0327022	0.0165468	0.0360899	0.0374598	0.0706541
a25	0.00988398	0.0141889	0.020721	0.0389294	0.0716265	0.118709	0.102606	0.104921	0.0925554	0.0911003	0.0883586	0.066405	0.0362488	0.0298281	0.0199321	0.00831583	0.0172445	0.0238067	0.0446191
a87	0.015139	0.0163723	0.0208701	0.0312058	0.0494593	0.0766641	0.073508	0.0791301	0.0804033	0.0924285	0.112402	0.094045	0.0509078	0.0430419	0.0310091	0.0175805	0.0315503	0.0323834	0.0518996
a23	0.018328	0.0171088	0.0199419	0.0267239	0.0298674	0.0265214	0.0186711	0.0194604	0.0331763	0.0676547	0.0928622	0.0951036	0.0653345	0.0625542	0.0559536	0.0571918	0.100659	0.0984354	0.0944521
a10	0.0196032	0.0148366	0.0137108	0.0166001	0.0173112	0.0143532	0.0135283	0.0160273	0.0369142	0.050916	0.0794309	0.0905604	0.0895474	0.101344	0.08208	0.0630265	0.058654	0.0902419	0.131314
a50	0.0107185	0.00736612	0.00834816	0.0116702	0.01452	0.0138526	0.0147738	0.0211846	0.0437254	0.0523819	0.0750731	0.0804072	0.0795695	0.0958826	0.0896322	0.0902085	0.0730712	0.0807037	0.136911
a75	0.00406743	0.00308767	0.00390763	0.00622448	0.00808329	0.0100016	0.0109253	0.0152818	0.0318774	0.0367424	0.0517552	0.0498507	0.0460398	0.063286	0.0629301	0.0735191	0.0819624	0.127349	0.313108
a37	0.000324877	0.000262853	0.00049947	0.000886311	0.00152912	0.00285419	0.00311669	0.0046094	0.01081	0.018098	0.0255246	0.0295571	0.0287093	0.0442352	0.0570081	0.0901944	0.184232	0.18776	0.309789
a70	0.000583878	0.000371288	0.000544909	0.00101043	0.00250157	0.00411518	0.0056827	0.00836862	0.0173675	0.0254509	0.0330737	0.0382082	0.0361626	0.04553	0.049261	0.0547434	0.189371	0.202675	0.284978
a88	0.000827718	0.000664901	0.00110381	0.00254116	0.00666809	0.0157552	0.0159025	0.018024	0.0254364	0.0286123	0.031407	0.0302216	0.0252747	0.0278381	0.0290488	0.0318918	0.13145	0.220977	0.356355
a0	0.000408558	0.000313869	0.000479557	0.00111271	0.00289058	0.00665391	0.00733225	0.0095868	0.016316	0.020164	0.0223201	0.0216454	0.0175513	0.0203388	0.0229328	0.0231112	0.115577	0.238099	0.453166
a24	0.00121062	0.00126305	0.00196369	0.00457274	0.0102617	0.0258102	0.0225453	0.0233594	0.0257517	0.0246678	0.0253748	0.0241621	0.0189343	0.0226905	0.025835	0.0211676	0.082451	0.186599	0.451379
a62	0.00161422	0.00160059	0.00236776	0.00532696	0.0112024	0.0255206	0.0199843	0.0191514	0.0218816	0.0212379	0.0239946	0.0237937	0.020197	0.0254415	0.0304558	0.0238937	0.0824063	0.185847	0.454083
a96	0.00122228	0.00100056	0.00149653	0.00342187	0.00806586	0.016253	0.0156766	0.0179288	0.0255583	0.0296513	0.033178	0.0299999	0.0224158	0.0246074	0.0283277	0.0197928	0.0768158	0.188404	0.456183
