 	il	est	blessant	sans	s'	en	rendre	compte	</S>
a23	0.399492	0.177378	0.107537	0.060951	0.0379306	0.0260856	0.0219981	0.0427123	0.125914
a87	0.366106	0.182454	0.0990042	0.0661559	0.0514436	0.0458125	0.0465514	0.0549603	0.0875128
a23	0.189436	0.136968	0.113246	0.0828025	0.0725774	0.0782714	0.0821109	0.0945616	0.150026
a20	0.187301	0.151736	0.0974333	0.0517816	0.0350216	0.0369689	0.0510069	0.103746	0.285004
a44	0.549554	0.244272	0.0593525	0.0288929	0.019648	0.0174316	0.0162855	0.0236445	0.0409192
a20	0.414067	0.268845	0.109461	0.0731275	0.0530285	0.0356573	0.0167931	0.013047	0.0159738
a73	0.243935	0.211372	0.134119	0.11586	0.0959095	0.0757749	0.0449797	0.0365248	0.0415259
a27	0.235377	0.214393	0.139854	0.123958	0.103809	0.0799629	0.0414084	0.0304149	0.0308222
a11	0.219443	0.217559	0.155846	0.134546	0.102885	0.0662979	0.0315659	0.0317985	0.0400593
a24	0.18533	0.185252	0.158035	0.142297	0.110926	0.0781723	0.0402363	0.0425419	0.0572096
a94	0.203128	0.198252	0.161315	0.146	0.113607	0.0719663	0.0299648	0.0306606	0.0451063
a69	0.152772	0.182771	0.196923	0.180013	0.130467	0.0758864	0.0268968	0.0219653	0.0323053
a4	0.121145	0.149105	0.188564	0.177826	0.130971	0.0873471	0.0486977	0.0399533	0.0563904
a13	0.120993	0.143134	0.181263	0.169926	0.134325	0.0889989	0.0506592	0.0446496	0.0660501
a38	0.129592	0.163947	0.18431	0.162832	0.142049	0.0958683	0.045833	0.0327287	0.0428395
a41	0.131976	0.143357	0.157965	0.145987	0.14027	0.101065	0.0571528	0.0505904	0.071637
a27	0.100319	0.115015	0.145812	0.139197	0.134445	0.102252	0.0804491	0.0795441	0.102968
a84	0.064074	0.078386	0.156593	0.164736	0.180007	0.141045	0.0794957	0.0611963	0.0744671
a87	0.0417389	0.0515939	0.124915	0.160042	0.193573	0.185	0.0941283	0.0640397	0.0849679
a23	0.0338915	0.0591156	0.11043	0.137692	0.141391	0.153298	0.140198	0.10531	0.118675
a40	0.0216442	0.0324946	0.0823391	0.098186	0.10885	0.13062	0.136855	0.147348	0.241663
a73	0.0507136	0.0655881	0.0736008	0.0737565	0.0799055	0.0875152	0.0988044	0.185862	0.284254
a44	0.0724311	0.104456	0.140738	0.152679	0.149532	0.118358	0.0830284	0.082529	0.0962479
a26	0.0719612	0.082302	0.105905	0.121293	0.140524	0.128054	0.10696	0.104553	0.138448
a76	0.033593	0.0444507	0.0867857	0.103067	0.137222	0.133968	0.117249	0.137139	0.206527
a94	0.0504535	0.0570425	0.072143	0.0769117	0.0861219	0.0924821	0.105091	0.179543	0.280212
a24	0.0317615	0.0358743	0.0440146	0.050138	0.0611262	0.08088	0.130693	0.208015	0.357497
a41	0.0249779	0.0235482	0.029602	0.0370348	0.0485946	0.0711751	0.154221	0.242003	0.368843
a94	0.0118345	0.014435	0.0232219	0.0265725	0.0371187	0.0533617	0.114852	0.248008	0.470595
a54	0.0118754	0.013949	0.0217559	0.0250087	0.0371285	0.0567733	0.138359	0.277194	0.417956
a75	0.0172112	0.01924	0.0268427	0.0318643	0.0435112	0.0677059	0.140999	0.256841	0.395784
a41	0.031137	0.0336971	0.0444516	0.0506327	0.0645884	0.0962652	0.159824	0.219754	0.299651
a27	0.0187656	0.0225481	0.0300771	0.0351017	0.0451966	0.0677047	0.137882	0.253672	0.389053
a82	0.00779985	0.0105818	0.0193598	0.0241691	0.0342862	0.05002	0.116127	0.296051	0.441605
a87	0.00238687	0.00243444	0.0047479	0.00629198	0.0104663	0.0218594	0.0848586	0.321861	0.545094
</S>	0.00319024	0.0027698	0.00369799	0.00484553	0.0075686	0.0165033	0.0842844	0.367352	0.509788
