 	comment	appelle-t-on	cet	arbre	</S>
a23	0.5282	0.242133	0.112976	0.0654018	0.0512898
a87	0.274825	0.183461	0.182427	0.173007	0.18628
a23	0.283667	0.255962	0.221963	0.12958	0.108828
a87	0.297702	0.228294	0.197995	0.152179	0.123829
a23	0.376963	0.287044	0.16473	0.0977182	0.0735444
a40	0.282275	0.23717	0.198212	0.15554	0.126804
a30	0.52822	0.309011	0.0895553	0.0437796	0.0294344
a44	0.495442	0.353739	0.10283	0.0312001	0.0167894
a38	0.376792	0.390445	0.14931	0.0527063	0.0307466
a24	0.395523	0.357212	0.144573	0.0616439	0.0410486
a66	0.409215	0.335248	0.140096	0.0669279	0.0485133
a38	0.267344	0.302914	0.211567	0.122774	0.0954003
a76	0.259809	0.301606	0.221631	0.124837	0.0921171
a14	0.224863	0.237346	0.234192	0.170655	0.132944
a66	0.212054	0.18383	0.214998	0.199773	0.189344
a38	0.0607072	0.0805485	0.193292	0.312771	0.352681
a26	0.0344813	0.0571365	0.172602	0.31912	0.41666
a35	0.0182313	0.0331585	0.135946	0.312906	0.499758
a98	0.0147931	0.0172903	0.0723334	0.260383	0.6352
a38	0.00605641	0.00892501	0.0567562	0.237268	0.690995
a62	0.00624989	0.00744006	0.0457278	0.213868	0.726715
a83	0.00662417	0.00667293	0.0357382	0.193188	0.757777
a9	0.0125634	0.0162544	0.0647533	0.204702	0.701727
a87	0.0739347	0.0568108	0.104735	0.197323	0.567196
a23	0.0458501	0.0252372	0.0603518	0.189207	0.679354
a87	0.118061	0.0850031	0.109465	0.190966	0.496505
</S>	0.0393123	0.0334714	0.0929469	0.253024	0.581246
