 	ce	masque	qu'	il	est	en	train	de	tailler	présente	encore	des	défectuosités	</S>
a66	0.102792	0.0926325	0.0567823	0.0519104	0.0568785	0.0820728	0.127478	0.14656	0.103098	0.0635942	0.0527184	0.0321528	0.0203909	0.0109384
a87	0.28473	0.157008	0.0829853	0.0598921	0.0609712	0.0544349	0.0642625	0.0626107	0.0546866	0.0608661	0.0241411	0.0128178	0.0125013	0.00809183
a23	0.259459	0.12498	0.0844011	0.0518487	0.0645334	0.0860394	0.094522	0.0857736	0.0575133	0.0300592	0.0180252	0.0140595	0.0165366	0.012249
a83	0.169818	0.118216	0.111746	0.0694475	0.0961114	0.0891287	0.0677182	0.0376438	0.0328075	0.0679172	0.0252537	0.0290521	0.0408025	0.0443371
a0	0.266207	0.131007	0.0778345	0.0538199	0.0577496	0.0648175	0.0724634	0.0679814	0.0479745	0.0367935	0.0222437	0.0211963	0.0380965	0.0418151
a32	0.22632	0.173975	0.104304	0.0811826	0.0794854	0.0659009	0.0662127	0.065116	0.0475818	0.0409029	0.0162358	0.0118442	0.0118912	0.00904772
a62	0.159606	0.159978	0.134169	0.112743	0.103775	0.0731513	0.0689813	0.0650416	0.0466206	0.0397358	0.0143597	0.00926539	0.00739054	0.00518259
a21	0.068641	0.115707	0.153616	0.127448	0.122287	0.0881386	0.0762592	0.0759758	0.0649682	0.0630941	0.0232023	0.00938611	0.0067385	0.00453875
a5	0.0441736	0.068997	0.100833	0.105009	0.110687	0.0858817	0.0922859	0.110254	0.103526	0.106662	0.0394904	0.0129952	0.0113484	0.00785765
a12	0.0284793	0.0475664	0.0680773	0.0934228	0.114945	0.105692	0.100867	0.106124	0.102473	0.129186	0.046416	0.0196807	0.0200417	0.0170293
a47	0.0106739	0.0181669	0.0284779	0.0589382	0.0884744	0.0995944	0.116018	0.127886	0.139436	0.168307	0.0705865	0.0255909	0.0257535	0.0220969
a12	0.00583189	0.00908914	0.0139867	0.0368621	0.0666247	0.0943611	0.123415	0.11053	0.128635	0.185015	0.114602	0.0476256	0.0352654	0.028156
a18	0.00401255	0.00598121	0.00880204	0.0222699	0.0477999	0.0836532	0.128008	0.121041	0.155323	0.156697	0.123409	0.0630362	0.0497719	0.0301954
a88	0.00526064	0.00592409	0.00874892	0.0204946	0.0419465	0.0774127	0.11112	0.0904344	0.109641	0.144086	0.13455	0.0891403	0.0975152	0.0637268
a98	0.00577074	0.00682926	0.00971531	0.0200427	0.0366539	0.0602117	0.0809796	0.0667184	0.0744992	0.132547	0.118187	0.107479	0.156803	0.123562
a15	0.00396457	0.00381963	0.00544105	0.0134771	0.0276713	0.0605125	0.0911477	0.0740642	0.0911375	0.0646941	0.0975628	0.134226	0.189523	0.142759
a92	0.00337121	0.00356702	0.0057468	0.0124185	0.023861	0.0542905	0.0959999	0.0811664	0.0968016	0.0498422	0.0829497	0.124979	0.167767	0.197239
a37	0.00154023	0.00180654	0.00243152	0.00488511	0.00951291	0.0225591	0.0431668	0.0384852	0.0489901	0.0380392	0.0795901	0.175108	0.250083	0.283802
a12	0.00221146	0.00184772	0.0018324	0.00313102	0.00588685	0.0162772	0.0285504	0.0312929	0.036472	0.0261966	0.0483489	0.0963643	0.253018	0.44857
a43	0.00166743	0.00134503	0.0014148	0.00276776	0.00480985	0.00922624	0.0158894	0.0250338	0.0320732	0.0286806	0.0465645	0.098478	0.238734	0.493316
a75	0.0019185	0.00145428	0.00146532	0.00225148	0.0037242	0.0100348	0.0175836	0.0260765	0.0239344	0.0167683	0.0213514	0.0475639	0.191661	0.634212
a85	0.0004956	0.000459783	0.000549583	0.00101165	0.00180345	0.00363189	0.00712994	0.00982781	0.0113552	0.0125079	0.0203472	0.059823	0.192214	0.678843
a5	0.000250221	0.000211448	0.000309319	0.000632298	0.00118662	0.00248146	0.00477096	0.00662199	0.00862504	0.00855581	0.0146733	0.0549348	0.15074	0.746007
a47	0.000416617	0.000333775	0.000352924	0.000768186	0.00148534	0.00365748	0.0070464	0.0101764	0.0130746	0.0117733	0.0195062	0.0616417	0.203545	0.666222
a21	0.000404877	0.000345976	0.000371396	0.000747296	0.00135633	0.00328289	0.00651754	0.00985489	0.0115343	0.00786029	0.0139567	0.0554259	0.204463	0.683878
a12	0.000565987	0.000421179	0.00030979	0.000596439	0.000882764	0.00154149	0.0028452	0.00479609	0.00624348	0.00755278	0.0178305	0.0877843	0.254459	0.614171
a18	0.000324246	0.000401899	0.00034465	0.000652601	0.00103488	0.00165564	0.00314251	0.00540563	0.00757744	0.00845156	0.0128004	0.0521315	0.194612	0.711465
a25	0.00294631	0.00181794	0.00177247	0.00326087	0.00508336	0.0105985	0.0210667	0.0369804	0.0339204	0.0104844	0.022865	0.0771037	0.208975	0.563125
a87	0.0316535	0.0189874	0.0201136	0.0231175	0.0281534	0.042909	0.0754002	0.149603	0.138502	0.0290466	0.0467	0.0776322	0.114062	0.20412
a23	0.113467	0.0500385	0.037887	0.035263	0.0495094	0.0816461	0.130421	0.174074	0.153196	0.0355154	0.0312303	0.0335148	0.0329268	0.0413096
a99	0.0600469	0.0355028	0.0194738	0.0141167	0.0214253	0.0364955	0.0550554	0.0514155	0.050865	0.0218664	0.0229337	0.053911	0.133854	0.423037
a97	0.00730337	0.00446337	0.00315905	0.00276133	0.00405071	0.00918211	0.0214202	0.0187403	0.0183827	0.00697579	0.0183732	0.0583155	0.186245	0.640628
</S>	0.012836	0.00665536	0.0048644	0.00498189	0.00685675	0.0125498	0.0239812	0.0231791	0.0216012	0.00791108	0.0176773	0.0520008	0.153392	0.651513
