 	je	suis	frappé	d'	un	malheur	</S>
a38	0.500015	0.128607	0.0577902	0.0630462	0.107356	0.0725685	0.0706165
a56	0.274812	0.181979	0.121283	0.112421	0.120055	0.128542	0.0609077
a43	0.696154	0.183067	0.0260857	0.0226786	0.0261184	0.0220061	0.0238899
a75	0.577569	0.289079	0.0423942	0.0331841	0.032351	0.0170565	0.00836596
a56	0.558547	0.319077	0.0515844	0.0327851	0.0217281	0.0096293	0.00664987
a21	0.347393	0.310129	0.170056	0.0984892	0.0453239	0.0185614	0.0100472
a75	0.310925	0.276958	0.196178	0.118222	0.0567083	0.0265195	0.0144896
a21	0.231822	0.169932	0.187636	0.169037	0.117028	0.0726423	0.0519039
a61	0.0994251	0.0708945	0.148524	0.198806	0.217896	0.164461	0.0999934
a75	0.0378652	0.034699	0.0953303	0.132587	0.193689	0.244271	0.261559
a85	0.022246	0.0184537	0.0428836	0.0976641	0.220395	0.263387	0.334971
a37	0.0195006	0.0213644	0.0451641	0.0928263	0.176764	0.245118	0.399263
a85	0.00492408	0.00520096	0.0166653	0.0436831	0.130017	0.237829	0.56168
a36	0.00474374	0.00680852	0.0209632	0.0571936	0.144657	0.223885	0.541749
a2	0.0011677	0.0017025	0.00728886	0.0207906	0.0770775	0.227848	0.664125
a26	0.00923684	0.011375	0.025411	0.05181	0.110526	0.214851	0.57679
a57	0.0925658	0.0668213	0.0593909	0.0843995	0.135662	0.191565	0.369595
a82	0.18647	0.109336	0.0636353	0.0906442	0.139968	0.18393	0.226017
a38	0.118519	0.0818669	0.0451282	0.06323	0.122944	0.210674	0.357638
a82	0.0426048	0.0433263	0.052115	0.0835468	0.143917	0.248798	0.385692
a9	0.0407721	0.0380219	0.0416073	0.0728691	0.134437	0.242176	0.430116
</S>	0.0595613	0.0629003	0.0560286	0.0852371	0.143999	0.22889	0.363384
