 	la	plantation	est	au-delà	du	village	</S>
a23	0.183791	0.131821	0.127161	0.208575	0.14468	0.104145	0.099828
a87	0.352951	0.134814	0.0965444	0.078739	0.0763792	0.0918128	0.16876
a10	0.284819	0.188131	0.11581	0.0850311	0.0662269	0.0887922	0.17119
a87	0.30251	0.158924	0.0677223	0.0457891	0.0543034	0.116554	0.254197
a23	0.258745	0.144656	0.0698617	0.0702479	0.0802827	0.139465	0.236742
a40	0.224462	0.115678	0.0591101	0.0494573	0.0805951	0.173648	0.297049
a30	0.518435	0.217571	0.0790861	0.058895	0.0354878	0.0398372	0.050688
a94	0.511812	0.225533	0.104628	0.0720316	0.0316132	0.0258329	0.0285491
a66	0.491613	0.250901	0.0928634	0.0651193	0.0335979	0.0288403	0.0370655
a90	0.260731	0.23098	0.150051	0.133163	0.0730327	0.0670789	0.0849631
a35	0.223102	0.221101	0.186141	0.167485	0.0815902	0.0566705	0.0639101
a66	0.266495	0.271454	0.177138	0.144487	0.0636983	0.0376625	0.0390654
a38	0.209868	0.219818	0.196451	0.176463	0.0738826	0.0535008	0.0700165
a30	0.148302	0.169022	0.213734	0.224656	0.0983672	0.0634285	0.0824896
a41	0.138045	0.149539	0.202124	0.231037	0.116554	0.0695427	0.0931574
a26	0.106743	0.117692	0.166181	0.222264	0.141031	0.103277	0.142812
a76	0.0994541	0.102229	0.14431	0.212365	0.168982	0.120314	0.152347
a25	0.0740045	0.0909751	0.15172	0.231879	0.1578	0.131191	0.162432
a94	0.0724592	0.0850666	0.150538	0.230486	0.159353	0.135094	0.167003
a43	0.0594226	0.058861	0.0838144	0.173861	0.19544	0.183249	0.245352
a11	0.0385151	0.0349726	0.0609081	0.141556	0.203639	0.216685	0.303724
a24	0.0443047	0.0371317	0.0540671	0.110232	0.198852	0.239671	0.315742
a41	0.0338202	0.0319736	0.0391602	0.0679682	0.130617	0.26467	0.43179
a98	0.0250625	0.0212564	0.0271866	0.0617698	0.151833	0.289196	0.423696
a73	0.0166027	0.0158941	0.0260039	0.0828104	0.181135	0.295022	0.382532
a84	0.0218849	0.0197567	0.0274677	0.06645	0.175149	0.300445	0.388847
a53	0.0329865	0.0245851	0.0327903	0.0679529	0.151983	0.258838	0.430865
a4	0.043027	0.028344	0.0294799	0.0420425	0.110248	0.260319	0.48654
a57	0.0154357	0.00931213	0.011956	0.0210211	0.0843649	0.263012	0.594898
a3	0.017808	0.0107556	0.0134141	0.0191122	0.0727322	0.249019	0.617158
a87	0.00495149	0.00259513	0.00382718	0.00925355	0.0465009	0.227192	0.70568
</S>	0.0111635	0.00507468	0.00547035	0.0163566	0.0732468	0.2731	0.615588
